geo,Año,Área,Hectareas
15580,2020,Cosechada,1568
15599,2020,Cosechada,782
15600,2020,Cosechada,1469
15621,2020,Cosechada,408
15632,2020,Cosechada,7140
15638,2020,Cosechada,272
15646,2020,Cosechada,3284
15660,2020,Cosechada,441
15664,2020,Cosechada,4685
15667,2020,Cosechada,472
15673,2020,Cosechada,702
15676,2020,Cosechada,149
15681,2020,Cosechada,1632
15686,2020,Cosechada,3308
15690,2020,Cosechada,357
15693,2020,Cosechada,307
15696,2020,Cosechada,353
15720,2020,Cosechada,221
15723,2020,Cosechada,46
15740,2020,Cosechada,9363
15753,2020,Cosechada,586
15755,2020,Cosechada,1103
15757,2020,Cosechada,175
15759,2020,Cosechada,701
15761,2020,Cosechada,216
15762,2020,Cosechada,429
15763,2020,Cosechada,862
15764,2020,Cosechada,3495
15774,2020,Cosechada,687
15776,2020,Cosechada,492
15778,2020,Cosechada,260
15790,2020,Cosechada,164
15798,2020,Cosechada,418
15804,2020,Cosechada,2140
15806,2020,Cosechada,708
15808,2020,Cosechada,205
15810,2020,Cosechada,315
15814,2020,Cosechada,4717
15816,2020,Cosechada,3563
15820,2020,Cosechada,220
15822,2020,Cosechada,1145
15832,2020,Cosechada,1249
15835,2020,Cosechada,1542
15837,2020,Cosechada,637
15839,2020,Cosechada,1180
15842,2020,Cosechada,1647
15861,2020,Cosechada,5324
15879,2020,Cosechada,860
15897,2020,Cosechada,1406
15001,2020,Sembrada,6882
15022,2020,Sembrada,326
15047,2020,Sembrada,3306
15051,2020,Sembrada,2724
15087,2020,Sembrada,1037
15090,2020,Sembrada,596
15092,2020,Sembrada,146
15097,2020,Sembrada,947
15104,2020,Sembrada,1031
15106,2020,Sembrada,977
15109,2020,Sembrada,1172
15114,2020,Sembrada,90
15131,2020,Sembrada,942
15135,2020,Sembrada,792
15162,2020,Sembrada,67
15172,2020,Sembrada,290
15176,2020,Sembrada,1074
15180,2020,Sembrada,604
15183,2020,Sembrada,773
15185,2020,Sembrada,4779
15187,2020,Sembrada,617
15189,2020,Sembrada,1383
15204,2020,Sembrada,1882
15212,2020,Sembrada,1836
15215,2020,Sembrada,126
15218,2020,Sembrada,956
15223,2020,Sembrada,243
15224,2020,Sembrada,903
15226,2020,Sembrada,344
15232,2020,Sembrada,1999
15236,2020,Sembrada,129
15238,2020,Sembrada,348
15244,2020,Sembrada,602
15248,2020,Sembrada,155
15272,2020,Sembrada,469
15276,2020,Sembrada,179
15293,2020,Sembrada,532
15296,2020,Sembrada,695
15299,2020,Sembrada,574
15317,2020,Sembrada,269
15322,2020,Sembrada,167
15325,2020,Sembrada,636
15332,2020,Sembrada,229
15362,2020,Sembrada,54
15367,2020,Sembrada,1615
15368,2020,Sembrada,726
15377,2020,Sembrada,538
