geo,Año,Ciclo del cultivo,Producción (ton)
15403,2022,Transitorio,1072
15407,2019,Permanente,883
15407,2019,Transitorio,66043
15407,2020,Permanente,260
15407,2020,Transitorio,105355
15407,2021,Permanente,500
15407,2021,Transitorio,102368
15407,2022,Permanente,338
15407,2022,Transitorio,99899
15425,2019,Permanente,7735
15425,2019,Transitorio,2091
15425,2020,Permanente,9944
15425,2020,Transitorio,1691
15425,2021,Permanente,2955
15425,2021,Transitorio,2080
15425,2022,Permanente,3437
15425,2022,Transitorio,2048
15442,2019,Permanente,33967
15442,2019,Transitorio,6145
15442,2020,Permanente,35739
15442,2020,Transitorio,5577
15442,2021,Permanente,34558
15442,2021,Transitorio,1558
15442,2022,Permanente,37061
15442,2022,Transitorio,1678
15455,2019,Permanente,41614
15455,2019,Transitorio,5079
15455,2020,Permanente,30213
15455,2020,Transitorio,5480
15455,2021,Permanente,32154
15455,2021,Transitorio,5963
15455,2022,Permanente,34860
15455,2022,Transitorio,6306
15464,2019,Permanente,70
15464,2019,Transitorio,3036
15464,2020,Permanente,7
15464,2020,Transitorio,2265
15464,2021,Permanente,129
15464,2021,Transitorio,2853
15464,2022,Permanente,152
15464,2022,Transitorio,3437
15466,2019,Permanente,75
15466,2019,Transitorio,2261
15466,2020,Permanente,67
15466,2020,Transitorio,2408
15466,2021,Permanente,64
15466,2021,Transitorio,3178
15466,2022,Permanente,63
15466,2022,Transitorio,2939
15469,2019,Permanente,137426
15469,2019,Transitorio,5501
15469,2020,Permanente,181231
15469,2020,Transitorio,5130
15469,2021,Permanente,179681
15469,2021,Transitorio,2492
15469,2022,Permanente,156648
15469,2022,Transitorio,2840
15476,2019,Permanente,80
15476,2019,Transitorio,30357
15476,2020,Permanente,12
15476,2020,Transitorio,32432
15476,2021,Permanente,11
15476,2021,Transitorio,33373
15476,2022,Permanente,40
15476,2022,Transitorio,32104
15480,2019,Permanente,9000
15480,2019,Transitorio,1393
15480,2020,Permanente,9640
15480,2020,Transitorio,1226
15480,2021,Permanente,8674
15480,2021,Transitorio,890
15480,2022,Permanente,7552
15480,2022,Transitorio,955
15491,2019,Permanente,190
15491,2019,Transitorio,12334
15491,2020,Permanente,161
15491,2020,Transitorio,6558
15491,2021,Permanente,135
15491,2021,Transitorio,6865
15491,2022,Permanente,179
15491,2022,Transitorio,8538
15494,2019,Permanente,15456
15494,2019,Transitorio,6096
15494,2020,Permanente,15754
15494,2020,Transitorio,6405
15494,2021,Permanente,15848
15494,2021,Transitorio,6932
15494,2022,Permanente,15668
15494,2022,Transitorio,6644
15500,2019,Permanente,1484
15500,2019,Transitorio,5401
15500,2020,Permanente,1458
15500,2020,Transitorio,5259
15500,2021,Permanente,1506
15500,2021,Transitorio,4027
15500,2022,Permanente,1506
15500,2022,Transitorio,3878
15507,2019,Permanente,13371
15507,2019,Transitorio,1041
15507,2020,Permanente,10149
15507,2020,Transitorio,1352
15507,2021,Permanente,9593
15507,2021,Transitorio,121
15507,2022,Permanente,7189
15507,2022,Transitorio,188
15511,2019,Permanente,2461
15511,2019,Transitorio,5264
15511,2020,Permanente,2691
15511,2020,Transitorio,5795
15511,2021,Permanente,3577
15511,2021,Transitorio,5754
15511,2022,Permanente,3552
15511,2022,Transitorio,5217
15514,2019,Permanente,4931
15514,2019,Transitorio,404
15514,2020,Permanente,4509
15514,2020,Transitorio,1074
15514,2021,Permanente,3596
15514,2021,Transitorio,203
15514,2022,Permanente,3182
15514,2022,Transitorio,490
15516,2019,Permanente,2394
15516,2019,Transitorio,5152
15516,2020,Permanente,2032
15516,2020,Transitorio,4187
15516,2021,Permanente,1167
15516,2021,Transitorio,1947
15516,2022,Permanente,3323
15516,2022,Transitorio,5198
15518,2019,Permanente,3572
15518,2019,Transitorio,520
15518,2020,Permanente,2562
15518,2020,Transitorio,358
15518,2021,Permanente,3817
15518,2021,Transitorio,177
15518,2022,Permanente,4359
15518,2022,Transitorio,256
15522,2019,Permanente,302
15522,2019,Transitorio,2823
15522,2020,Permanente,368
15522,2020,Transitorio,3659
15522,2021,Permanente,211
15522,2021,Transitorio,3889
15522,2022,Permanente,514
15522,2022,Transitorio,3257
15531,2019,Permanente,25610
15531,2019,Transitorio,2212
15531,2020,Permanente,23725
15531,2020,Transitorio,950
15531,2021,Permanente,25852
15531,2021,Transitorio,1430
15531,2022,Permanente,31606
15531,2022,Transitorio,1398
15533,2019,Permanente,1514
15533,2019,Transitorio,144
15533,2020,Permanente,330
15533,2020,Transitorio,184
15533,2021,Permanente,1383
15533,2021,Transitorio,153
15533,2022,Permanente,1533
15533,2022,Transitorio,153
15537,2019,Permanente,27
15537,2019,Transitorio,765
15537,2020,Permanente,12
15537,2020,Transitorio,859
15537,2021,Permanente,18
15537,2021,Transitorio,752
15537,2022,Permanente,16
15537,2022,Transitorio,707
15542,2019,Permanente,1
15542,2019,Transitorio,30155
15542,2020,Permanente,8
15542,2020,Transitorio,10758
15542,2021,Permanente,8
15542,2021,Transitorio,14723
15542,2022,Transitorio,10506
15550,2019,Permanente,555
15550,2019,Transitorio,126
15550,2020,Permanente,611
15550,2020,Transitorio,196
15550,2021,Permanente,1116
15550,2021,Transitorio,134
15550,2022,Permanente,1050
15550,2022,Transitorio,127
15572,2019,Permanente,2567
15572,2019,Transitorio,2615
15572,2020,Permanente,2869
15572,2020,Transitorio,3685
15572,2021,Permanente,2715
15572,2021,Transitorio,2149
15572,2022,Permanente,3259
15572,2022,Transitorio,904
15580,2019,Permanente,12722
15580,2019,Transitorio,2627
15580,2020,Permanente,13498
15580,2020,Transitorio,3275
15580,2021,Permanente,13531
15580,2021,Transitorio,2210
15580,2022,Permanente,12180
15580,2022,Transitorio,1605
15599,2019,Permanente,2704
15599,2019,Transitorio,10865
15599,2020,Permanente,2631
15599,2020,Transitorio,7720
15599,2021,Permanente,4404
15599,2021,Transitorio,9451
15599,2022,Permanente,5628
15599,2022,Transitorio,9609
15600,2019,Permanente,773
15600,2019,Transitorio,13040
15600,2020,Permanente,844
15600,2020,Transitorio,12671
15600,2021,Permanente,1127
15600,2021,Transitorio,12030
15600,2022,Permanente,1063
15600,2022,Transitorio,17537
15621,2019,Permanente,2372
15621,2019,Transitorio,878
15621,2020,Permanente,2154
15621,2020,Transitorio,781
15621,2021,Permanente,1124
15621,2021,Transitorio,443
15621,2022,Permanente,1198
15621,2022,Transitorio,387
15632,2019,Permanente,10611
15632,2019,Transitorio,125258
15632,2020,Permanente,10251
15632,2020,Transitorio,115116
15632,2021,Permanente,5715
15632,2021,Transitorio,98472
15632,2022,Permanente,6102
15632,2022,Transitorio,100589
15638,2019,Transitorio,15170
15638,2020,Transitorio,14764
15638,2021,Transitorio,15085
15638,2022,Transitorio,18153
15646,2019,Permanente,0
15646,2019,Transitorio,79125
15646,2020,Permanente,4
15646,2020,Transitorio,61811
15646,2021,Permanente,20
15646,2021,Transitorio,60341
15646,2022,Permanente,20
15646,2022,Transitorio,67783
15660,2019,Permanente,2060
15660,2019,Transitorio,609
15660,2020,Permanente,4495
15660,2020,Transitorio,235
15660,2021,Permanente,6797
15660,2021,Transitorio,247
15660,2022,Permanente,6838
15660,2022,Transitorio,255
