geo,Municipio,Cultivo,Año,Área sembrada(ha)
15600,Ráquira,Uchuva,2019,4
15621,Rondón,Otros cítricos,2019,1
15621,Rondón,Limón,2019,2
15621,Rondón,Aguacate,2019,1
15621,Rondón,Banano,2019,3
15621,Rondón,Mora,2019,22
15621,Rondón,Piña,2019,1
15621,Rondón,Pitahaya,2019,1
15621,Rondón,Plátano,2019,60
15621,Rondón,Granadilla,2019,4
15621,Rondón,Gulupa o cholupa,2019,8
15621,Rondón,Lulo,2019,40
15621,Rondón,Tomate de árbol,2019,9
15621,Rondón,Uchuva,2019,1
15632,Saboyá,Mora,2019,333
15632,Saboyá,Curuba,2019,9
15632,Saboyá,Tomate de árbol,2019,131
15646,Samacá,Durazno o Albaricoque,2019,2
15646,Samacá,Fresa,2019,2
15646,Samacá,Granadilla,2019,1
15660,San Eduardo,Guanábana,2019,3
15660,San Eduardo,Mora,2019,2
15660,San Eduardo,Pitahaya,2019,12
15660,San Eduardo,Granadilla,2019,9
15660,San Eduardo,Gulupa o cholupa,2019,4
15660,San Eduardo,Lulo,2019,28
15660,San Eduardo,Tomate de árbol,2019,22
15664,San José de Pare,Guanábana,2019,0.5
15664,San José de Pare,Otros cítricos,2019,35
15664,San José de Pare,Aguacate,2019,0.5
15664,San José de Pare,Mango,2019,2
15664,San José de Pare,Plátano,2019,35
15664,San José de Pare,Zapote,2019,0.5
15664,San José de Pare,Feijoa,2019,1
15664,San José de Pare,Guayaba,2019,0.5
15664,San José de Pare,Lulo,2019,1
15667,San Luis de Gaceno,Mandarina,2019,3
15667,San Luis de Gaceno,Naranja,2019,5
15667,San Luis de Gaceno,Aguacate,2019,6
15667,San Luis de Gaceno,Plátano,2019,65
15667,San Luis de Gaceno,Arazá,2019,2
15673,San Mateo,Chirimoya,2019,55
15673,San Mateo,Durazno o Albaricoque,2019,6
15673,San Mateo,Otros cítricos,2019,45
15673,San Mateo,Aguacate,2019,13
15673,San Mateo,Plátano,2019,24
15676,San Miguel de Sema,Durazno o Albaricoque,2019,4
15676,San Miguel de Sema,Manzana,2019,6
15676,San Miguel de Sema,Agraz - Mortiño,2019,10
15676,San Miguel de Sema,Fresa,2019,5
15676,San Miguel de Sema,Mora,2019,6
15676,San Miguel de Sema,Curuba,2019,4
15681,San Pablo de Borbur,Guanábana,2019,33
15681,San Pablo de Borbur,Otros cítricos,2019,41
15681,San Pablo de Borbur,Aguacate,2019,106
15681,San Pablo de Borbur,Mora,2019,1
15681,San Pablo de Borbur,Papaya,2019,5
15681,San Pablo de Borbur,Pitahaya,2019,7
15681,San Pablo de Borbur,Plátano,2019,70
15681,San Pablo de Borbur,Guayaba,2019,3
15681,San Pablo de Borbur,Maracuyá,2019,1
15681,San Pablo de Borbur,Lulo,2019,14
15686,Santana,Mandarina,2019,20
15686,Santana,Naranja,2019,30
15686,Santana,Plátano,2019,51
15690,Santa María,Limón,2019,3
15690,Santa María,Mandarina,2019,3
15690,Santa María,Naranja,2019,3
15690,Santa María,Naranja,2019,5
15690,Santa María,Aguacate,2019,4
15690,Santa María,Banano,2019,13
15690,Santa María,Borojó,2019,0.5
15690,Santa María,Mango,2019,2
15690,Santa María,Papaya,2019,3
15690,Santa María,Plátano,2019,36
15690,Santa María,Zapote,2019,2
15690,Santa María,Arazá,2019,0.5
15690,Santa María,Chamba,2019,1
15690,Santa María,Guayaba,2019,1
15693,Santa Rosa de Viterbo,Arándano,2019,4
15693,Santa Rosa de Viterbo,Uchuva,2019,10
15696,Santa Sofía,Durazno o Albaricoque,2019,4
15696,Santa Sofía,Arándano,2019,3
15696,Santa Sofía,Curuba,2019,13
15720,Sativanorte,Limón,2019,6
15720,Sativanorte,Mandarina,2019,1
15720,Sativanorte,Naranja,2019,5
15720,Sativanorte,Aguacate,2019,3
15720,Sativanorte,Plátano,2019,8
15720,Sativanorte,Guayaba,2019,10
15720,Sativanorte,Curuba,2019,5
15720,Sativanorte,Lulo,2019,11
15723,Sativasur,Lulo,2019,2
15740,Siachoque,Fresa,2019,3
15740,Siachoque,Feijoa,2019,2
15740,Siachoque,Curuba,2019,2
15753,Soatá,Dátil,2019,9
15753,Soatá,Durazno o Albaricoque,2019,25
15753,Soatá,Limón,2019,11
15753,Soatá,Mandarina,2019,18
15753,Soatá,Naranja,2019,10
15753,Soatá,Aguacate,2019,9
15753,Soatá,Fresa,2019,3
15753,Soatá,Mango,2019,20
15753,Soatá,Mora,2019,8
15753,Soatá,Papaya,2019,8
15753,Soatá,Plátano,2019,20
15753,Soatá,Zapote,2019,5
15753,Soatá,Granadilla,2019,10
15753,Soatá,Maracuyá,2019,5
15753,Soatá,Lulo,2019,5
15753,Soatá,Tomate de árbol,2019,5
15755,Socotá,Aguacate,2019,10
15755,Socotá,Guayaba,2019,4
15759,Sogamoso,Durazno o Albaricoque,2019,2
15759,Sogamoso,Fresa,2019,6
15759,Sogamoso,Mora,2019,1
15759,Sogamoso,Feijoa,2019,4
15759,Sogamoso,Curuba,2019,1
15759,Sogamoso,Tomate de árbol,2019,1
15759,Sogamoso,Uchuva,2019,1
15761,Somondoco,Banano,2019,8
15763,Sotaquirá,Ciruela,2019,150
15763,Sotaquirá,Durazno o Albaricoque,2019,246
15763,Sotaquirá,Arándano,2019,80
15763,Sotaquirá,Mora,2019,49
15764,Soracá,Tomate de árbol,2019,50
