Año,geo,variable,Dependencia economica,Categoria
2018,15226,CUÍTIVA,0.007300,Centros poblados y rural disperso
2018,15232,CHÍQUIZA,0.002200,Centros poblados y rural disperso
2018,15236,CHIVOR,0.085500,Centros poblados y rural disperso
2018,15238,DUITAMA,0.004000,Centros poblados y rural disperso
2018,15244,EL COCUY,0.021100,Centros poblados y rural disperso
2018,15248,EL ESPINO,0.006600,Centros poblados y rural disperso
2018,15272,FIRAVITOBA,0.004200,Centros poblados y rural disperso
2018,15276,FLORESTA,0.000000,Centros poblados y rural disperso
2018,15293,GACHANTIVÁ,0.005000,Centros poblados y rural disperso
2018,15296,GAMEZA,0.009800,Centros poblados y rural disperso
2018,15299,GARAGOA,0.036900,Centros poblados y rural disperso
2018,15317,GUACAMAYAS,0.001700,Centros poblados y rural disperso
2018,15322,GUATEQUE,0.015700,Centros poblados y rural disperso
2018,15325,GUAYATÁ,0.017300,Centros poblados y rural disperso
2018,15332,GÜICÁN,0.304300,Centros poblados y rural disperso
2018,15362,IZA,0.003800,Centros poblados y rural disperso
2018,15367,JENESANO,0.001700,Centros poblados y rural disperso
2018,15368,JERICÓ,0.031300,Centros poblados y rural disperso
2018,15377,LABRANZAGRANDE,0.293400,Centros poblados y rural disperso
2018,15380,LA CAPILLA,0.010300,Centros poblados y rural disperso
2018,15401,LA VICTORIA,0.127400,Centros poblados y rural disperso
2018,15403,LA UVITA,0.011500,Centros poblados y rural disperso
2018,15407,VILLA DE LEYVA,0.015600,Centros poblados y rural disperso
2018,15425,MACANAL,0.035500,Centros poblados y rural disperso
2018,15442,MARIPÍ,0.123400,Centros poblados y rural disperso
2018,15455,MIRAFLORES,0.023600,Centros poblados y rural disperso
2018,15464,MONGUA,0.107500,Centros poblados y rural disperso
2018,15466,MONGUÍ,0.012100,Centros poblados y rural disperso
2018,15469,MONIQUIRÁ,0.020700,Centros poblados y rural disperso
2018,15476,MOTAVITA,0.003300,Centros poblados y rural disperso
2018,15480,MUZO,0.237200,Centros poblados y rural disperso
2018,15491,NOBSA,0.000900,Centros poblados y rural disperso
2018,15494,NUEVO COLON,0.008900,Centros poblados y rural disperso
2018,15500,OICATÁ,0.007100,Centros poblados y rural disperso
2018,15507,OTANCHE,0.275300,Centros poblados y rural disperso
2018,15511,PACHAVITA,0.010800,Centros poblados y rural disperso
2018,15514,PÁEZ,0.088100,Centros poblados y rural disperso
2018,15516,PAIPA,0.006200,Centros poblados y rural disperso
2018,15518,PAJARITO,0.037300,Centros poblados y rural disperso
2018,15522,PANQUEBA,0.032800,Centros poblados y rural disperso
2018,15531,PAUNA,0.108000,Centros poblados y rural disperso
2018,15533,PAYA,0.444400,Centros poblados y rural disperso
2018,15537,PAZ DE RÍO,0.001400,Centros poblados y rural disperso
