geo,Municipio,Desagregación cultivo,Año,Área sembrada,Ciclo del cultivo
15380,La Capilla,Frijol,2019,17.000000,Transitorio
15380,La Capilla,Frijol,2019,320.000000,Transitorio
15380,La Capilla,Habichuela,2019,20.000000,Transitorio
15380,La Capilla,Habichuela,2019,10.000000,Transitorio
15401,La Victoria,Frijol,2019,3.000000,Transitorio
15401,La Victoria,Frijol,2019,1.000000,Transitorio
15403,La Uvita,Arveja,2019,11.000000,Transitorio
15403,La Uvita,Arveja,2019,6.000000,Transitorio
15403,La Uvita,Frijol,2019,25.000000,Transitorio
15403,La Uvita,Frijol,2019,10.000000,Transitorio
15403,La Uvita,Haba,2019,8.000000,Transitorio
15403,La Uvita,Haba,2019,3.000000,Transitorio
15407,Villa de Leyva,Frijol,2019,9.000000,Transitorio
15407,Villa de Leyva,Frijol,2019,12.000000,Transitorio
15425,Macanal,Arveja,2019,14.000000,Transitorio
15425,Macanal,Arveja,2019,2.000000,Transitorio
15425,Macanal,Frijol,2019,10.000000,Transitorio
15425,Macanal,Frijol,2019,350.000000,Transitorio
15442,Maripí,Arveja,2019,7.000000,Transitorio
15442,Maripí,Frijol,2019,10.000000,Transitorio
15455,Miraflores,Arveja,2019,10.000000,Transitorio
15455,Miraflores,Arveja,2019,10.000000,Transitorio
15455,Miraflores,Frijol,2019,40.000000,Transitorio
15455,Miraflores,Frijol,2019,35.000000,Transitorio
15464,Mongua,Arveja,2019,10.000000,Transitorio
15464,Mongua,Arveja,2019,17.000000,Transitorio
15464,Mongua,Haba,2019,42.000000,Transitorio
15466,Monguí,Arveja,2019,10.000000,Transitorio
15466,Monguí,Arveja,2019,9.000000,Transitorio
15466,Monguí,Frijol,2019,1.000000,Transitorio
15466,Monguí,Haba,2019,5.000000,Transitorio
15469,Moniquirá,Frijol,2019,82.000000,Transitorio
15469,Moniquirá,Frijol,2019,40.000000,Transitorio
15476,Motavita,Arveja,2019,20.000000,Transitorio
15476,Motavita,Arveja,2019,20.000000,Transitorio
15476,Motavita,Haba,2019,5.000000,Transitorio
15480,Muzo,Frijol,2019,35.000000,Transitorio
15480,Muzo,Frijol,2019,34.000000,Transitorio
15480,Muzo,Maní,2019,2.000000,Transitorio
15480,Muzo,Maní,2019,2.000000,Transitorio
15491,Nobsa,Frijol,2019,10.000000,Transitorio
15491,Nobsa,Frijol,2019,18.000000,Transitorio
15491,Nobsa,Haba,2019,2.000000,Transitorio
15491,Nobsa,Haba,2019,2.000000,Transitorio
15494,Nuevo Colón,Arveja,2019,20.000000,Transitorio
15494,Nuevo Colón,Frijol,2019,50.000000,Transitorio
15494,Nuevo Colón,Haba,2019,6.000000,Transitorio
15494,Nuevo Colón,Haba,2019,4.000000,Transitorio
15500,Oicatá,Arveja,2019,5.000000,Transitorio
15500,Oicatá,Arveja,2019,5.000000,Transitorio
15507,Otanche,Frijol,2019,10.000000,Transitorio
15507,Otanche,Frijol,2019,2.000000,Transitorio
15511,Pachavita,Arveja,2019,18.000000,Transitorio
15511,Pachavita,Arveja,2019,12.000000,Transitorio
15511,Pachavita,Frijol,2019,4.000000,Transitorio
15511,Pachavita,Frijol,2019,140.000000,Transitorio
15514,Páez,Frijol,2019,14.000000,Transitorio
15514,Páez,Frijol,2019,14.000000,Transitorio
15516,Paipa,Arveja,2019,46.700000,Transitorio
15516,Paipa,Arveja,2019,44.700000,Transitorio
15516,Paipa,Frijol,2019,9.200000,Transitorio
15516,Paipa,Frijol,2019,8.900000,Transitorio
15518,Pajarito,Frijol,2019,13.000000,Transitorio
15518,Pajarito,Guandul,2019,13.000000,Transitorio
15522,Panqueba,Frijol,2019,12.000000,Transitorio
15531,Pauna,Frijol,2019,6.000000,Transitorio
15531,Pauna,Frijol,2019,2.000000,Transitorio
15531,Pauna,Habichuela,2019,2.000000,Transitorio
15531,Pauna,Maní,2019,21.000000,Transitorio
15531,Pauna,Maní,2019,2.000000,Transitorio
15533,Paya,Arveja,2019,3.000000,Transitorio
15533,Paya,Guandul,2019,15.000000,Transitorio
15537,Paz de Río,Arveja,2019,4.000000,Transitorio
15537,Paz de Río,Arveja,2019,5.000000,Transitorio
15537,Paz de Río,Frijol,2019,12.000000,Transitorio
15542,Pesca,Arveja,2019,120.000000,Transitorio
15542,Pesca,Arveja,2019,87.000000,Transitorio
15542,Pesca,Haba,2019,12.000000,Transitorio
15542,Pesca,Haba,2019,9.000000,Transitorio
15550,Pisba,Arveja,2019,5.000000,Transitorio
15550,Pisba,Guandul,2019,4.000000,Transitorio
15599,Ramiriquí,Arveja,2019,55.000000,Transitorio
15599,Ramiriquí,Arveja,2019,20.000000,Transitorio
15599,Ramiriquí,Frijol,2019,23.000000,Transitorio
15599,Ramiriquí,Haba,2019,1.000000,Transitorio
15600,Ráquira,Arveja,2019,73.000000,Transitorio
15600,Ráquira,Arveja,2019,71.000000,Transitorio
15600,Ráquira,Haba,2019,2.000000,Transitorio
15600,Ráquira,Haba,2019,2.000000,Transitorio
15600,Ráquira,Habichuela,2019,11.000000,Transitorio
15600,Ráquira,Habichuela,2019,11.000000,Transitorio
15621,Rondón,Arveja,2019,10.000000,Transitorio
15621,Rondón,Arveja,2019,2.000000,Transitorio
15621,Rondón,Frijol,2019,5.000000,Transitorio
15621,Rondón,Frijol,2019,20.000000,Transitorio
15632,Saboyá,Arveja,2019,390.000000,Transitorio
15632,Saboyá,Arveja,2019,380.000000,Transitorio
15646,Samacá,Arveja,2019,198.000000,Transitorio
15646,Samacá,Arveja,2019,220.000000,Transitorio
15646,Samacá,Frijol,2019,3.000000,Transitorio
15660,San Eduardo,Arveja,2019,4.000000,Transitorio
15660,San Eduardo,Frijol,2019,5.000000,Transitorio
15660,San Eduardo,Frijol,2019,5.000000,Transitorio
15664,San José de Pare,Arveja,2019,1.000000,Transitorio
15664,San José de Pare,Frijol,2019,20.000000,Transitorio
15664,San José de Pare,Frijol,2019,8.000000,Transitorio
15664,San José de Pare,Habichuela,2019,1.000000,Transitorio
15664,San José de Pare,Habichuela,2019,1.000000,Transitorio
15673,San Mateo,Arveja,2019,10.000000,Transitorio
15673,San Mateo,Frijol,2019,50.000000,Transitorio
15673,San Mateo,Frijol,2019,40.000000,Transitorio
15676,San Miguel de Sema,Arveja,2019,10.000000,Transitorio
15676,San Miguel de Sema,Arveja,2019,32.000000,Transitorio
15676,San Miguel de Sema,Frijol,2019,6.000000,Transitorio
15676,San Miguel de Sema,Frijol,2019,13.000000,Transitorio
15681,San Pablo de Borbur,Arveja,2019,1.000000,Transitorio
15681,San Pablo de Borbur,Arveja,2019,1.000000,Transitorio
15681,San Pablo de Borbur,Frijol,2019,28.000000,Transitorio
15681,San Pablo de Borbur,Frijol,2019,45.000000,Transitorio
15681,San Pablo de Borbur,Maní,2019,12.000000,Transitorio
15681,San Pablo de Borbur,Maní,2019,15.000000,Transitorio
15686,Santana,Frijol,2019,22.000000,Transitorio
15686,Santana,Frijol,2019,22.000000,Transitorio
15690,Santa María,Frijol,2019,6.000000,Transitorio
15693,Santa Rosa de Viterbo,Arveja,2019,14.000000,Transitorio
15693,Santa Rosa de Viterbo,Arveja,2019,15.000000,Transitorio
15696,Santa Sofía,Arveja,2019,8.000000,Transitorio
15720,Sativanorte,Arveja,2019,10.000000,Transitorio
15720,Sativanorte,Arveja,2019,11.000000,Transitorio
15720,Sativanorte,Frijol,2019,3.000000,Transitorio
15720,Sativanorte,Frijol,2019,4.000000,Transitorio
15720,Sativanorte,Haba,2019,1.000000,Transitorio
