geo,Año,Rango de edad,Sexo,Casos
15176,2023,Adolescencia,Mujer,16
15176,2023,Adolescencia,Hombre,2
15176,2023,Adultez,Mujer,21
15176,2023,Adultez,Hombre,2
15176,2023,Infancia,Mujer,5
15176,2023,Infancia,Hombre,3
15176,2023,Juventud,Mujer,29
15176,2023,Juventud,Hombre,2
15176,2023,Primera infancia,Mujer,4
15176,2023,Primera infancia,Hombre,5
15176,2023,Vejez,Mujer,3
15176,2023,Vejez,Hombre,1
15176,2024,Adolescencia,Mujer,5
15176,2024,Adolescencia,Hombre,2
15176,2024,Adultez,Mujer,13
15176,2024,Infancia,Mujer,5
15176,2024,Infancia,Hombre,4
15176,2024,Juventud,Mujer,9
15176,2024,Primera infancia,Mujer,3
15176,2024,Primera infancia,Hombre,2
15176,2024,Vejez,Mujer,2
15180,2020,Adolescencia,Hombre,1
15180,2020,Adultez,Mujer,1
15180,2020,Adultez,Hombre,1
15180,2020,Juventud,Mujer,1
15180,2020,Primera infancia,Mujer,1
15180,2021,Adultez,Mujer,1
15180,2021,Juventud,Mujer,1
15180,2022,Adultez,Mujer,1
15180,2022,Vejez,Hombre,1
15180,2023,Adolescencia,Mujer,2
15180,2023,Adolescencia,Hombre,1
15180,2023,Adultez,Mujer,1
15180,2023,Primera infancia,Mujer,1
15180,2023,Vejez,Mujer,1
15180,2024,Adolescencia,Mujer,1
15180,2024,Juventud,Mujer,1
15180,2024,Primera infancia,Hombre,1
15180,2024,Vejez,Mujer,3
15183,2020,Adolescencia,Hombre,2
15183,2020,Adultez,Mujer,8
15183,2020,Infancia,Mujer,1
15183,2020,Juventud,Mujer,3
15183,2020,Primera infancia,Mujer,2
15183,2020,Primera infancia,Hombre,4
15183,2021,Adolescencia,Mujer,3
15183,2021,Adultez,Mujer,6
15183,2021,Infancia,Mujer,3
15183,2021,Juventud,Mujer,6
15183,2021,Juventud,Hombre,1
15183,2021,Primera infancia,Hombre,1
15183,2021,Vejez,Mujer,1
15183,2022,Adolescencia,Mujer,5
15183,2022,Adolescencia,Hombre,2
15183,2022,Adultez,Mujer,4
15183,2022,Infancia,Mujer,2
15183,2022,Infancia,Hombre,3
15183,2022,Juventud,Mujer,3
15183,2022,Primera infancia,Mujer,3
15183,2022,Primera infancia,Hombre,2
15183,2022,Vejez,Mujer,3
15183,2022,Vejez,Hombre,1
15183,2023,Adolescencia,Mujer,5
15183,2023,Adolescencia,Hombre,1
15183,2023,Adultez,Mujer,13
15183,2023,Infancia,Mujer,4
15183,2023,Juventud,Mujer,2
15183,2023,Primera infancia,Mujer,3
15183,2023,Vejez,Mujer,1
15183,2024,Adolescencia,Mujer,5
15183,2024,Adolescencia,Hombre,1
15183,2024,Adultez,Mujer,6
15183,2024,Juventud,Mujer,4
15183,2024,Primera infancia,Mujer,2
15183,2024,Primera infancia,Hombre,1
15183,2024,Vejez,Mujer,1
15183,2024,Vejez,Hombre,1
15185,2020,Adolescencia,Mujer,1
15185,2020,Adultez,Mujer,8
15185,2020,Adultez,Hombre,1
15185,2020,Infancia,Mujer,2
15185,2020,Infancia,Hombre,3
15185,2020,Juventud,Mujer,7
15185,2020,Primera infancia,Hombre,4
15185,2020,Vejez,Mujer,2
15185,2020,Vejez,Hombre,1
15185,2021,Adolescencia,Mujer,5
15185,2021,Adolescencia,Hombre,1
15185,2021,Adultez,Mujer,7
15185,2021,Infancia,Mujer,4
15185,2021,Infancia,Hombre,1
15185,2021,Juventud,Mujer,3
15185,2021,Primera infancia,Mujer,1
15185,2021,Primera infancia,Hombre,1
15185,2021,Vejez,Hombre,3
15185,2022,Adolescencia,Mujer,8
15185,2022,Adolescencia,Hombre,3
15185,2022,Adultez,Mujer,14
15185,2022,Adultez,Hombre,1
15185,2022,Infancia,Mujer,6
15185,2022,Infancia,Hombre,1
15185,2022,Juventud,Mujer,8
15185,2022,Primera infancia,Mujer,3
15185,2022,Primera infancia,Hombre,2
15185,2022,Vejez,Mujer,2
15185,2022,Vejez,Hombre,1
15185,2023,Adolescencia,Mujer,6
15185,2023,Adolescencia,Hombre,1
15185,2023,Adultez,Mujer,8
15185,2023,Adultez,Hombre,1
15185,2023,Infancia,Mujer,6
15185,2023,Infancia,Hombre,4
15185,2023,Juventud,Mujer,6
15185,2023,Primera infancia,Mujer,2
15185,2023,Primera infancia,Hombre,5
15185,2023,Vejez,Mujer,2
15185,2023,Vejez,Hombre,3
15185,2024,Adolescencia,Mujer,4
15185,2024,Adolescencia,Hombre,1
15185,2024,Adultez,Mujer,1
15185,2024,Infancia,Mujer,2
15185,2024,Infancia,Hombre,5
15185,2024,Juventud,Mujer,1
15185,2024,Primera infancia,Mujer,2
15185,2024,Primera infancia,Hombre,3
15185,2024,Vejez,Mujer,2
15185,2024,Vejez,Hombre,5
15187,2020,Adolescencia,Mujer,1
15187,2020,Adolescencia,Hombre,1
15187,2020,Adultez,Mujer,3
15187,2020,Juventud,Mujer,3
15187,2020,Vejez,Hombre,1
15187,2021,Adolescencia,Mujer,4
15187,2021,Adultez,Mujer,7
15187,2021,Infancia,Mujer,1
15187,2021,Juventud,Mujer,1
15187,2022,Adolescencia,Mujer,3
15187,2022,Adultez,Mujer,6
15187,2022,Juventud,Mujer,2
15187,2022,Juventud,Hombre,1
15187,2023,Adolescencia,Mujer,1
15187,2023,Adultez,Mujer,3
15187,2023,Infancia,Mujer,1
15187,2023,Juventud,Mujer,2
15187,2023,Juventud,Hombre,1
15187,2023,Vejez,Hombre,1
15187,2024,Adolescencia,Mujer,1
15187,2024,Adultez,Mujer,1
15187,2024,Adultez,Hombre,2
15187,2024,Infancia,Mujer,2
15187,2024,Infancia,Hombre,3
15187,2024,Juventud,Mujer,2
15187,2024,Vejez,Mujer,1
15189,2020,Adolescencia,Mujer,3
15189,2020,Adultez,Mujer,8
15189,2020,Infancia,Mujer,1
15189,2020,Infancia,Hombre,1
15189,2020,Juventud,Mujer,2
15189,2020,Primera infancia,Mujer,1
15189,2020,Vejez,Mujer,1
15189,2020,Vejez,Hombre,2
15189,2021,Adolescencia,Mujer,1
15189,2021,Adultez,Mujer,4
15189,2021,Juventud,Mujer,3
15189,2021,Primera infancia,Mujer,1
15189,2021,Vejez,Mujer,2
15189,2022,Adolescencia,Mujer,3
15189,2022,Adultez,Mujer,7
15189,2022,Adultez,Hombre,2
15189,2022,Infancia,Hombre,1
15189,2022,Juventud,Mujer,6
15189,2022,Juventud,Hombre,2
15189,2022,Vejez,Mujer,1
15189,2022,Vejez,Hombre,1
15189,2023,Adolescencia,Mujer,2
15189,2023,Adolescencia,Hombre,2
15189,2023,Adultez,Mujer,9
15189,2023,Adultez,Hombre,1
15189,2023,Infancia,Mujer,1
15189,2023,Infancia,Hombre,1
15189,2023,Juventud,Mujer,1
15189,2023,Vejez,Mujer,4
15189,2023,Vejez,Hombre,2
15189,2024,Adolescencia,Mujer,1
15189,2024,Adultez,Mujer,4
15189,2024,Adultez,Hombre,1
15189,2024,Juventud,Mujer,1
15189,2024,Juventud,Hombre,1
15189,2024,Primera infancia,Hombre,1
15189,2024,Vejez,Mujer,1
15204,2020,Adolescencia,Mujer,1
15204,2020,Adultez,Mujer,6
15204,2020,Infancia,Hombre,1
15204,2020,Juventud,Mujer,3
15204,2020,Juventud,Hombre,2
15204,2020,Vejez,Mujer,1
15204,2021,Adolescencia,Mujer,1
15204,2021,Adultez,Mujer,5
15204,2021,Adultez,Hombre,1
15204,2021,Infancia,Hombre,1
15204,2021,Juventud,Mujer,2
15204,2022,Adolescencia,Mujer,4
15204,2022,Adultez,Mujer,4
15204,2022,Adultez,Hombre,1
15204,2022,Infancia,Mujer,1
15204,2022,Infancia,Hombre,1
15204,2022,Juventud,Mujer,2
15204,2022,Juventud,Hombre,2
15204,2022,Vejez,Mujer,1
15204,2022,Vejez,Hombre,1
15204,2023,Adolescencia,Mujer,3
15204,2023,Adolescencia,Hombre,1
15204,2023,Adultez,Mujer,10
15204,2023,Adultez,Hombre,2
15204,2023,Infancia,Mujer,7
15204,2023,Infancia,Hombre,3
15204,2023,Juventud,Mujer,3
15204,2023,Juventud,Hombre,3
15204,2023,Vejez,Mujer,2
15204,2023,Vejez,Hombre,1
15204,2024,Adolescencia,Mujer,8
15204,2024,Adultez,Mujer,3
15204,2024,Adultez,Hombre,5
15204,2024,Infancia,Mujer,2
15204,2024,Juventud,Mujer,3
15204,2024,Juventud,Hombre,2
15204,2024,Vejez,Mujer,1
15212,2020,Adultez,Mujer,2
15212,2020,Juventud,Mujer,2
15212,2020,Primera infancia,Mujer,1
15212,2021,Adultez,Mujer,2
15212,2021,Juventud,Mujer,1
15212,2021,Vejez,Mujer,1
15212,2022,Adolescencia,Mujer,2
15212,2022,Adolescencia,Hombre,1
15212,2023,Adultez,Mujer,3
15212,2024,Adolescencia,Mujer,1
15215,2020,Adultez,Mujer,10
15215,2020,Juventud,Mujer,1
15215,2021,Adultez,Mujer,7
15215,2021,Infancia,Mujer,4
15215,2021,Juventud,Mujer,5
15215,2021,Primera infancia,Mujer,1
15215,2021,Primera infancia,Hombre,1
15215,2022,Adolescencia,Mujer,3
15215,2022,Adultez,Mujer,2
15215,2022,Infancia,Mujer,1
15215,2022,Juventud,Mujer,2
15215,2023,Adultez,Mujer,1
15215,2023,Infancia,Mujer,2
15215,2023,Juventud,Mujer,1
15215,2024,Juventud,Mujer,1
15218,2020,Infancia,Hombre,2
15218,2021,Adultez,Mujer,1
15218,2021,Juventud,Hombre,1
15218,2021,Vejez,Mujer,1
15218,2022,Adultez,Mujer,1
15218,2022,Infancia,Hombre,2
15218,2022,Vejez,Mujer,1
15218,2023,Adolescencia,Mujer,1
15218,2023,Adolescencia,Hombre,2
15218,2023,Adultez,Mujer,3
15218,2023,Infancia,Mujer,1
15218,2023,Juventud,Mujer,2
15218,2023,Vejez,Mujer,2
15218,2023,Vejez,Hombre,3
15218,2024,Adolescencia,Mujer,2
15218,2024,Adolescencia,Hombre,1
15218,2024,Adultez,Mujer,1
15218,2024,Juventud,Mujer,1
15218,2024,Primera infancia,Mujer,1
15218,2024,Vejez,Mujer,1
15218,2024,Vejez,Hombre,1
15223,2020,Adolescencia,Mujer,3
15223,2020,Adultez,Mujer,2
15223,2020,Infancia,Mujer,2
15223,2020,Infancia,Hombre,2
15223,2020,Juventud,Mujer,4
15223,2020,Juventud,Hombre,1
15223,2020,Primera infancia,Mujer,4
15223,2020,Primera infancia,Hombre,4
15223,2021,Adolescencia,Mujer,5
15223,2021,Adolescencia,Hombre,1
15223,2021,Adultez,Mujer,5
15223,2021,Adultez,Hombre,2
15223,2021,Infancia,Hombre,3
15223,2021,Juventud,Mujer,5
15223,2021,Juventud,Hombre,1
15223,2021,Primera infancia,Mujer,5
15223,2021,Primera infancia,Hombre,4
15223,2021,Vejez,Mujer,1
15223,2021,Vejez,Hombre,1
15223,2022,Adolescencia,Mujer,7
15223,2022,Adolescencia,Hombre,1
15223,2022,Adultez,Mujer,1
15223,2022,Infancia,Mujer,6
15223,2022,Infancia,Hombre,4
15223,2022,Juventud,Mujer,3
15223,2022,Primera infancia,Mujer,15
15223,2022,Primera infancia,Hombre,12
15223,2023,Adolescencia,Mujer,11
15223,2023,Adolescencia,Hombre,3
15223,2023,Adultez,Mujer,2
15223,2023,Infancia,Mujer,11
15223,2023,Infancia,Hombre,9
15223,2023,Juventud,Mujer,7
15223,2023,Primera infancia,Mujer,15
15223,2023,Primera infancia,Hombre,11
15223,2023,Vejez,Mujer,1
15223,2024,Adolescencia,Mujer,6
15223,2024,Adolescencia,Hombre,1
15223,2024,Adultez,Mujer,6
15223,2024,Adultez,Hombre,1
15223,2024,Infancia,Mujer,3
