geo,Municipio,Cultivo,Año,Rendimiento (t/ha)
15135,CAMPOHERMOSO,Cacao,2018,5
15686,SANTANA,Cacao,2018,4
15514,PAEZ,Cacao,2018,7
15533,PAYA,Cacao,2018,5
15455,MIRAFLORES,Cacao,2018,5
15832,TUNUNGUA,Cacao,2018,9
15090,BERBEO,Cacao,2018,
15469,MONIQUIRA,Cafe,2007,1
15897,ZETAQUIRA,Cafe,2007,75
15455,MIRAFLORES,Cafe,2007,75
15816,TOGUI,Cafe,2007,1
15664,SAN JOSE DE PARE,Cafe,2007,1
15377,LABRANZAGRANDE,Cafe,2007,7
15686,SANTANA,Cafe,2007,6
15185,CHITARAQUE,Cafe,2007,1
15442,MARIPI,Cafe,2007,7
15090,BERBEO,Cafe,2007,75
15106,BRICEÑO,Cafe,2007,7
15109,BUENAVISTA,Cafe,2007,66
15212,COPER,Cafe,2007,64
15531,PAUNA,Cafe,2007,1
15325,GUAYATA,Cafe,2007,12
15401,LA VICTORIA,Cafe,2007,88
15681,SAN PABLO DE BORBUR,Cafe,2007,6
15832,TUNUNGUA,Cafe,2007,7
15550,PISBA,Cafe,2007,125
15514,PAEZ,Cafe,2007,8
15533,PAYA,Cafe,2007,57
15511,PACHAVITA,Cafe,2007,8
15507,OTANCHE,Cafe,2007,75
15660,SAN EDUARDO,Cafe,2007,94
15673,SAN MATEO,Cafe,2007,1
15798,TENZA,Cafe,2007,9
15172,CHINAVITA,Cafe,2007,92
15580,QUIPAMA,Cafe,2007,94
15518,PAJARITO,Cafe,2007,13
15480,MUZO,Cafe,2007,1
15761,SOMONDOCO,Cafe,2007,5
15022,ALMEIDA,Cafe,2007,4
15690,SANTA MARIA,Cafe,2007,1
15755,SOCOTA,Cafe,2007,1
15696,SANTA SOFIA,Cafe,2007,114
15778,SUTATENZA,Cafe,2007,5
15236,CHIVOR,Cafe,2007,5
15469,MONIQUIRA,Cafe,2008,1
15897,ZETAQUIRA,Cafe,2008,95
15455,MIRAFLORES,Cafe,2008,9
15816,TOGUI,Cafe,2008,1
15664,SAN JOSE DE PARE,Cafe,2008,11
15185,CHITARAQUE,Cafe,2008,1
15686,SANTANA,Cafe,2008,6
15442,MARIPI,Cafe,2008,7
15090,BERBEO,Cafe,2008,75
15106,BRICEÑO,Cafe,2008,7
15109,BUENAVISTA,Cafe,2008,1
15531,PAUNA,Cafe,2008,1
15212,COPER,Cafe,2008,53
15325,GUAYATA,Cafe,2008,12
15377,LABRANZAGRANDE,Cafe,2008,37
15550,PISBA,Cafe,2008,71
15533,PAYA,Cafe,2008,37
15514,PAEZ,Cafe,2008,8
15660,SAN EDUARDO,Cafe,2008,93
15507,OTANCHE,Cafe,2008,75
15681,SAN PABLO DE BORBUR,Cafe,2008,6
15832,TUNUNGUA,Cafe,2008,7
15673,SAN MATEO,Cafe,2008,1
15425,MACANAL,Cafe,2008,9
15401,LA VICTORIA,Cafe,2008,1
15798,TENZA,Cafe,2008,9
15511,PACHAVITA,Cafe,2008,8
15518,PAJARITO,Cafe,2008,13
15761,SOMONDOCO,Cafe,2008,5
15580,QUIPAMA,Cafe,2008,88
15690,SANTA MARIA,Cafe,2008,1
15778,SUTATENZA,Cafe,2008,11
15322,GUATEQUE,Cafe,2008,6
15696,SANTA SOFIA,Cafe,2008,1
15480,MUZO,Cafe,2008,1
15022,ALMEIDA,Cafe,2008,4
15236,CHIVOR,Cafe,2008,5
15469,MONIQUIRA,Cafe,2009,99
15897,ZETAQUIRA,Cafe,2009,65
15455,MIRAFLORES,Cafe,2009,9
15816,TOGUI,Cafe,2009,1
15664,SAN JOSE DE PARE,Cafe,2009,11
15185,CHITARAQUE,Cafe,2009,1
15090,BERBEO,Cafe,2009,75
15686,SANTANA,Cafe,2009,64
15531,PAUNA,Cafe,2009,5
15106,BRICEÑO,Cafe,2009,4
15109,BUENAVISTA,Cafe,2009,4
15212,COPER,Cafe,2009,5
15442,MARIPI,Cafe,2009,4
15325,GUAYATA,Cafe,2009,12
15550,PISBA,Cafe,2009,4
15377,LABRANZAGRANDE,Cafe,2009,5
15533,PAYA,Cafe,2009,5
15681,SAN PABLO DE BORBUR,Cafe,2009,8
15514,PAEZ,Cafe,2009,8
15660,SAN EDUARDO,Cafe,2009,93
15135,CAMPOHERMOSO,Cafe,2009,6
15673,SAN MATEO,Cafe,2009,1
15425,MACANAL,Cafe,2009,1
15401,LA VICTORIA,Cafe,2009,8
15832,TUNUNGUA,Cafe,2009,5
15755,SOCOTA,Cafe,2009,1
15798,TENZA,Cafe,2009,9
15621,RONDON,Cafe,2009,1
15842,UMBITA,Cafe,2009,5
15172,CHINAVITA,Cafe,2009,9
15511,PACHAVITA,Cafe,2009,8
15507,OTANCHE,Cafe,2009,8
15518,PAJARITO,Cafe,2009,13
15761,SOMONDOCO,Cafe,2009,5
15580,QUIPAMA,Cafe,2009,7
15778,SUTATENZA,Cafe,2009,11
15480,MUZO,Cafe,2009,1
15690,SANTA MARIA,Cafe,2009,1
15696,SANTA SOFIA,Cafe,2009,1
15317,GUACAMAYAS,Cafe,2009,1
15022,ALMEIDA,Cafe,2009,4
15322,GUATEQUE,Cafe,2009,6
15774,SUSACON,Cafe,2009,6
15236,CHIVOR,Cafe,2009,5
15469,MONIQUIRA,Cafe,2010,65
15897,ZETAQUIRA,Cafe,2010,65
15455,MIRAFLORES,Cafe,2010,1
15664,SAN JOSE DE PARE,Cafe,2010,105
15816,TOGUI,Cafe,2010,1
15686,SANTANA,Cafe,2010,62
15185,CHITARAQUE,Cafe,2010,1
15090,BERBEO,Cafe,2010,87
15531,PAUNA,Cafe,2010,5
15325,GUAYATA,Cafe,2010,5
15212,COPER,Cafe,2010,55
15442,MARIPI,Cafe,2010,54
15109,BUENAVISTA,Cafe,2010,7
15550,PISBA,Cafe,2010,1
15377,LABRANZAGRANDE,Cafe,2010,5
15533,PAYA,Cafe,2010,5
15514,PAEZ,Cafe,2010,8
15660,SAN EDUARDO,Cafe,2010,93
15106,BRICEÑO,Cafe,2010,4
15681,SAN PABLO DE BORBUR,Cafe,2010,6
15673,SAN MATEO,Cafe,2010,1
15135,CAMPOHERMOSO,Cafe,2010,6
15842,UMBITA,Cafe,2010,5
15425,MACANAL,Cafe,2010,1
15507,OTANCHE,Cafe,2010,1
15621,RONDON,Cafe,2010,1
15172,CHINAVITA,Cafe,2010,1
15798,TENZA,Cafe,2010,8
15755,SOCOTA,Cafe,2010,1
15401,LA VICTORIA,Cafe,2010,1
15761,SOMONDOCO,Cafe,2010,5
15518,PAJARITO,Cafe,2010,13
15580,QUIPAMA,Cafe,2010,75
15832,TUNUNGUA,Cafe,2010,5
15774,SUSACON,Cafe,2010,6
15778,SUTATENZA,Cafe,2010,11
15696,SANTA SOFIA,Cafe,2010,1
15022,ALMEIDA,Cafe,2010,4
15480,MUZO,Cafe,2010,1
15317,GUACAMAYAS,Cafe,2010,1
15322,GUATEQUE,Cafe,2010,6
15690,SANTA MARIA,Cafe,2010,9
15236,CHIVOR,Cafe,2010,5
15469,MONIQUIRA,Cafe,2011,67
15897,ZETAQUIRA,Cafe,2011,63
15455,MIRAFLORES,Cafe,2011,77
15664,SAN JOSE DE PARE,Cafe,2011,8
15816,TOGUI,Cafe,2011,85
15185,CHITARAQUE,Cafe,2011,9
15090,BERBEO,Cafe,2011,87
15531,PAUNA,Cafe,2011,5
15325,GUAYATA,Cafe,2011,5
15106,BRICEÑO,Cafe,2011,15
15212,COPER,Cafe,2011,6
15377,LABRANZAGRANDE,Cafe,2011,6
15109,BUENAVISTA,Cafe,2011,4
15442,MARIPI,Cafe,2011,5
15533,PAYA,Cafe,2011,64
15550,PISBA,Cafe,2011,79
15514,PAEZ,Cafe,2011,7
15660,SAN EDUARDO,Cafe,2011,73
15842,UMBITA,Cafe,2011,8
15681,SAN PABLO DE BORBUR,Cafe,2011,6
15135,CAMPOHERMOSO,Cafe,2011,6
15425,MACANAL,Cafe,2011,45
15507,OTANCHE,Cafe,2011,8
15673,SAN MATEO,Cafe,2011,78
15686,SANTANA,Cafe,2011,103
15511,PACHAVITA,Cafe,2011,4
15621,RONDON,Cafe,2011,8
15172,CHINAVITA,Cafe,2011,8
15798,TENZA,Cafe,2011,8
15299,GARAGOA,Cafe,2011,6
15755,SOCOTA,Cafe,2011,8
15761,SOMONDOCO,Cafe,2011,4
15580,QUIPAMA,Cafe,2011,8
15832,TUNUNGUA,Cafe,2011,5
15778,SUTATENZA,Cafe,2011,7
15696,SANTA SOFIA,Cafe,2011,8
15480,MUZO,Cafe,2011,7
15464,MONGUA,Cafe,2011,
15022,ALMEIDA,Cafe,2011,4
15317,GUACAMAYAS,Cafe,2011,1
15774,SUSACON,Cafe,2011,1
15690,SANTA MARIA,Cafe,2011,7
15401,LA VICTORIA,Cafe,2011,15
15236,CHIVOR,Cafe,2011,4
15469,MONIQUIRA,Cafe,2012,1
15897,ZETAQUIRA,Cafe,2012,63
15455,MIRAFLORES,Cafe,2012,5
15816,TOGUI,Cafe,2012,8
15664,SAN JOSE DE PARE,Cafe,2012,1
15090,BERBEO,Cafe,2012,87
15531,PAUNA,Cafe,2012,121
15109,BUENAVISTA,Cafe,2012,1
15185,CHITARAQUE,Cafe,2012,75
15212,COPER,Cafe,2012,53
15325,GUAYATA,Cafe,2012,6
15514,PAEZ,Cafe,2012,8
15442,MARIPI,Cafe,2012,6
15533,PAYA,Cafe,2012,5
15550,PISBA,Cafe,2012,5
15106,BRICEÑO,Cafe,2012,12
15681,SAN PABLO DE BORBUR,Cafe,2012,63
15660,SAN EDUARDO,Cafe,2012,9
15135,CAMPOHERMOSO,Cafe,2012,1
15842,UMBITA,Cafe,2012,8
15507,OTANCHE,Cafe,2012,
15425,MACANAL,Cafe,2012,5
15480,MUZO,Cafe,2012,1
15686,SANTANA,Cafe,2012,
15172,CHINAVITA,Cafe,2012,45
15580,QUIPAMA,Cafe,2012,8
15299,GARAGOA,Cafe,2012,5
15673,SAN MATEO,Cafe,2012,77
15621,RONDON,Cafe,2012,9
15511,PACHAVITA,Cafe,2012,4
15755,SOCOTA,Cafe,2012,8
15377,LABRANZAGRANDE,Cafe,2012,5
15798,TENZA,Cafe,2012,5
15761,SOMONDOCO,Cafe,2012,5
15518,PAJARITO,Cafe,2012,
15832,TUNUNGUA,Cafe,2012,75
15022,ALMEIDA,Cafe,2012,6
15778,SUTATENZA,Cafe,2012,12
15236,CHIVOR,Cafe,2012,
15464,MONGUA,Cafe,2012,
15401,LA VICTORIA,Cafe,2012,1
