geo,Municipio,Desagregación cultivo,Año,Área sembrada
15761,Somondoco,Tomate,2019,3
15762,Sora,Tomate,2019,1
15762,Sora,Tomate,2019,1
15762,Sora,Lechuga,2019,10
15762,Sora,Lechuga,2019,10
15762,Sora,Cebolla De Bulbo,2019,60
15762,Sora,Cebolla De Bulbo,2019,60
15762,Sora,Remolacha,2019,12
15762,Sora,Remolacha,2019,18
15764,Soracá,Lechuga,2019,2
15764,Soracá,Lechuga,2019,2
15764,Soracá,Cebolla De Bulbo,2019,9
15764,Soracá,Cebolla De Bulbo,2019,7
15764,Soracá,Zanahoria,2019,195
15764,Soracá,Zanahoria,2019,153
15776,Sutamarchán,Tomate Invernadero,2019,65
15776,Sutamarchán,Tomate Invernadero,2019,63
15776,Sutamarchán,Cebolla De Bulbo,2019,87
15776,Sutamarchán,Cebolla De Bulbo,2019,83
15778,Sutatenza,Ahuyama,2019,4
15778,Sutatenza,Ahuyama,2019,3
15778,Sutatenza,Pepino Cohombro,2019,6
15778,Sutatenza,Pepino Cohombro,2019,8
15778,Sutatenza,Pepino Guiso,2019,3
15778,Sutatenza,Pimentón,2019,3
15778,Sutatenza,Pimentón,2019,2
15778,Sutatenza,Tomate Invernadero,2019,2
15778,Sutatenza,Tomate Invernadero,2019,2
15798,Tenza,Ahuyama,2019,6
15798,Tenza,Ahuyama,2019,3
15798,Tenza,Pepino Cohombro,2019,6
15798,Tenza,Pepino Cohombro,2019,6
15798,Tenza,Pepino Guiso,2019,27
15798,Tenza,Pepino Guiso,2019,22
15798,Tenza,Pimentón,2019,12
15798,Tenza,Pimentón,2019,12
15798,Tenza,Tomate,2019,9
15798,Tenza,Tomate,2019,16
15798,Tenza,Tomate Invernadero,2019,22
15798,Tenza,Tomate Invernadero,2019,20
15804,Tibaná,Pepino Guiso,2019,22
15804,Tibaná,Pepino Guiso,2019,6
15806,Tibasosa,Tomate Invernadero,2019,70
15806,Tibasosa,Tomate Invernadero,2019,80
15806,Tibasosa,Cebolla De Bulbo,2019,190
15806,Tibasosa,Cebolla De Bulbo,2019,180
15808,Tinjacá,Ahuyama,2019,1
15808,Tinjacá,Pimentón,2019,4
15808,Tinjacá,Pimentón,2019,3
15808,Tinjacá,Tomate Invernadero,2019,34
15808,Tinjacá,Tomate Invernadero,2019,27
15808,Tinjacá,Cebolla De Bulbo,2019,17
15808,Tinjacá,Cebolla De Bulbo,2019,5
15810,Tipacoque,Pimentón,2019,14
15810,Tipacoque,Pimentón,2019,10
15810,Tipacoque,Tomate,2019,4
15810,Tipacoque,Tomate,2019,5
15810,Tipacoque,Tomate Invernadero,2019,3
15810,Tipacoque,Tomate Invernadero,2019,4
15814,Toca,Cebolla De Bulbo,2019,600
15814,Toca,Cebolla De Bulbo,2019,450
15816,Togüí,Tomate,2019,1
15816,Togüí,Tomate,2019,1
15820,Tópaga,Tomate Invernadero,2019,12
15820,Tópaga,Tomate Invernadero,2019,12
15820,Tópaga,Cebolla De Bulbo,2019,15
15820,Tópaga,Cebolla De Bulbo,2019,6
15822,Tota,Cebolla De Bulbo,2019,5
15822,Tota,Zanahoria,2019,8
15822,Tota,Zanahoria,2019,10
15822,Tota,Cebolla De Rama,2019,45
15822,Tota,Cebolla De Rama,2019,95
15835,Turmequé,Tomate Invernadero,2019,7
15835,Turmequé,Tomate Invernadero,2019,7
15835,Turmequé,Cebolla De Bulbo,2019,8
15835,Turmequé,Cebolla De Bulbo,2019,5
15835,Turmequé,Zanahoria,2019,10
15835,Turmequé,Zanahoria,2019,8
15837,Tuta,Cebolla De Bulbo,2019,115
15837,Tuta,Cebolla De Bulbo,2019,65
15839,Tutazá,Otras hortalizas,2019,4
15839,Tutazá,Otras hortalizas,2019,2
15839,Tutazá,Zanahoria,2019,13
15839,Tutazá,Zanahoria,2019,6
15842,Úmbita,Otras hortalizas,2019,1
15842,Úmbita,Zanahoria,2019,1
15861,Ventaquemada,Otras hortalizas,2019,15
15861,Ventaquemada,Otras hortalizas,2019,10
15861,Ventaquemada,Cebolla De Bulbo,2019,20
15861,Ventaquemada,Cebolla De Bulbo,2019,30
15861,Ventaquemada,Zanahoria,2019,900
15861,Ventaquemada,Zanahoria,2019,650
15879,Viracachá,Ahuyama,2019,1
15879,Viracachá,Cilantro,2019,2
15879,Viracachá,Cilantro,2019,2
15879,Viracachá,Zanahoria,2019,5
15879,Viracachá,Zanahoria,2019,4
15897,Zetaquirá,Tomate Invernadero,2019,4
15897,Zetaquirá,Tomate Invernadero,2019,4
15001,Tunja,Cebolla De Bulbo,2020,140
15001,Tunja,Cebolla De Bulbo,2020,100
15001,Tunja,Zanahoria,2020,250
15001,Tunja,Zanahoria,2020,180
15022,Almeida,Calabacín¬ Calabaza,2020,4
15022,Almeida,Guatila,2020,1
15022,Almeida,Guatila,2020,1
15022,Almeida,Pepino Guiso,2020,5
15022,Almeida,Tomate Invernadero,2020,2
15022,Almeida,Tomate Invernadero,2020,2
15047,Aquitania,Cebolla De Rama,2020,1420
15047,Aquitania,Cebolla De Rama,2020,1380
15051,Arcabuco,Zanahoria,2020,2
15051,Arcabuco,Zanahoria,2020,2
15087,Belén,Otras hortalizas,2020,5
15087,Belén,Otras hortalizas,2020,5
15087,Belén,Ajo,2020,3
15087,Belén,Ajo,2020,4
15087,Belén,Cebolla De Bulbo,2020,4
15087,Belén,Cebolla De Bulbo,2020,5
15087,Belén,Zanahoria,2020,28
15087,Belén,Zanahoria,2020,27
15090,Berbeo,Tomate Invernadero,2020,6
15090,Berbeo,Tomate Invernadero,2020,5
15092,Betéitiva,Tomate Invernadero,2020,3
15092,Betéitiva,Cebolla De Bulbo,2020,13
15092,Betéitiva,Cebolla De Bulbo,2020,3
15097,Boavita,Tomate,2020,10
15097,Boavita,Tomate,2020,10
15097,Boavita,Tomate Invernadero,2020,3
15097,Boavita,Tomate Invernadero,2020,3
15104,Boyacá,Pepino Guiso,2020,2
15104,Boyacá,Cebolla De Bulbo,2020,3
15104,Boyacá,Zanahoria,2020,110
15104,Boyacá,Zanahoria,2020,120
15109,Buenavista,Tomate Invernadero,2020,17
15109,Buenavista,Tomate Invernadero,2020,14
15114,Busbanzá,Otras hortalizas,2020,2
15114,Busbanzá,Otras hortalizas,2020,2
15114,Busbanzá,Ahuyama,2020,1
15131,Caldas,Zanahoria,2020,50
15131,Caldas,Zanahoria,2020,78
15162,Cerinza,Otras hortalizas,2020,1
15162,Cerinza,Otras hortalizas,2020,2
15162,Cerinza,Cebolla De Bulbo,2020,10
15162,Cerinza,Zanahoria,2020,0
15162,Cerinza,Zanahoria,2020,0
15172,Chinavita,Pepino Guiso,2020,4
15172,Chinavita,Pepino Guiso,2020,8
15172,Chinavita,Pimentón,2020,1
15172,Chinavita,Pimentón,2020,1
15180,Chiscas,Cebolla De Bulbo,2020,38
15180,Chiscas,Cebolla De Bulbo,2020,35
15183,Chita,Cebolla De Bulbo,2020,20
15183,Chita,Cebolla De Bulbo,2020,50
15187,Chivatá,Otras hortalizas,2020,2
15187,Chivatá,Otras hortalizas,2020,1
15187,Chivatá,Cebolla De Bulbo,2020,15
15187,Chivatá,Cebolla De Bulbo,2020,7
15189,Ciénega,Tomate,2020,0
15189,Ciénega,Tomate,2020,0
15204,Cómbita,Otras hortalizas,2020,20
15204,Cómbita,Otras hortalizas,2020,23
15215,Corrales,Otras hortalizas,2020,0
15215,Corrales,Otras hortalizas,2020,0
15215,Corrales,Tomate,2020,19
15215,Corrales,Tomate,2020,17
15215,Corrales,Cebolla De Bulbo,2020,12
15215,Corrales,Cebolla De Bulbo,2020,15
15218,Covarachía,Melón,2020,3
15218,Covarachía,Melón,2020,4
15218,Covarachía,Pimentón,2020,10
15218,Covarachía,Tomate,2020,25
15218,Covarachía,Tomate Invernadero,2020,50
15224,Cucaita,Lechuga,2020,4
15224,Cucaita,Lechuga,2020,9
15224,Cucaita,Cebolla De Bulbo,2020,60
15224,Cucaita,Cebolla De Bulbo,2020,120
15224,Cucaita,Remolacha,2020,1
15224,Cucaita,Remolacha,2020,5
15224,Cucaita,Zanahoria,2020,2
15224,Cucaita,Zanahoria,2020,5
15226,Cuítiva,Cebolla De Bulbo,2020,5
15226,Cuítiva,Cebolla De Bulbo,2020,5
15226,Cuítiva,Cebolla De Rama,2020,105
15226,Cuítiva,Cebolla De Rama,2020,105
15232,Chíquiza,Cebolla De Bulbo,2020,110
15232,Chíquiza,Cebolla De Bulbo,2020,90
15232,Chíquiza,Zanahoria,2020,70
15232,Chíquiza,Zanahoria,2020,80
15236,Chivor,Otras hortalizas,2020,1
