geo,Municipio,Cultivo,Año,Producción(t)
15469,MONIQUIRA,CAFE,2009,2.449000
15897,ZETAQUIRA,CAFE,2009,571.000000
15455,MIRAFLORES,CAFE,2009,590.000000
15816,TOGUI,CAFE,2009,640.000000
15664,SAN JOSE DE PARE,CAFE,2009,649.000000
15185,CHITARAQUE,CAFE,2009,465.000000
15090,BERBEO,CAFE,2009,349.000000
15686,SANTANA,CAFE,2009,292.000000
15531,PAUNA,CAFE,2009,200.000000
15106,BRICEÑO,CAFE,2009,168.000000
15109,BUENAVISTA,CAFE,2009,160.000000
15212,COPER,CAFE,2009,163.000000
15442,MARIPI,CAFE,2009,134.000000
15325,GUAYATA,CAFE,2009,384.000000
15550,PISBA,CAFE,2009,70.000000
15377,LABRANZAGRANDE,CAFE,2009,88.000000
15533,PAYA,CAFE,2009,90.000000
15681,SAN PABLO DE BORBUR,CAFE,2009,104.000000
15514,PAEZ,CAFE,2009,137.000000
15660,SAN EDUARDO,CAFE,2009,130.000000
15135,CAMPOHERMOSO,CAFE,2009,57.000000
15673,SAN MATEO,CAFE,2009,105.000000
15425,MACANAL,CAFE,2009,78.000000
15401,LA VICTORIA,CAFE,2009,64.000000
15832,TUNUNGUA,CAFE,2009,37.000000
15755,SOCOTA,CAFE,2009,60.000000
15798,TENZA,CAFE,2009,56.000000
15621,RONDON,CAFE,2009,60.000000
15842,UMBITA,CAFE,2009,5.000000
15172,CHINAVITA,CAFE,2009,23.000000
15511,PACHAVITA,CAFE,2009,40.000000
15507,OTANCHE,CAFE,2009,24.000000
15518,PAJARITO,CAFE,2009,42.000000
15761,SOMONDOCO,CAFE,2009,18.000000
15580,QUIPAMA,CAFE,2009,16.000000
15778,SUTATENZA,CAFE,2009,14.000000
15480,MUZO,CAFE,2009,10.000000
15690,SANTA MARIA,CAFE,2009,5.000000
15696,SANTA SOFIA,CAFE,2009,8.000000
15317,GUACAMAYAS,CAFE,2009,4.000000
15022,ALMEIDA,CAFE,2009,3.000000
15322,GUATEQUE,CAFE,2009,4.000000
15774,SUSACON,CAFE,2009,3.000000
15236,CHIVOR,CAFE,2009,1.000000
15469,MONIQUIRA,CAFE,2010,1.160000
15897,ZETAQUIRA,CAFE,2010,584.000000
15455,MIRAFLORES,CAFE,2010,725.000000
15664,SAN JOSE DE PARE,CAFE,2010,599.000000
15816,TOGUI,CAFE,2010,640.000000
15686,SANTANA,CAFE,2010,293.000000
15185,CHITARAQUE,CAFE,2010,465.000000
15090,BERBEO,CAFE,2010,370.000000
15531,PAUNA,CAFE,2010,200.000000
15325,GUAYATA,CAFE,2010,212.000000
15212,COPER,CAFE,2010,191.000000
15442,MARIPI,CAFE,2010,163.000000
15109,BUENAVISTA,CAFE,2010,215.000000
15550,PISBA,CAFE,2010,230.000000
15377,LABRANZAGRANDE,CAFE,2010,60.000000
15533,PAYA,CAFE,2010,70.000000
15514,PAEZ,CAFE,2010,141.000000
15660,SAN EDUARDO,CAFE,2010,14.000000
15106,BRICEÑO,CAFE,2010,56.000000
15681,SAN PABLO DE BORBUR,CAFE,2010,60.000000
15673,SAN MATEO,CAFE,2010,115.000000
15135,CAMPOHERMOSO,CAFE,2010,57.000000
15842,UMBITA,CAFE,2010,25.000000
15425,MACANAL,CAFE,2010,72.000000
15507,OTANCHE,CAFE,2010,50.000000
15621,RONDON,CAFE,2010,30.000000
15172,CHINAVITA,CAFE,2010,30.000000
15798,TENZA,CAFE,2010,45.000000
15755,SOCOTA,CAFE,2010,34.000000
15401,LA VICTORIA,CAFE,2010,30.000000
15761,SOMONDOCO,CAFE,2010,18.000000
15518,PAJARITO,CAFE,2010,42.000000
15580,QUIPAMA,CAFE,2010,19.000000
15832,TUNUNGUA,CAFE,2010,8.000000
15774,SUSACON,CAFE,2010,11.000000
15778,SUTATENZA,CAFE,2010,13.000000
15696,SANTA SOFIA,CAFE,2010,9.000000
15022,ALMEIDA,CAFE,2010,3.000000
15480,MUZO,CAFE,2010,10.000000
15317,GUACAMAYAS,CAFE,2010,4.000000
15322,GUATEQUE,CAFE,2010,4.000000
15690,SANTA MARIA,CAFE,2010,7.000000
15236,CHIVOR,CAFE,2010,1.000000
15469,MONIQUIRA,CAFE,2011,1.100000
15897,ZETAQUIRA,CAFE,2011,520.000000
15455,MIRAFLORES,CAFE,2011,568.000000
15664,SAN JOSE DE PARE,CAFE,2011,456.000000
15816,TOGUI,CAFE,2011,555.000000
15185,CHITARAQUE,CAFE,2011,428.000000
15090,BERBEO,CAFE,2011,374.000000
15531,PAUNA,CAFE,2011,185.000000
15325,GUAYATA,CAFE,2011,190.000000
15106,BRICEÑO,CAFE,2011,59.000000
15212,COPER,CAFE,2011,192.000000
15377,LABRANZAGRANDE,CAFE,2011,30.000000
15109,BUENAVISTA,CAFE,2011,85.000000
15442,MARIPI,CAFE,2011,99.000000
15533,PAYA,CAFE,2011,90.000000
15550,PISBA,CAFE,2011,110.000000
15514,PAEZ,CAFE,2011,78.000000
15660,SAN EDUARDO,CAFE,2011,8.000000
15842,UMBITA,CAFE,2011,24.000000
15681,SAN PABLO DE BORBUR,CAFE,2011,55.000000
15135,CAMPOHERMOSO,CAFE,2011,53.000000
15425,MACANAL,CAFE,2011,40.000000
15507,OTANCHE,CAFE,2011,32.000000
15673,SAN MATEO,CAFE,2011,71.000000
15686,SANTANA,CAFE,2011,36.000000
15511,PACHAVITA,CAFE,2011,20.000000
15621,RONDON,CAFE,2011,17.000000
15172,CHINAVITA,CAFE,2011,17.000000
15798,TENZA,CAFE,2011,42.000000
15299,GARAGOA,CAFE,2011,18.000000
15755,SOCOTA,CAFE,2011,19.000000
15761,SOMONDOCO,CAFE,2011,10.000000
15580,QUIPAMA,CAFE,2011,18.000000
15832,TUNUNGUA,CAFE,2011,8.000000
15778,SUTATENZA,CAFE,2011,8.000000
15696,SANTA SOFIA,CAFE,2011,5.000000
15480,MUZO,CAFE,2011,7.000000
15464,MONGUA,CAFE,2011,0.000000
15022,ALMEIDA,CAFE,2011,2.000000
15317,GUACAMAYAS,CAFE,2011,4.000000
15774,SUSACON,CAFE,2011,6.000000
15690,SANTA MARIA,CAFE,2011,4.000000
15401,LA VICTORIA,CAFE,2011,3.000000
15236,CHIVOR,CAFE,2011,0.000000
15469,MONIQUIRA,CAFE,2012,324.000000
15897,ZETAQUIRA,CAFE,2012,511.000000
15455,MIRAFLORES,CAFE,2012,337.000000
15816,TOGUI,CAFE,2012,544.000000
15664,SAN JOSE DE PARE,CAFE,2012,404.000000
15090,BERBEO,CAFE,2012,357.000000
15531,PAUNA,CAFE,2012,506.000000
15109,BUENAVISTA,CAFE,2012,382.000000
15185,CHITARAQUE,CAFE,2012,60.000000
15212,COPER,CAFE,2012,200.000000
15325,GUAYATA,CAFE,2012,177.000000
15514,PAEZ,CAFE,2012,159.000000
15442,MARIPI,CAFE,2012,125.000000
15533,PAYA,CAFE,2012,103.000000
15550,PISBA,CAFE,2012,85.000000
15106,BRICEÑO,CAFE,2012,14.000000
15681,SAN PABLO DE BORBUR,CAFE,2012,25.000000
15660,SAN EDUARDO,CAFE,2012,87.000000
15135,CAMPOHERMOSO,CAFE,2012,100.000000
15842,UMBITA,CAFE,2012,24.000000
15507,OTANCHE,CAFE,2012,0.000000
15425,MACANAL,CAFE,2012,52.000000
15480,MUZO,CAFE,2012,100.000000
15686,SANTANA,CAFE,2012,0.000000
15172,CHINAVITA,CAFE,2012,22.000000
15580,QUIPAMA,CAFE,2012,26.000000
15299,GARAGOA,CAFE,2012,3.000000
15673,SAN MATEO,CAFE,2012,54.000000
15621,RONDON,CAFE,2012,49.000000
15511,PACHAVITA,CAFE,2012,24.000000
15755,SOCOTA,CAFE,2012,18.000000
15377,LABRANZAGRANDE,CAFE,2012,10.000000
15798,TENZA,CAFE,2012,19.000000
15761,SOMONDOCO,CAFE,2012,18.000000
15518,PAJARITO,CAFE,2012,0.000000
15832,TUNUNGUA,CAFE,2012,20.000000
15022,ALMEIDA,CAFE,2012,1.000000
15778,SUTATENZA,CAFE,2012,5.000000
15236,CHIVOR,CAFE,2012,0.000000
15464,MONGUA,CAFE,2012,0.000000
15401,LA VICTORIA,CAFE,2012,2.000000
15317,GUACAMAYAS,CAFE,2012,10.000000
15696,SANTA SOFIA,CAFE,2012,8.000000
15322,GUATEQUE,CAFE,2012,5.000000
15667,SAN LUIS DE GACENO,CAFE,2012,3.000000
15690,SANTA MARIA,CAFE,2012,5.000000
15774,SUSACON,CAFE,2012,6.000000
15218,COVARACHIA,CAFE,2012,0.000000
15248,EL ESPINO,CAFE,2012,0.000000
15380,LA CAPILLA,CAFE,2012,0.000000
15469,MONIQUIRA,CAFE,2013,995.000000
15897,ZETAQUIRA,CAFE,2013,539.000000
15455,MIRAFLORES,CAFE,2013,479.000000
15664,SAN JOSE DE PARE,CAFE,2013,353.000000
15816,TOGUI,CAFE,2013,317.000000
15686,SANTANA,CAFE,2013,293.000000
15106,BRICEÑO,CAFE,2013,267.000000
15185,CHITARAQUE,CAFE,2013,216.000000
15090,BERBEO,CAFE,2013,211.000000
15109,BUENAVISTA,CAFE,2013,227.000000
15531,PAUNA,CAFE,2013,210.000000
15442,MARIPI,CAFE,2013,163.000000
15325,GUAYATA,CAFE,2013,128.000000
15212,COPER,CAFE,2013,96.000000
15514,PAEZ,CAFE,2013,141.000000
15681,SAN PABLO DE BORBUR,CAFE,2013,89.000000
15660,SAN EDUARDO,CAFE,2013,99.000000
15507,OTANCHE,CAFE,2013,100.000000
15832,TUNUNGUA,CAFE,2013,109.000000
15135,CAMPOHERMOSO,CAFE,2013,71.000000
15580,QUIPAMA,CAFE,2013,46.000000
15299,GARAGOA,CAFE,2013,32.000000
15511,PACHAVITA,CAFE,2013,29.000000
15401,LA VICTORIA,CAFE,2013,52.000000
15550,PISBA,CAFE,2013,58.000000
15425,MACANAL,CAFE,2013,29.000000
15621,RONDON,CAFE,2013,33.000000
15798,TENZA,CAFE,2013,56.000000
15480,MUZO,CAFE,2013,17.000000
15022,ALMEIDA,CAFE,2013,16.000000
15172,CHINAVITA,CAFE,2013,32.000000
15377,LABRANZAGRANDE,CAFE,2013,24.000000
15761,SOMONDOCO,CAFE,2013,17.000000
15322,GUATEQUE,CAFE,2013,8.000000
15518,PAJARITO,CAFE,2013,6.000000
15533,PAYA,CAFE,2013,15.000000
15317,GUACAMAYAS,CAFE,2013,10.000000
15667,SAN LUIS DE GACENO,CAFE,2013,4.000000
15690,SANTA MARIA,CAFE,2013,1.000000
15469,MONIQUIRA,CAFE,2014,993.000000
15897,ZETAQUIRA,CAFE,2014,639.000000
15455,MIRAFLORES,CAFE,2014,539.000000
15664,SAN JOSE DE PARE,CAFE,2014,429.000000
15816,TOGUI,CAFE,2014,349.000000
15686,SANTANA,CAFE,2014,344.000000
15090,BERBEO,CAFE,2014,242.000000
15109,BUENAVISTA,CAFE,2014,281.000000
15106,BRICEÑO,CAFE,2014,267.000000
15185,CHITARAQUE,CAFE,2014,249.000000
15531,PAUNA,CAFE,2014,233.000000
15325,GUAYATA,CAFE,2014,150.000000
15442,MARIPI,CAFE,2014,171.000000
15514,PAEZ,CAFE,2014,161.000000
15681,SAN PABLO DE BORBUR,CAFE,2014,111.000000
15212,COPER,CAFE,2014,102.000000
15507,OTANCHE,CAFE,2014,113.000000
15660,SAN EDUARDO,CAFE,2014,127.000000
15135,CAMPOHERMOSO,CAFE,2014,94.000000
15832,TUNUNGUA,CAFE,2014,114.000000
15299,GARAGOA,CAFE,2014,46.000000
15580,QUIPAMA,CAFE,2014,68.000000
15511,PACHAVITA,CAFE,2014,46.000000
15550,PISBA,CAFE,2014,76.000000
15401,LA VICTORIA,CAFE,2014,63.000000
15621,RONDON,CAFE,2014,46.000000
15425,MACANAL,CAFE,2014,53.000000
15480,MUZO,CAFE,2014,40.000000
15377,LABRANZAGRANDE,CAFE,2014,44.000000
15022,ALMEIDA,CAFE,2014,45.000000
15172,CHINAVITA,CAFE,2014,43.000000
15761,SOMONDOCO,CAFE,2014,23.000000
15322,GUATEQUE,CAFE,2014,28.000000
15518,PAJARITO,CAFE,2014,13.000000
15533,PAYA,CAFE,2014,18.000000
15667,SAN LUIS DE GACENO,CAFE,2014,5.000000
15690,SANTA MARIA,CAFE,2014,2.000000
15469,MONIQUIRA,CAFE,2015,1.328000
15897,ZETAQUIRA,CAFE,2015,978.000000
15455,MIRAFLORES,CAFE,2015,836.000000
15664,SAN JOSE DE PARE,CAFE,2015,630.000000
15816,TOGUI,CAFE,2015,549.000000
15686,SANTANA,CAFE,2015,449.000000
15109,BUENAVISTA,CAFE,2015,389.000000
15090,BERBEO,CAFE,2015,383.000000
15185,CHITARAQUE,CAFE,2015,380.000000
15106,BRICEÑO,CAFE,2015,290.000000
15531,PAUNA,CAFE,2015,324.000000
15325,GUAYATA,CAFE,2015,189.000000
15514,PAEZ,CAFE,2015,285.000000
15681,SAN PABLO DE BORBUR,CAFE,2015,282.000000
15442,MARIPI,CAFE,2015,255.000000
15212,COPER,CAFE,2015,226.000000
15660,SAN EDUARDO,CAFE,2015,202.000000
15507,OTANCHE,CAFE,2015,169.000000
15135,CAMPOHERMOSO,CAFE,2015,164.000000
