geo,Año,Edad,Grupo,Tasa
15759,2020,(06 a 11),Hombre,17
15806,2020,(01 a 05),Hombre,188
15806,2020,(12 a 17),Hombre,155
15001,2020,(12 a 17),Hombre,22
15047,2019,Menores de un año,Hombre,689
15238,2019,(01 a 05),Hombre,46
15238,2019,(06 a 11),Hombre,17
15322,2019,(12 a 17),Hombre,206
15362,2019,(12 a 17),Hombre,1111
15367,2019,(01 a 05),Hombre,0
15500,2019,(06 a 11),Hombre,625
15500,2019,(12 a 17),Hombre,617
15572,2019,(12 a 17),Hombre,120
15676,2019,(12 a 17),Hombre,581
15681,2019,(06 a 11),Hombre,282
15759,2019,Menores de un año,Hombre,234
15820,2019,(12 a 17),Hombre,0
15238,2018,Menores de un año,Hombre,111
15466,2018,Menores de un año,Hombre,0
15491,2018,Menores de un año,Hombre,0
15176,2018,(01 a 05),Hombre,0
15238,2018,(01 a 05),Hombre,22
15368,2018,(01 a 05),Hombre,0
15516,2018,(01 a 05),Hombre,0
15763,2018,(01 a 05),Hombre,261
15814,2018,(01 a 05),Hombre,0
15001,2018,(01 a 05),Hombre,13
15491,2018,(06 a 11),Hombre,0
15507,2018,(12 a 17),Hombre,0
15516,2018,(12 a 17),Hombre,59
15806,2018,(12 a 17),Hombre,0
15001,2017,(06 a 11),Hombre,10
15001,2017,(12 a 17),Hombre,0
15047,2017,(01 a 05),Hombre,0
15087,2017,(12 a 17),Hombre,271
15092,2017,(01 a 05),Hombre,1149
15226,2017,Menores de un año,Hombre,6250
15232,2017,(01 a 05),Hombre,363
15621,2017,(06 a 11),Hombre,671
15753,2017,(12 a 17),Hombre,294
15759,2017,(12 a 17),Hombre,17
15790,2017,(01 a 05),Hombre,357
15814,2017,(12 a 17),Hombre,164
15822,2017,Menores de un año,Hombre,0
15861,2017,(01 a 05),Hombre,128
15183,2021,Menores de un año,Mujer,1369
15367,2021,(01 a 05),Mujer,0
15466,2021,(01 a 05),Mujer,0
15466,2021,(06 a 11),Mujer,436
15480,2021,(06 a 11),Mujer,0
15516,2021,(01 a 05),Mujer,85
15572,2021,(01 a 05),Mujer,0
15572,2021,(06 a 11),Mujer,0
15580,2021,(01 a 05),Mujer,653
15600,2021,(01 a 05),Mujer,321
15664,2021,(01 a 05),Mujer,574
15673,2021,(01 a 05),Mujer,806
15676,2021,(12 a 17),Mujer,0
15740,2021,(12 a 17),Mujer,0
15755,2021,(06 a 11),Mujer,0
15759,2021,(12 a 17),Mujer,0
15774,2021,(06 a 11),Mujer,0
15804,2021,(06 a 11),Mujer,0
15806,2021,(01 a 05),Mujer,0
15806,2021,(12 a 17),Mujer,0
15001,2021,(12 a 17),Mujer,0
15837,2021,(12 a 17),Mujer,0
