geo,Municipio,Año,Trimestre,Índice
15693,SANTA ROSA DE VITERBO,2021,1,1.800483
15092,BETEITIVA,2021,1,1.052632
15204,COMBITA,2022,4,4.243569
15774,SUSACON,2020,4,0.432432
15810,TIPACOQUE,2021,1,0.381008
15224,CUCAITA,2020,3,0.753638
15480,MUZO,2021,3,0.339712
15861,VENTAQUEMADA,2022,3,2.988837
15455,MIRAFLORES,2021,1,8.380558
15723,SATIVASUR,2021,3,2.412869
15533,PAYA,2021,3,0.554324
15638,SACHICA,2021,1,2.390091
15051,ARCABUCO,2020,4,6.901688
15377,LABRANZAGRANDE,2020,2,0.807350
15325,GUAYATA,2021,2,0.437956
15407,VILLA DE LEYVA,2021,3,13.948322
15660,SAN EDUARDO,2022,1,3.637413
15362,IZA,2022,4,12.029340
15522,PANQUEBA,2022,3,0.397276
15218,COVARACHIA,2021,1,1.121233
15224,CUCAITA,2021,1,1.341589
15759,SOGAMOSO,2020,3,20.812983
15681,SAN PABLO DE BORBUR,2020,3,0.764931
15162,CERINZA,2021,4,10.104439
15135,CAMPOHERMOSO,2022,4,20.117611
15097,BOAVITA,2021,2,0.874026
15723,SATIVASUR,2022,1,2.021090
15660,SAN EDUARDO,2020,2,1.225204
15172,CHINAVITA,2021,1,0.940819
15533,PAYA,2022,4,0.365364
15476,MOTAVITA,2022,2,4.044867
15185,CHITARAQUE,2021,2,0.430606
15377,LABRANZAGRANDE,2022,1,0.327958
15092,BETEITIVA,2022,1,1.281419
15522,PANQUEBA,2022,4,0.397276
15276,FLORESTA,2020,2,1.108116
15759,SOGAMOSO,2021,1,22.062357
15753,SOATA,2021,3,8.416486
15104,BOYACA,2021,1,1.494231
15131,CALDAS,2021,1,0.713621
15131,CALDAS,2021,2,0.930810
15753,SOATA,2022,1,3.410436
15580,QUIPAMA,2020,4,0.436421
15808,TINJACA,2021,3,3.649635
15842,UMBITA,2022,3,2.170602
15325,GUAYATA,2021,4,2.627737
15114,BUSBANZA,2022,2,3.885135
15272,FIRAVITOBA,2021,4,6.780635
15550,PISBA,2021,1,0.602410
15522,PANQUEBA,2020,2,0.855676
15244,EL COCUY,2022,2,0.964630
15104,BOYACA,2020,3,1.319059
15531,PAUNA,2022,2,1.715358
15236,CHIVOR,2021,1,0.583204
15500,OICATA,2022,4,6.231256
15621,RONDON,2020,4,0.284437
15106,BRICE�O,2021,2,0.804649
15380,LA CAPILLA,2021,4,0.326442
15368,JERICO,2021,4,1.041667
15380,LA CAPILLA,2022,4,0.321888
15367,JENESANO,2020,2,2.029297
15550,PISBA,2022,3,0.487277
15500,OICATA,2020,4,3.262363
15776,SUTAMARCHAN,2022,1,7.782763
15778,SUTATENZA,2020,4,0.714615
15464,MONGUA,2020,2,0.548755
15599,RAMIRIQUI,2020,2,5.363271
15296,GAMEZA,2022,3,2.292037
15097,BOAVITA,2020,4,1.228407
15106,BRICE�O,2020,4,0.757238
15276,FLORESTA,2022,3,4.433934
15276,FLORESTA,2021,3,3.955979
15380,LA CAPILLA,2020,2,0.655738
15810,TIPACOQUE,2021,2,0.410317
15897,ZETAQUIRA,2021,4,4.902984
15232,CHIQUIZA,2022,2,0.529208
15820,TOPAGA,2022,4,2.054253
15248,EL ESPINO,2021,3,0.509392
15879,VIRACACHA,2022,2,1.561439
15511,PACHAVITA,2020,4,0.517516
15897,ZETAQUIRA,2021,2,1.877738
