geo,Municipio,Horas,Año
15632,Saboyá,24,2024
15632,Saboyá,24,2025
15638,Sáchica,24,2025
15646,Samacá,21,2020
15646,Samacá,21,2021
15646,Samacá,21,2022
15646,Samacá,21,2023
15646,Samacá,24,2024
15646,Samacá,9.5,2025
15660,San Eduardo,24,2020
15660,San Eduardo,23.93,2021
15660,San Eduardo,24,2022
15660,San Eduardo,24,2023
15660,San Eduardo,24,2024
15660,San Eduardo,24,2025
15664,San José De Pare,0.8,2021
15664,San José De Pare,22.4,2022
15667,San Luis De Gaceno,24,2020
15667,San Luis De Gaceno,23.92,2021
15667,San Luis De Gaceno,23.78,2022
15667,San Luis De Gaceno,23.4,2023
15667,San Luis De Gaceno,23.98,2024
15667,San Luis De Gaceno,23.37,2025
15673,San Mateo,23.39,2021
15673,San Mateo,22.45,2022
15673,San Mateo,24,2025
15676,San Miguel De Sema,14,2020
15676,San Miguel De Sema,19.96,2021
15676,San Miguel De Sema,24,2022
15676,San Miguel De Sema,22.8,2023
15676,San Miguel De Sema,24,2024
15676,San Miguel De Sema,24,2025
15681,San Pablo De Borbur,24,2020
15681,San Pablo De Borbur,24,2021
15681,San Pablo De Borbur,24,2024
15681,San Pablo De Borbur,24,2025
15690,Santa María,24,2020
15690,Santa María,23.88,2021
15690,Santa María,23.88,2022
15690,Santa María,23.9,2023
15690,Santa María,22.59,2024
15690,Santa María,22.7,2025
15693,Santa Rosa De Viterbo,0.8,2021
15693,Santa Rosa De Viterbo,24,2022
15693,Santa Rosa De Viterbo,22.8,2023
15693,Santa Rosa De Viterbo,22.8,2024
15693,Santa Rosa De Viterbo,24,2025
15696,Santa Sofía,24,2021
15696,Santa Sofía,0.8,2022
15696,Santa Sofía,24,2023
15696,Santa Sofía,24,2024
15696,Santa Sofía,24,2025
15720,Sativanorte,24,2020
15720,Sativanorte,24,2021
15720,Sativanorte,24,2022
15720,Sativanorte,24,2023
15720,Sativanorte,24,2024
15720,Sativanorte,24,2025
15723,Sativasur,23.33,2020
15723,Sativasur,23.25,2021
15723,Sativasur,24,2022
15723,Sativasur,24,2023
15723,Sativasur,24,2024
15723,Sativasur,24,2025
15740,Siachoque,22.29,2021
15740,Siachoque,23.9,2023
15740,Siachoque,23.9,2024
15740,Siachoque,24,2025
15753,Soatá,22,2020
15753,Soatá,22.07,2021
15753,Soatá,24,2022
15753,Soatá,24,2023
15753,Soatá,24,2024
15753,Soatá,23.61,2025
15755,Socotá,6.6,2020
15755,Socotá,24,2021
15755,Socotá,24,2022
15755,Socotá,24,2023
15755,Socotá,24,2024
15755,Socotá,23.44,2025
15757,Socha,23.92,2020
15757,Socha,24,2021
15757,Socha,24,2022
15757,Socha,24,2023
15757,Socha,24,2024
15757,Socha,24,2025
15759,Sogamoso,24,2020
15759,Sogamoso,24,2021
15759,Sogamoso,24,2022
15759,Sogamoso,24,2023
15759,Sogamoso,23.96,2024
15759,Sogamoso,24,2025
15761,Somondoco,24,2025
15763,Sotaquirá,0.8,2020
15763,Sotaquirá,22.07,2021
15763,Sotaquirá,24,2022
15763,Sotaquirá,24,2023
