geo,Municipio,Desagregación,Año,Área Cosechada(ha)
15325,Guayata,Café,2008,315
15377,Labranzagrande,Café,2008,190
15550,Pisba,Café,2008,180
15533,Paya,Café,2008,180
15514,Paez,Café,2008,175
15660,San Eduardo,Café,2008,144
15507,Otanche,Café,2008,134
15681,San Pablo De Borbur,Café,2008,130
15832,Tunungua,Café,2008,93
15673,San Mateo,Café,2008,90
15425,Macanal,Café,2008,80
15401,La Victoria,Café,2008,69
15798,Tenza,Café,2008,62
15511,Pachavita,Café,2008,49
15518,Pajarito,Café,2008,47
15761,Somondoco,Café,2008,34
15580,Quipama,Café,2008,25
15690,Santa Maria,Café,2008,15
15778,Sutatenza,Café,2008,15
15322,Guateque,Café,2008,10
15696,Santa Sofia,Café,2008,8
15480,Muzo,Café,2008,5
15022,Almeida,Café,2008,7
15236,Chivor,Café,2008,1
15469,Moniquira,Café,2009,2.474
15897,Zetaquira,Café,2009,879
15455,Miraflores,Café,2009,655
15816,Togui,Café,2009,640
15664,San Jose De Pare,Café,2009,590
15185,Chitaraque,Café,2009,465
15090,Berbeo,Café,2009,465
15686,Santana,Café,2009,454
15531,Pauna,Café,2009,400
15106,Briceño,Café,2009,420
15109,Buenavista,Café,2009,400
15212,Coper,Café,2009,326
15442,Maripi,Café,2009,335
15325,Guayata,Café,2009,320
15550,Pisba,Café,2009,175
15377,Labranzagrande,Café,2009,175
15533,Paya,Café,2009,180
15681,San Pablo De Borbur,Café,2009,130
15514,Paez,Café,2009,171
15660,San Eduardo,Café,2009,140
15135,Campohermoso,Café,2009,95
15673,San Mateo,Café,2009,105
15425,Macanal,Café,2009,78
15401,La Victoria,Café,2009,80
15832,Tunungua,Café,2009,73
15755,Socota,Café,2009,60
15798,Tenza,Café,2009,63
15621,Rondon,Café,2009,60
15842,Umbita,Café,2009,10
15172,Chinavita,Café,2009,25
15511,Pachavita,Café,2009,50
15507,Otanche,Café,2009,30
15518,Pajarito,Café,2009,32
15761,Somondoco,Café,2009,36
15580,Quipama,Café,2009,23
15778,Sutatenza,Café,2009,13
15480,Muzo,Café,2009,10
15690,Santa Maria,Café,2009,5
15696,Santa Sofia,Café,2009,8
15317,Guacamayas,Café,2009,4
15022,Almeida,Café,2009,7
15322,Guateque,Café,2009,6
15774,Susacon,Café,2009,5
15236,Chivor,Café,2009,1
15469,Moniquira,Café,2010,1.784
15897,Zetaquira,Café,2010,898
15455,Miraflores,Café,2010,725
15664,San Jose De Pare,Café,2010,570
15816,Togui,Café,2010,640
15686,Santana,Café,2010,473
15185,Chitaraque,Café,2010,465
15090,Berbeo,Café,2010,425
15531,Pauna,Café,2010,400
15325,Guayata,Café,2010,423
15212,Coper,Café,2010,347
15442,Maripi,Café,2010,300
15109,Buenavista,Café,2010,307
15550,Pisba,Café,2010,230
15377,Labranzagrande,Café,2010,120
15533,Paya,Café,2010,140
15514,Paez,Café,2010,176
15660,San Eduardo,Café,2010,16
15106,Briceño,Café,2010,140
15681,San Pablo De Borbur,Café,2010,100
