Municipio,geo,Atributo,Valor
Covarachía,15218,Sin acceso a fuente de agua mejorada,41.200000
Covarachía,15218,Inadecuada eliminación de excretas,25.900000
Covarachía,15218,Material inadecuado de pisos,46.800000
Covarachía,15218,Material inadecuado de paredes exteriores,0.200000
Covarachía,15218,Hacinamiento crítico,12.200000
Covarachía,15218,Cluster,0.000000
Cubará,15223,Analfabetismo,45.200000
Cubará,15223,Bajo logro educativo,76.200000
Cubará,15223,Inasistencia escolar,23.300000
Cubará,15223,Rezago escolar,36.100000
Cubará,15223,Barreras a servicios para cuidado de la primera infancia,9.000000
Cubará,15223,Trabajo infantil,1.100000
Cubará,15223,Tasa de dependencia,68.000000
Cubará,15223,Trabajo informal,91.800000
Cubará,15223,Sin aseguramiento en salud,25.400000
Cubará,15223,Barreras de acceso a servicios de salud,2.300000
Cubará,15223,Sin acceso a fuente de agua mejorada,49.600000
Cubará,15223,Inadecuada eliminación de excretas,49.700000
Cubará,15223,Material inadecuado de pisos,48.100000
Cubará,15223,Material inadecuado de paredes exteriores,41.400000
Cubará,15223,Hacinamiento crítico,30.700000
Cubará,15223,Cluster,0.000000
Cucaita,15224,Analfabetismo,10.500000
Cucaita,15224,Bajo logro educativo,73.900000
Cucaita,15224,Inasistencia escolar,3.700000
Cucaita,15224,Rezago escolar,12.700000
Cucaita,15224,Barreras a servicios para cuidado de la primera infancia,1.000000
Cucaita,15224,Trabajo infantil,3.400000
Cucaita,15224,Tasa de dependencia,38.700000
Cucaita,15224,Trabajo informal,90.100000
Cucaita,15224,Sin aseguramiento en salud,9.100000
Cucaita,15224,Barreras de acceso a servicios de salud,2.800000
Cucaita,15224,Sin acceso a fuente de agua mejorada,5.500000
Cucaita,15224,Inadecuada eliminación de excretas,6.200000
Cucaita,15224,Material inadecuado de pisos,8.300000
Cucaita,15224,Material inadecuado de paredes exteriores,0.100000
Cucaita,15224,Hacinamiento crítico,8.700000
Cucaita,15224,Cluster,5.000000
Cuítiva,15226,Analfabetismo,14.700000
Cuítiva,15226,Bajo logro educativo,73.200000
Cuítiva,15226,Inasistencia escolar,3.200000
Cuítiva,15226,Rezago escolar,17.200000
Cuítiva,15226,Barreras a servicios para cuidado de la primera infancia,1.500000
Cuítiva,15226,Trabajo infantil,1.200000
Cuítiva,15226,Tasa de dependencia,52.200000
Cuítiva,15226,Trabajo informal,88.600000
Cuítiva,15226,Sin aseguramiento en salud,10.700000
Cuítiva,15226,Barreras de acceso a servicios de salud,5.500000
Cuítiva,15226,Sin acceso a fuente de agua mejorada,15.100000
