geo,Municipio,Casos,Año
15464,Mongua,13,2020
15464,Mongua,13,2021
15464,Mongua,21,2022
15464,Mongua,20,2023
15464,Mongua,15,2024
15464,Mongua,23,2025
15466,Monguì,10,2020
15466,Monguì,11,2021
15466,Monguì,22,2022
15466,Monguì,32,2023
15466,Monguì,17,2024
15466,Monguì,11,2025
15469,Moniquira,93,2020
15469,Moniquira,94,2021
15469,Moniquira,129,2022
15469,Moniquira,170,2023
15469,Moniquira,182,2024
15469,Moniquira,157,2025
15476,Motavita,19,2020
15476,Motavita,18,2021
15476,Motavita,39,2022
15476,Motavita,31,2023
15476,Motavita,40,2024
15476,Motavita,40,2025
15480,Muzo,24,2020
15480,Muzo,17,2021
15480,Muzo,33,2022
15480,Muzo,46,2023
15480,Muzo,64,2024
15480,Muzo,62,2025
15491,Nobsa,82,2020
15491,Nobsa,71,2021
15491,Nobsa,94,2022
15491,Nobsa,93,2023
15491,Nobsa,66,2024
15491,Nobsa,87,2025
15494,Nuevo Colón,20,2020
15494,Nuevo Colón,13,2021
15494,Nuevo Colón,28,2022
15494,Nuevo Colón,31,2023
15494,Nuevo Colón,39,2024
15494,Nuevo Colón,35,2025
15500,Oicata,17,2020
15500,Oicata,26,2021
15500,Oicata,15,2022
15500,Oicata,37,2023
15500,Oicata,32,2024
15500,Oicata,25,2025
15507,Otanche,18,2020
15507,Otanche,20,2021
15507,Otanche,19,2022
15507,Otanche,43,2023
15507,Otanche,47,2024
15507,Otanche,39,2025
15511,Pachavita,5,2020
15511,Pachavita,12,2021
15511,Pachavita,11,2022
15511,Pachavita,5,2023
15511,Pachavita,4,2024
15511,Pachavita,9,2025
15514,Páez,18,2020
15514,Páez,18,2021
15514,Páez,16,2022
15514,Páez,12,2023
15514,Páez,16,2024
15514,Páez,12,2025
15516,Paipa,167,2020
15516,Paipa,173,2021
15516,Paipa,190,2022
15516,Paipa,260,2023
15516,Paipa,278,2024
15516,Paipa,296,2025
15518,Pajarito,4,2020
15518,Pajarito,4,2021
15518,Pajarito,3,2022
15518,Pajarito,13,2023
15518,Pajarito,13,2024
15518,Pajarito,11,2025
15522,Panqueba,10,2020
15522,Panqueba,6,2021
15522,Panqueba,17,2022
15522,Panqueba,6,2023
15522,Panqueba,5,2024
15522,Panqueba,10,2025
15531,Pauna,28,2020
15531,Pauna,28,2021
15531,Pauna,27,2022
15531,Pauna,29,2023
15531,Pauna,31,2024
15531,Pauna,20,2025
15533,Paya,6,2020
15533,Paya,4,2022
15533,Paya,10,2023
15533,Paya,9,2024
15533,Paya,1,2025
15537,Paz De Río,12,2020
15537,Paz De Río,15,2021
15537,Paz De Río,19,2022
15537,Paz De Río,19,2023
15537,Paz De Río,15,2024
15537,Paz De Río,19,2025
15542,Pesca,30,2020
15542,Pesca,16,2021
15542,Pesca,38,2022
15542,Pesca,30,2023
15542,Pesca,29,2024
15542,Pesca,20,2025
15550,Pisba,6,2020
15550,Pisba,7,2021
15550,Pisba,9,2022
15550,Pisba,4,2023
15550,Pisba,2,2024
15550,Pisba,4,2025
15572,Puerto Boyacá,111,2020
15572,Puerto Boyacá,115,2021
15572,Puerto Boyacá,146,2022
15572,Puerto Boyacá,188,2023
15572,Puerto Boyacá,177,2024
15572,Puerto Boyacá,246,2025
15580,Quípama,18,2020
15580,Quípama,7,2021
15580,Quípama,12,2022
15580,Quípama,16,2023
15580,Quípama,17,2024
15580,Quípama,15,2025
15599,Ramiriquí,53,2020
15599,Ramiriquí,55,2021
15599,Ramiriquí,43,2022
15599,Ramiriquí,54,2023
15599,Ramiriquí,66,2024
15599,Ramiriquí,69,2025
15600,Ráquira,47,2020
15600,Ráquira,51,2021
15600,Ráquira,52,2022
15600,Ráquira,50,2023
15600,Ráquira,55,2024
15600,Ráquira,83,2025
15621,Rondón,4,2020
15621,Rondón,13,2021
15621,Rondón,11,2022
15621,Rondón,10,2023
15621,Rondón,12,2024
15621,Rondón,9,2025
15632,Saboyá,50,2020
15632,Saboyá,44,2021
15632,Saboyá,48,2022
15632,Saboyá,40,2023
15632,Saboyá,48,2024
15632,Saboyá,58,2025
15638,Sáchica,33,2020
15638,Sáchica,32,2021
15638,Sáchica,33,2022
15638,Sáchica,27,2023
15638,Sáchica,56,2024
15638,Sáchica,36,2025
15646,Samacá,81,2020
15646,Samacá,125,2021
15646,Samacá,125,2022
15646,Samacá,172,2023
15646,Samacá,208,2024
15646,Samacá,205,2025
15660,San Eduardo,9,2020
15660,San Eduardo,10,2021
15660,San Eduardo,8,2022
15660,San Eduardo,8,2023
15660,San Eduardo,15,2024
15660,San Eduardo,8,2025
15664,San José De Pare,34,2020
15664,San José De Pare,15,2021
15664,San José De Pare,24,2022
15664,San José De Pare,37,2023
15664,San José De Pare,31,2024
15664,San José De Pare,35,2025
15667,San Luis De Gaceno,10,2020
15667,San Luis De Gaceno,4,2021
15667,San Luis De Gaceno,6,2022
15667,San Luis De Gaceno,19,2023
15667,San Luis De Gaceno,10,2024
15667,San Luis De Gaceno,15,2025
15673,San Mateo,25,2020
15673,San Mateo,13,2021
15673,San Mateo,13,2022
15673,San Mateo,20,2023
15673,San Mateo,12,2024
15673,San Mateo,29,2025
15676,San Miguel De Sema,15,2020
15676,San Miguel De Sema,10,2021
15676,San Miguel De Sema,14,2022
15676,San Miguel De Sema,18,2023
15676,San Miguel De Sema,18,2024
15676,San Miguel De Sema,13,2025
15681,San Pablo De Borbur,16,2020
15681,San Pablo De Borbur,19,2021
15681,San Pablo De Borbur,15,2022
15681,San Pablo De Borbur,19,2023
15681,San Pablo De Borbur,16,2024
15681,San Pablo De Borbur,28,2025
15686,Santana,31,2020
15686,Santana,24,2021
15686,Santana,49,2022
15686,Santana,52,2023
15686,Santana,38,2024
15686,Santana,46,2025
15690,Santa María,16,2020
15690,Santa María,3,2021
15690,Santa María,7,2022
15690,Santa María,15,2023
15690,Santa María,15,2024
15690,Santa María,22,2025
15693,Santa Rosa De Viterbo,52,2020
15693,Santa Rosa De Viterbo,55,2021
15693,Santa Rosa De Viterbo,62,2022
15693,Santa Rosa De Viterbo,81,2023
15693,Santa Rosa De Viterbo,78,2024
15693,Santa Rosa De Viterbo,88,2025
15696,Santa Sofía,11,2020
15696,Santa Sofía,11,2021
15696,Santa Sofía,13,2022
15696,Santa Sofía,14,2023
15696,Santa Sofía,15,2024
15696,Santa Sofía,19,2025
15720,Sativanorte,15,2020
15720,Sativanorte,6,2021
15720,Sativanorte,8,2022
15720,Sativanorte,4,2023
15720,Sativanorte,7,2024
15720,Sativanorte,1,2025
15723,Sativasur,4,2020
15723,Sativasur,1,2021
15723,Sativasur,3,2022
15723,Sativasur,5,2023
15723,Sativasur,7,2024
15723,Sativasur,9,2025
15740,Siachoque,16,2020
