geo,Municipio,Periodo,Valor
15317,Guacamayas,2016,109
15322,Guateque,2016,912
15325,Guayatá,2016,271
15332,Guicán,2016,558
15362,Iza,2016,161
15367,Jenesano,2016,605
15368,Jericó,2016,396
15380,La Capilla,2016,189
15403,La Uvita,2016,213
15401,La Victoria,2016,110
15377,Labranzagrande,2016,311
15425,Macanal,2016,318
15442,Maripí,2016,538
15455,Miraflores,2016,769
15464,Mongua,2016,452
15466,Monguí,2016,394
15469,Moniquirá,2016,2350
15476,Motavita,2016,627
15480,Muzo,2016,977
15491,Nobsa,2016,957
15494,Nuevo Colón,2016,551
15500,Oicatá,2016,196
15507,Otanche,2016,903
15511,Pachavita,2016,177
15514,Páez,2016,271
15516,Paipa,2016,3497
15518,Pajarito,2016,186
15522,Panqueba,2016,142
15531,Pauna,2016,690
15533,Paya,2016,258
15537,Paz De Río,2016,340
15542,Pesca,2016,784
15550,Pisba,2016,182
15572,Puerto Boyacá,2016,6562
15580,Quípama,2016,411
15599,Ramiriquí,2016,1193
15600,Ráquira,2016,604
15621,Rondón,2016,239
15632,Saboyá,2016,1196
15638,Sáchica,2016,480
15646,Samacá,2016,2634
15660,San Eduardo,2016,145
15664,San José De Pare,2016,407
15667,San Luis De Gaceno,2016,522
15673,San Mateo,2016,276
15676,San Miguel De Sema,2016,265
15681,San Pablo De Borbur,2016,625
15690,Santa María,2016,329
15693,Santa Rosa De Viterbo,2016,685
15696,Santa Sofía,2016,250
15686,Santana,2016,820
15720,Sativanorte,2016,155
15723,Sativasur,2016,98
15740,Siachoque,2016,892
15753,Soatá,2016,896
15757,Socha,2016,917
15755,Socotá,2016,793
15759,Sogamoso,2016,14381
15761,Somondoco,2016,153
15762,Sora,2016,288
15764,Soracá,2016,711
15763,Sotaquirá,2016,636
15774,Susacón,2016,186
15776,Sutamarchán,2016,568
15778,Sutatenza,2016,285
15790,Tasco,2016,561
15798,Tenza,2016,255
15804,Tibaná,2016,739
15806,Tibasosa,2016,795
15808,Tinjacá,2016,215
15810,Tipacoque,2016,308
15814,Toca,2016,1086
15816,Togüí,2016,488
15820,Tópaga,2016,316
15822,Tota,2016,636
15001,Tunja,2016,19960
15832,Tununguá,2016,142
15835,Turmequé,2016,650
15837,Tuta,2016,654
15839,Tutaza,2016,209
15842,Úmbita,2016,690
15861,Ventaquemada,2016,1521
15407,Villa De Leyva,2016,1389
15879,Viracachá,2016,256
15897,Zetaquira,2016,443
15022,Almeida,2017,100
15047,Aquitania,2017,1810
15051,Arcabuco,2017,485
15087,Belén,2017,704
15090,Berbeo,2017,130
15092,Betéitiva,2017,125
15097,Boavita,2017,462
15104,Boyacá,2017,494
15106,Briceño,2017,181
15109,Buenavista,2017,405
15114,Busbanzá,2017,54
15131,Caldas,2017,256
15135,Campohermoso,2017,239
15162,Cerinza,2017,301
15172,Chinavita,2017,220
15176,Chiquinquirá,2017,6883
15232,Chíquiza,2017,524
15180,Chiscas,2017,322
15183,Chita,2017,1038
15185,Chitaraque,2017,578
15187,Chivatá,2017,259
15236,Chivor,2017,173
15189,Ciénega,2017,410
15204,Cómbita,2017,863
15212,Coper,2017,275
15215,Corrales,2017,203
15218,Covarachía,2017,234
15223,Cubará,2017,1466
15224,Cucaita,2017,464
15226,Cuítiva,2017,141
15238,Duitama,2017,12854
15244,El Cocuy,2017,516
15248,El Espino,2017,219
15272,Firavitoba,2017,415
15276,Floresta,2017,264
15293,Gachantivá,2017,289
15296,Gámeza,2017,575
15299,Garagoa,2017,1610
15317,Guacamayas,2017,99
15322,Guateque,2017,866
15325,Guayatá,2017,250
15332,Guicán,2017,535
15362,Iza,2017,168
15367,Jenesano,2017,585
15368,Jericó,2017,408
15380,La Capilla,2017,152
15403,La Uvita,2017,204
15401,La Victoria,2017,120
15377,Labranzagrande,2017,300
15425,Macanal,2017,327
15442,Maripí,2017,488
15455,Miraflores,2017,754
15464,Mongua,2017,424
15466,Monguí,2017,385
15469,Moniquirá,2017,2316
15476,Motavita,2017,590
15480,Muzo,2017,923
15491,Nobsa,2017,906
15494,Nuevo Colón,2017,505
15500,Oicatá,2017,185
15507,Otanche,2017,849
15511,Pachavita,2017,162
15514,Páez,2017,274
15516,Paipa,2017,3394
15518,Pajarito,2017,189
15522,Panqueba,2017,135
15531,Pauna,2017,617
15533,Paya,2017,245
15537,Paz De Río,2017,338
15542,Pesca,2017,764
15550,Pisba,2017,178
15572,Puerto Boyacá,2017,5950
15580,Quípama,2017,379
15599,Ramiriquí,2017,1098
15600,Ráquira,2017,599
15621,Rondón,2017,234
15632,Saboyá,2017,1146
15638,Sáchica,2017,467
15646,Samacá,2017,2612
15660,San Eduardo,2017,139
15664,San José De Pare,2017,403
15667,San Luis De Gaceno,2017,477
15673,San Mateo,2017,270
15676,San Miguel De Sema,2017,244
15681,San Pablo De Borbur,2017,581
15690,Santa María,2017,304
15693,Santa Rosa De Viterbo,2017,645
15696,Santa Sofía,2017,241
15686,Santana,2017,763
15720,Sativanorte,2017,150
15723,Sativasur,2017,79
15740,Siachoque,2017,864
15753,Soatá,2017,834
15757,Socha,2017,872
15755,Socotá,2017,769
15759,Sogamoso,2017,13930
15761,Somondoco,2017,140
15762,Sora,2017,280
15764,Soracá,2017,696
15763,Sotaquirá,2017,618
15774,Susacón,2017,178
15776,Sutamarchán,2017,546
15778,Sutatenza,2017,259
15790,Tasco,2017,533
15798,Tenza,2017,218
15804,Tibaná,2017,711
15806,Tibasosa,2017,735
15808,Tinjacá,2017,218
15810,Tipacoque,2017,321
15814,Toca,2017,1073
15816,Togüí,2017,481
15820,Tópaga,2017,315
15822,Tota,2017,602
15001,Tunja,2017,19718
15832,Tununguá,2017,133
15835,Turmequé,2017,597
15837,Tuta,2017,658
15839,Tutaza,2017,202
15842,Úmbita,2017,646
15861,Ventaquemada,2017,1497
15407,Villa De Leyva,2017,1364
15879,Viracachá,2017,242
15897,Zetaquira,2017,420
