geo,Area,Periodo,Valor
15296,Cómbita,2013,0.658800
15296,Cómbita,2013,0.658800
15296,Campohermoso,2015,0.659000
15296,Sora,2013,0.660700
15296,Sora,2013,0.660700
15296,Muzo,2015,0.661000
15296,Somondoco,2013,0.666700
15296,Somondoco,2013,0.666700
15296,Santa Rosa De Viterbo,2014,0.666700
15296,Susacón,2014,0.666700
15296,Santa María,2014,0.667000
15296,Susacón,2014,0.667000
15296,Sativasur,2017,0.667000
15296,Socotá,2015,0.672000
15296,Santa María,2014,0.673900
15296,Santa Sofía,2014,0.674000
15296,Chivor,2013,0.675700
15296,Chivor,2013,0.675700
15296,Tibaná,2013,0.675900
15296,Maripí,2012,0.677000
15296,Maripí,2012,0.677400
15296,Otanche,2014,0.677900
15296,Santa Sofía,2013,0.678000
15296,Santa María,2013,0.678000
15296,Otanche,2014,0.678000
15296,La Uvita,2013,0.678600
15296,La Victoria,2013,0.678600
15296,Maripí,2013,0.680300
15296,Maripí,2013,0.680300
15296,Siachoque,2015,0.682000
15296,Ráquira,2014,0.683000
15296,Ráquira,2014,0.683200
15296,Tota,2013,0.683700
15296,Tota,2013,0.683700
15296,Pauna,2014,0.684000
15296,San Eduardo,2017,0.684000
15296,Pauna,2014,0.684200
15296,Siachoque,2014,0.684500
15296,Jenesano,2012,0.684800
15296,Jenesano,2012,0.685000
15296,Siachoque,2014,0.685000
15296,Oicatá,2013,0.687500
15296,Oicatá,2013,0.687500
15296,Paz De Río,2014,0.687500
15296,Paz De Río,2014,0.688000
15296,San Mateo,2014,0.689700
15296,San Mateo,2014,0.690000
15296,Busbanzá,2014,0.692000
15296,Tipacoque,2017,0.692000
15296,Buenavista,2013,0.692300
15296,Pisba,2013,0.692300
15296,Sativasur,2013,0.692300
15296,Buenavista,2013,0.692300
15296,Pisba,2013,0.692300
15296,Sativasur,2013,0.692300
15296,Busbanzá,2014,0.692300
15296,Monguí,2015,0.693000
15296,Viracachá,2014,0.694000
15296,Viracachá,2014,0.694400
15296,Páez,2014,0.695700
15296,Páez,2014,0.696000
15296,Socotá,2017,0.696000
15296,Chíquiza,2016,0.697000
15296,Gachantivá,2016,0.697000
15296,Firavitoba,2013,0.697700
15296,Firavitoba,2013,0.697700
15296,Boyacá,2015,0.698000
15296,Coper,2013,0.698100
15296,Coper,2013,0.698100
15296,Chivor,2016,0.700000
15296,Nuevo Colón,2012,0.701000
15296,San Luis De Gaceno,2013,0.701000
15296,San Luis De Gaceno,2013,0.701000
15296,Nuevo Colón,2012,0.701300
15296,Macanal,2014,0.702000
15296,Macanal,2014,0.702100
15296,Chinavita,2013,0.702700
15296,Chinavita,2013,0.702700
15296,Santa María,2012,0.703000
15296,Sora,2015,0.703000
15296,Santa Rosa De Viterbo,2012,0.703100
15296,Pachavita,2013,0.703700
15296,Paz De Río,2013,0.703700
15296,Pachavita,2013,0.703700
15296,Paz De Río,2013,0.703700
15296,Pajarito,2013,0.704500
15296,Pajarito,2013,0.704500
15296,Firavitoba,2014,0.706700
15296,Motavita,2014,0.706800
15296,Santa María,2013,0.706900
15296,Santa Rosa De Viterbo,2013,0.706900
15296,Firavitoba,2014,0.707000
15296,Motavita,2014,0.707000
15296,Chiscas,2014,0.708000
15296,Chiscas,2014,0.708300
15296,Zetaquira,2012,0.710000
15296,Tinjacá,2017,0.710000
15296,Zetaquira,2012,0.710100
15296,Floresta,2017,0.711000
15296,Pauna,2015,0.713000
15296,Úmbita,2015,0.714000
15296,Tópaga,2015,0.717000
15296,La Capilla,2013,0.718800
15296,La Capilla,2013,0.718800
15296,Chíquiza,2015,0.720000
15296,Chita,2013,0.720200
15296,Chita,2013,0.720200
15296,Arcabuco,2013,0.720900
15296,Arcabuco,2013,0.720900
15296,Labranzagrande,2013,0.722200
15296,Labranzagrande,2013,0.722200
15296,Ramiriquí,2014,0.722800
15296,Ramiriquí,2014,0.723000
15296,Muzo,2016,0.726000
15296,Cucaita,2012,0.727000
15296,Tópaga,2014,0.727000
15296,Tuta,2016,0.727000
15296,La Victoria,2017,0.727000
15296,Cucaita,2012,0.727300
15296,Tópaga,2014,0.727300
15296,Gámeza,2014,0.728000
15296,Gámeza,2014,0.728200
15296,Gámeza,2015,0.731000
15296,Caldas,2013,0.732100
15296,Caldas,2013,0.732100
15296,Gámeza,2013,0.732800
15296,Gámeza,2013,0.732800
15296,La Victoria,2015,0.733000
15296,Busbanzá,2013,0.733300
15296,Tenza,2013,0.733300
15296,Busbanzá,2013,0.733300
15296,Tenza,2013,0.733300
15296,Paz De Río,2015,0.735000
15296,Nuevo Colón,2014,0.736000
15296,Nuevo Colón,2014,0.736100
15296,Iza,2013,0.736800
15296,Iza,2013,0.736800
15296,Cuítiva,2014,0.736800
15296,Cuítiva,2014,0.737000
15296,Zetaquira,2016,0.737000
15296,Pachavita,2015,0.739000
15296,Maripí,2015,0.740000
15296,Chita,2015,0.742000
15296,San Luis De Gaceno,2017,0.742000
15296,El Cocuy,2015,0.743000
15296,Floresta,2015,0.743000
15296,Labranzagrande,2016,0.745000
15296,Úmbita,2016,0.747000
15296,Arcabuco,2017,0.747000
15296,Sutatenza,2013,0.750000
15296,Sutatenza,2013,0.750000
15296,Pesca,2015,0.750000
15296,Somondoco,2015,0.750000
15296,Zetaquira,2015,0.750000
15296,El Espino,2016,0.750000
15296,El Espino,2017,0.750000
15296,Mongua,2013,0.752400
15296,Pesca,2014,0.753700
15296,Pesca,2014,0.754000
15296,Socotá,2016,0.754000
15296,Tipacoque,2016,0.756000
15296,Tuta,2012,0.756800
15296,Tuta,2012,0.757000
15296,Tibasosa,2012,0.758000
15296,Tibaná,2012,0.758200
15296,Monguí,2014,0.759000
15296,Sotaquirá,2016,0.759000
15296,Monguí,2014,0.759500
15296,Sativanorte,2012,0.761900
15296,Sativanorte,2012,0.762000
15296,Macanal,2017,0.763000
15296,Ramiriquí,2016,0.764000
15296,Socha,2014,0.765000
15296,Socha,2014,0.765100
15296,Otanche,2012,0.766000
15296,Otanche,2012,0.766000
15296,Cerinza,2013,0.767900
15296,Cerinza,2013,0.767900
15296,Jericó,2013,0.768300
15296,Jericó,2013,0.768300
