geo,Municipio,Año,Rango edad,Cantidad
15753,Soatá,2021,Menos de 1 año,984
15755,Socotá,2021,Menos de 1 año,1990
15757,Socha,2021,Menos de 1 año,1079
15759,Sogamoso,2021,Menos de 1 año,3500
15761,Somondoco,2021,Menos de 1 año,876
15762,Sora,2021,Menos de 1 año,693
15763,Sotaquirá,2021,Menos de 1 año,4189
15764,Soracá,2021,Menos de 1 año,2133
15774,Susacón,2021,Menos de 1 año,1456
15776,Sutamarchán,2021,Menos de 1 año,900
15778,Sutatenza,2021,Menos de 1 año,713
15790,Tasco,2021,Menos de 1 año,2452
15798,Tenza,2021,Menos de 1 año,1047
15804,Tibaná,2021,Menos de 1 año,1700
15806,Tibasosa,2021,Menos de 1 año,2343
15808,Tinjacá,2021,Menos de 1 año,791
15810,Tipacoque,2021,Menos de 1 año,952
15814,Toca,2021,Menos de 1 año,3265
15816,Togüí,2021,Menos de 1 año,574
15820,Tópaga,2021,Menos de 1 año,678
15822,Tota,2021,Menos de 1 año,2848
15832,Tununguá,2021,Menos de 1 año,124
15835,Turmequé,2021,Menos de 1 año,2191
15837,Tuta,2021,Menos de 1 año,5368
15839,Tutazá,2021,Menos de 1 año,2188
15842,Úmbita,2021,Menos de 1 año,3499
15861,Ventaquemada,2021,Menos de 1 año,4757
15879,Viracachá,2021,Menos de 1 año,1948
15897,Zetaquirá,2021,Menos de 1 año,2468
15001,Tunja,2019,Entre 1 y 2 años,1691
15022,Almeida,2019,Entre 1 y 2 años,534
15047,Aquitania,2019,Entre 1 y 2 años,4221
15051,Arcabuco,2019,Entre 1 y 2 años,2198
15087,Belén,2019,Entre 1 y 2 años,2623
15090,Berbeo,2019,Entre 1 y 2 años,756
15092,Betéitiva,2019,Entre 1 y 2 años,828
15097,Boavita,2019,Entre 1 y 2 años,1597
15104,Boyacá,2019,Entre 1 y 2 años,1056
15106,Briceño,2019,Entre 1 y 2 años,769
15109,Buenavista,2019,Entre 1 y 2 años,1373
15114,Busbanzá,2019,Entre 1 y 2 años,279
15131,Caldas,2019,Entre 1 y 2 años,1854
15135,Campohermoso,2019,Entre 1 y 2 años,3872
15162,Cerinza,2019,Entre 1 y 2 años,1134
15172,Chinavita,2019,Entre 1 y 2 años,1442
15176,Chiquinquirá,2019,Entre 1 y 2 años,4928
15180,Chiscas,2019,Entre 1 y 2 años,2494
15183,Chita,2019,Entre 1 y 2 años,2366
15185,Chitaraque,2019,Entre 1 y 2 años,1038
15187,Chivatá,2019,Entre 1 y 2 años,660
15189,Ciénega,2019,Entre 1 y 2 años,830
15204,Cómbita,2019,Entre 1 y 2 años,1862
15212,Coper,2019,Entre 1 y 2 años,1821
15215,Corrales,2019,Entre 1 y 2 años,225
15218,Covarachía,2019,Entre 1 y 2 años,454
15223,Cubará,2019,Entre 1 y 2 años,2048
15224,Cucaita,2019,Entre 1 y 2 años,499
15226,Cuítiva,2019,Entre 1 y 2 años,961
15232,Chíquiza,2019,Entre 1 y 2 años,632
15236,Chivor,2019,Entre 1 y 2 años,730
15238,Duitama,2019,Entre 1 y 2 años,2667
15244,El Cocuy,2019,Entre 1 y 2 años,2969
15248,El Espino,2019,Entre 1 y 2 años,1485
15272,Firavitoba,2019,Entre 1 y 2 años,2139
15276,Floresta,2019,Entre 1 y 2 años,1460
15293,Gachantivá,2019,Entre 1 y 2 años,1271
15296,Gámeza,2019,Entre 1 y 2 años,1473
15299,Garagoa,2019,Entre 1 y 2 años,3067
15317,Guacamayas,2019,Entre 1 y 2 años,876
15322,Guateque,2019,Entre 1 y 2 años,958
15325,Guayatá,2019,Entre 1 y 2 años,1269
15332,Güicán,2019,Entre 1 y 2 años,2148
15362,Iza,2019,Entre 1 y 2 años,484
15367,Jenesano,2019,Entre 1 y 2 años,1147
15368,Jericó,2019,Entre 1 y 2 años,863
15377,Labranzagrande,2019,Entre 1 y 2 años,2956
15380,La Capilla,2019,Entre 1 y 2 años,1306
15401,La Victoria,2019,Entre 1 y 2 años,900
15403,La Uvita,2019,Entre 1 y 2 años,2108
15407,Villa de Leiva,2019,Entre 1 y 2 años,1576
15425,Macanal,2019,Entre 1 y 2 años,1918
15442,Maripí,2019,Entre 1 y 2 años,1744
15455,Miraflores,2019,Entre 1 y 2 años,3736
15464,Mongua,2019,Entre 1 y 2 años,1245
15466,Monguí,2019,Entre 1 y 2 años,945
15469,Moniquirá,2019,Entre 1 y 2 años,3324
15476,Motavita,2019,Entre 1 y 2 años,1131
15480,Muzo,2019,Entre 1 y 2 años,1871
15491,Nobsa,2019,Entre 1 y 2 años,390
15494,Nuevo Colón,2019,Entre 1 y 2 años,614
15500,Oicatá,2019,Entre 1 y 2 años,1400
15507,Otanche,2019,Entre 1 y 2 años,4105
15511,Pachavita,2019,Entre 1 y 2 años,1284
15514,Páez,2019,Entre 1 y 2 años,3735
15516,Paipa,2019,Entre 1 y 2 años,5018
15518,Pajarito,2019,Entre 1 y 2 años,1796
15522,Panqueba,2019,Entre 1 y 2 años,739
15531,Pauna,2019,Entre 1 y 2 años,1973
