geo,Municipio,Año,Sexo,Hembra
15401,La Victoria,2021,Hembra,1083
15403,La Uvita,2021,Hembra,6050
15407,Villa de Leiva,2021,Hembra,2462
15425,Macanal,2021,Hembra,5653
15442,Maripí,2021,Hembra,3157
15455,Miraflores,2021,Hembra,10524
15464,Mongua,2021,Hembra,6147
15466,Monguí,2021,Hembra,3485
15469,Moniquirá,2021,Hembra,8364
15476,Motavita,2021,Hembra,5609
15480,Muzo,2021,Hembra,4172
15491,Nobsa,2021,Hembra,1622
15494,Nuevo Colón,2021,Hembra,2594
15500,Oicatá,2021,Hembra,4961
15507,Otanche,2021,Hembra,9592
15511,Pachavita,2021,Hembra,3063
15514,Páez,2021,Hembra,11673
15516,Paipa,2021,Hembra,17520
15518,Pajarito,2021,Hembra,4117
15522,Panqueba,2021,Hembra,2021
15531,Pauna,2021,Hembra,7090
15533,Paya,2021,Hembra,5311
15537,Paz de Río,2021,Hembra,1815
15542,Pesca,2021,Hembra,11174
15550,Pisba,2021,Hembra,3015
15572,Puerto Boyacá,2021,Hembra,75618
15580,Quípama,2021,Hembra,3318
15599,Ramiriquí,2021,Hembra,6590
15600,Ráquira,2021,Hembra,3497
15621,Rondón,2021,Hembra,3796
15632,Saboyá,2021,Hembra,22855
15638,Sáchica,2021,Hembra,171
15646,Samacá,2021,Hembra,5133
15660,San Eduardo,2021,Hembra,3344
15664,San José de Pare,2021,Hembra,1201
15667,San Luis de Gaceno,2021,Hembra,20704
15673,San Mateo,2021,Hembra,5275
15676,San Miguel de Sema,2021,Hembra,20493
15681,San Pablo de Borbur,2021,Hembra,5027
15686,Santana,2021,Hembra,964
15690,Santa María,2021,Hembra,8253
15693,Santa Rosa de Viterbo,2021,Hembra,8806
15696,Santa Sofía,2021,Hembra,3128
15720,Sativanorte,2021,Hembra,2900
15723,Sativasur,2021,Hembra,1237
15740,Siachoque,2021,Hembra,8023
15753,Soatá,2021,Hembra,2448
15755,Socotá,2021,Hembra,4905
15757,Socha,2021,Hembra,3226
15759,Sogamoso,2021,Hembra,8875
15761,Somondoco,2021,Hembra,2531
15762,Sora,2021,Hembra,1919
15763,Sotaquirá,2021,Hembra,17694
15764,Soracá,2021,Hembra,6213
15774,Susacón,2021,Hembra,3908
15776,Sutamarchán,2021,Hembra,2762
15778,Sutatenza,2021,Hembra,2040
15790,Tasco,2021,Hembra,6312
15798,Tenza,2021,Hembra,3220
15804,Tibaná,2021,Hembra,6751
15806,Tibasosa,2021,Hembra,7191
15808,Tinjacá,2021,Hembra,2267
15810,Tipacoque,2021,Hembra,2561
15814,Toca,2021,Hembra,11358
15816,Togüí,2021,Hembra,1781
15820,Tópaga,2021,Hembra,1316
15822,Tota,2021,Hembra,6287
15832,Tununguá,2021,Hembra,505
15835,Turmequé,2021,Hembra,6483
15837,Tuta,2021,Hembra,20932
15839,Tutazá,2021,Hembra,5438
15842,Úmbita,2021,Hembra,8875
15861,Ventaquemada,2021,Hembra,17973
15879,Viracachá,2021,Hembra,5056
15897,Zetaquirá,2021,Hembra,6023
15001,Tunja,2019,Macho,3081
15022,Almeida,2019,Macho,919
15047,Aquitania,2019,Macho,7824
15051,Arcabuco,2019,Macho,3234
15087,Belén,2019,Macho,2853
15090,Berbeo,2019,Macho,1543
15092,Betéitiva,2019,Macho,1094
15097,Boavita,2019,Macho,2836
15104,Boyacá,2019,Macho,1652
15106,Briceño,2019,Macho,907
15109,Buenavista,2019,Macho,2191
15114,Busbanzá,2019,Macho,356
15131,Caldas,2019,Macho,1481
15135,Campohermoso,2019,Macho,6635
15162,Cerinza,2019,Macho,1162
15172,Chinavita,2019,Macho,2906
15176,Chiquinquirá,2019,Macho,3180
15180,Chiscas,2019,Macho,5795
15183,Chita,2019,Macho,4511
15185,Chitaraque,2019,Macho,1409
15187,Chivatá,2019,Macho,823
15189,Ciénega,2019,Macho,1887
15204,Cómbita,2019,Macho,2480
15212,Coper,2019,Macho,2997
15215,Corrales,2019,Macho,411
15218,Covarachía,2019,Macho,923
15223,Cubará,2019,Macho,4120
15224,Cucaita,2019,Macho,1011
15226,Cuítiva,2019,Macho,985
15232,Chíquiza,2019,Macho,1414
