Año,geo,Rango de edad,Sexo,Casos
2015,15646,(12 a 17),Hombre,1
2015,15646,Menores de un año,Hombre,0
2015,15681,(01 a 05),Hombre,0
2015,15681,(06 a 11),Hombre,1
2015,15681,(12 a 17),Hombre,0
2015,15686,(06 a 11),Hombre,0
2015,15686,(12 a 17),Hombre,2
2015,15693,(06 a 11),Hombre,1
2015,15693,Menores de un año,Hombre,1
2015,15759,(01 a 05),Hombre,19
2015,15759,(06 a 11),Hombre,15
2015,15759,(12 a 17),Hombre,10
2015,15759,Menores de un año,Hombre,2
2015,15762,(12 a 17),Hombre,1
2015,15764,(06 a 11),Hombre,0
2015,15764,(12 a 17),Hombre,0
2015,15778,(06 a 11),Hombre,2
2015,15778,(12 a 17),Hombre,0
2015,15778,Menores de un año,Hombre,0
2015,15806,(01 a 05),Hombre,1
2015,15806,Menores de un año,Hombre,0
2015,15816,(12 a 17),Hombre,1
2015,15820,(06 a 11),Hombre,0
2015,15861,(01 a 05),Hombre,1
2015,15861,(06 a 11),Hombre,1
2015,15861,(12 a 17),Hombre,1
2016,15001,(01 a 05),Hombre,4
2016,15001,(06 a 11),Hombre,16
2016,15001,(12 a 17),Hombre,20
2016,15001,Menores de un año,Hombre,1
2016,15022,(01 a 05),Hombre,0
2016,15022,(06 a 11),Hombre,1
2016,15047,(12 a 17),Hombre,0
2016,15087,(06 a 11),Hombre,0
2016,15172,(01 a 05),Hombre,0
2016,15176,(01 a 05),Hombre,3
2016,15176,(06 a 11),Hombre,1
2016,15176,(12 a 17),Hombre,4
2016,15204,(01 a 05),Hombre,0
2016,15236,(06 a 11),Hombre,1
2016,15238,(01 a 05),Hombre,5
2016,15238,(06 a 11),Hombre,0
2016,15238,(12 a 17),Hombre,13
2016,15238,Menores de un año,Hombre,1
2016,15272,(06 a 11),Hombre,1
2016,15276,(12 a 17),Hombre,0
2016,15299,(01 a 05),Hombre,0
2016,15299,(06 a 11),Hombre,5
2016,15299,(12 a 17),Hombre,5
2016,15299,Menores de un año,Hombre,0
2016,15322,(01 a 05),Hombre,0
2016,15322,(06 a 11),Hombre,2
2016,15362,(01 a 05),Hombre,1
2016,15377,(06 a 11),Hombre,1
2016,15380,(12 a 17),Hombre,0
2016,15407,(12 a 17),Hombre,0
2016,15425,(06 a 11),Hombre,0
2016,15425,(12 a 17),Hombre,0
2016,15442,(01 a 05),Hombre,1
2016,15442,(06 a 11),Hombre,1
2016,15466,(12 a 17),Hombre,0
2016,15469,(12 a 17),Hombre,0
2016,15491,(06 a 11),Hombre,0
2016,15491,(12 a 17),Hombre,1
2016,15500,(01 a 05),Hombre,1
2016,15500,(12 a 17),Hombre,1
2016,15507,(01 a 05),Hombre,0
2016,15511,(12 a 17),Hombre,0
2016,15511,Menores de un año,Hombre,0
2016,15516,(06 a 11),Hombre,0
2016,15516,(12 a 17),Hombre,2
2016,15522,(06 a 11),Hombre,0
2016,15542,(01 a 05),Hombre,1
2016,15542,(06 a 11),Hombre,0
2016,15572,(01 a 05),Hombre,2
2016,15572,(06 a 11),Hombre,1
2016,15572,(12 a 17),Hombre,3
2016,15599,(01 a 05),Hombre,1
2016,15600,(06 a 11),Hombre,1
2016,15646,(01 a 05),Hombre,2
2016,15646,(06 a 11),Hombre,1
2016,15646,(12 a 17),Hombre,0
2016,15681,(01 a 05),Hombre,1
2016,15681,(06 a 11),Hombre,0
2016,15681,(12 a 17),Hombre,2
2016,15681,Menores de un año,Hombre,0
2016,15686,(06 a 11),Hombre,0
2016,15686,(12 a 17),Hombre,1
2016,15693,(06 a 11),Hombre,1
2016,15693,(12 a 17),Hombre,0
2016,15755,(06 a 11),Hombre,1
2016,15759,(01 a 05),Hombre,11
2016,15759,(06 a 11),Hombre,19
2016,15759,(12 a 17),Hombre,18
2016,15759,Menores de un año,Hombre,5
2016,15764,(01 a 05),Hombre,1
2016,15764,(12 a 17),Hombre,1
2016,15790,(06 a 11),Hombre,1
2016,15798,(12 a 17),Hombre,0
2016,15804,(12 a 17),Hombre,0
2016,15806,(01 a 05),Hombre,2
2016,15806,(12 a 17),Hombre,1
2016,15808,(12 a 17),Hombre,0
2016,15822,(12 a 17),Hombre,1
2016,15879,(12 a 17),Hombre,0
2017,15001,(01 a 05),Hombre,9
2017,15001,(06 a 11),Hombre,17
2017,15001,(12 a 17),Hombre,14
2017,15001,Menores de un año,Hombre,2
2017,15087,(12 a 17),Hombre,0
2017,15106,(12 a 17),Hombre,0
2017,15135,(01 a 05),Hombre,1
2017,15162,(01 a 05),Hombre,0
2017,15176,(01 a 05),Hombre,0
2017,15176,(06 a 11),Hombre,2
2017,15176,(12 a 17),Hombre,1
2017,15183,(12 a 17),Hombre,1
2017,15223,(06 a 11),Hombre,1
2017,15224,(12 a 17),Hombre,0
2017,15238,(01 a 05),Hombre,7
2017,15238,(06 a 11),Hombre,8
2017,15238,(12 a 17),Hombre,16
2017,15238,Menores de un año,Hombre,1
2017,15272,(12 a 17),Hombre,0
2017,15276,(12 a 17),Hombre,0
2017,15299,(01 a 05),Hombre,0
2017,15299,(06 a 11),Hombre,6
2017,15299,(12 a 17),Hombre,2
2017,15325,(01 a 05),Hombre,1
2017,15325,(12 a 17),Hombre,1
2017,15516,(06 a 11),Hombre,0
2017,15516,(12 a 17),Hombre,0
2017,15518,(12 a 17),Hombre,0
2017,15531,(12 a 17),Hombre,0
2017,15572,(01 a 05),Hombre,0
2017,15572,(06 a 11),Hombre,5
2017,15572,(12 a 17),Hombre,0
2017,15572,Menores de un año,Hombre,1
2017,15580,(01 a 05),Hombre,0
2017,15580,(12 a 17),Hombre,0
2017,15664,(01 a 05),Hombre,0
2017,15681,(12 a 17),Hombre,0
2017,15686,(12 a 17),Hombre,0
2017,15690,(01 a 05),Hombre,0
2017,15693,(06 a 11),Hombre,1
2017,15693,(12 a 17),Hombre,0
2017,15696,(01 a 05),Hombre,0
2017,15753,(06 a 11),Hombre,0
2017,15755,(01 a 05),Hombre,1
2017,15757,(12 a 17),Hombre,1
2017,15759,(01 a 05),Hombre,15
2017,15759,(06 a 11),Hombre,21
2017,15759,(12 a 17),Hombre,9
2017,15759,Menores de un año,Hombre,3
2017,15764,(12 a 17),Hombre,0
2017,15798,(12 a 17),Hombre,1
2017,15806,(06 a 11),Hombre,0
2017,15806,(12 a 17),Hombre,0
2017,15835,(01 a 05),Hombre,1
2018,15001,(01 a 05),Hombre,10
2018,15001,(06 a 11),Hombre,17
2018,15001,(12 a 17),Hombre,23
2018,15001,Menores de un año,Hombre,1
2018,15104,(06 a 11),Hombre,0
2018,15131,(06 a 11),Hombre,0
2018,15172,(06 a 11),Hombre,1
2018,15176,(01 a 05),Hombre,5
2018,15176,(06 a 11),Hombre,1
2018,15176,(12 a 17),Hombre,6
2018,15236,(06 a 11),Hombre,1
2018,15238,(01 a 05),Hombre,4
2018,15238,(06 a 11),Hombre,11
2018,15238,(12 a 17),Hombre,10
2018,15238,Menores de un año,Hombre,0
2018,15272,(06 a 11),Hombre,1
2018,15272,(12 a 17),Hombre,0
2018,15299,(01 a 05),Hombre,1
2018,15299,(06 a 11),Hombre,3
2018,15299,(12 a 17),Hombre,3
2018,15325,(06 a 11),Hombre,1
2018,15367,(06 a 11),Hombre,1
2018,15401,(12 a 17),Hombre,0
2018,15403,(06 a 11),Hombre,1
2018,15403,(12 a 17),Hombre,1
2018,15469,(12 a 17),Hombre,1
2018,15491,(06 a 11),Hombre,1
2018,15491,(12 a 17),Hombre,0
2018,15507,(01 a 05),Hombre,0
2018,15516,(01 a 05),Hombre,1
2018,15516,(06 a 11),Hombre,0
2018,15516,(12 a 17),Hombre,2
2018,15533,(12 a 17),Hombre,0
2018,15542,(01 a 05),Hombre,1
2018,15542,(06 a 11),Hombre,0
2018,15572,(01 a 05),Hombre,1
2018,15572,(06 a 11),Hombre,0
2018,15572,(12 a 17),Hombre,0
2018,15580,(01 a 05),Hombre,0
2018,15580,(06 a 11),Hombre,3
2018,15580,(12 a 17),Hombre,1
2018,15632,(12 a 17),Hombre,0
2018,15667,(12 a 17),Hombre,0
2018,15681,(06 a 11),Hombre,1
2018,15681,(12 a 17),Hombre,2
2018,15686,(01 a 05),Hombre,1
2018,15686,(06 a 11),Hombre,1
2018,15686,(12 a 17),Hombre,0
2018,15693,(06 a 11),Hombre,0
2018,15740,(12 a 17),Hombre,0
2018,15753,(06 a 11),Hombre,0
2018,15757,(06 a 11),Hombre,1
2018,15759,(01 a 05),Hombre,11
2018,15759,(06 a 11),Hombre,9
2018,15759,(12 a 17),Hombre,7
2018,15759,Menores de un año,Hombre,5
2018,15761,(06 a 11),Hombre,0
2018,15763,(12 a 17),Hombre,0
2018,15764,(06 a 11),Hombre,1
2018,15764,(12 a 17),Hombre,0
2018,15837,(06 a 11),Hombre,0
2019,15051,(12 a 17),Hombre,0
2019,15162,(12 a 17),Hombre,0
2019,15176,(01 a 05),Hombre,2
2019,15176,(06 a 11),Hombre,0
2019,15176,(12 a 17),Hombre,2
2019,15176,Menores de un año,Hombre,1
2019,15185,(12 a 17),Hombre,1
2019,15223,(12 a 17),Hombre,0
2019,15224,(01 a 05),Hombre,0
2019,15238,(01 a 05),Hombre,8
2019,15238,(06 a 11),Hombre,10
2019,15238,(12 a 17),Hombre,10
2019,15238,Menores de un año,Hombre,0
2019,15296,(12 a 17),Hombre,0
2019,15299,(01 a 05),Hombre,1
2019,15299,(06 a 11),Hombre,0
2019,15299,(12 a 17),Hombre,2
2019,15322,(01 a 05),Hombre,0
2019,15401,Menores de un año,Hombre,1
2019,15442,(12 a 17),Hombre,0
2019,15469,(06 a 11),Hombre,0
2019,15469,(12 a 17),Hombre,1
2019,15491,(01 a 05),Hombre,0
2019,15491,(06 a 11),Hombre,1
2019,15494,(01 a 05),Hombre,0
2019,15494,(06 a 11),Hombre,1
2019,15516,(01 a 05),Hombre,1
2019,15516,(12 a 17),Hombre,0
2019,15531,(12 a 17),Hombre,1
2019,15542,(01 a 05),Hombre,0
2019,15542,(06 a 11),Hombre,1
2019,15542,(12 a 17),Hombre,0
2019,15572,(01 a 05),Hombre,1
2019,15572,(06 a 11),Hombre,2
2019,15572,(12 a 17),Hombre,1
2019,15646,(12 a 17),Hombre,1
2019,15664,(06 a 11),Hombre,2
2019,15664,(12 a 17),Hombre,0
2019,15676,(06 a 11),Hombre,1
2019,15693,(01 a 05),Hombre,0
2019,15693,(06 a 11),Hombre,1
2019,15759,(01 a 05),Hombre,4
2019,15759,(06 a 11),Hombre,7
2019,15759,(12 a 17),Hombre,11
2019,15762,(12 a 17),Hombre,2
2019,15764,(01 a 05),Hombre,0
2019,15764,(06 a 11),Hombre,0
2019,15764,(12 a 17),Hombre,0
2019,15763,(01 a 05),Hombre,0
2019,15763,(06 a 11),Hombre,0
2019,15763,(12 a 17),Hombre,0
2019,15776,(06 a 11),Hombre,0
2019,15001,(01 a 05),Hombre,3
2019,15001,(06 a 11),Hombre,15
2019,15001,(12 a 17),Hombre,14
2019,15001,Menores de un año,Hombre,1
2019,15837,(12 a 17),Hombre,1
2019,15897,(12 a 17),Hombre,0
2020,15047,(06 a 11),Hombre,0
2020,15104,(12 a 17),Hombre,0
2020,15176,(01 a 05),Hombre,0
2020,15176,(06 a 11),Hombre,0
2020,15176,(12 a 17),Hombre,1
2020,15236,(06 a 11),Hombre,1
2020,15204,(12 a 17),Hombre,1
2020,15223,(06 a 11),Hombre,1
2020,15238,(01 a 05),Hombre,2
2020,15238,(06 a 11),Hombre,5
2020,15238,(12 a 17),Hombre,11
2020,15238,Menores de un año,Hombre,1
2020,15299,(06 a 11),Hombre,1
2020,15299,(12 a 17),Hombre,1
2020,15367,(01 a 05),Hombre,1
2020,15367,(06 a 11),Hombre,0
2020,15476,(12 a 17),Hombre,1
2020,15500,(12 a 17),Hombre,0
2020,15516,(06 a 11),Hombre,1
2020,15516,(12 a 17),Hombre,1
2020,15572,(01 a 05),Hombre,1
2020,15572,(06 a 11),Hombre,0
2020,15572,(12 a 17),Hombre,0
2020,15572,Menores de un año,Hombre,0
2020,15632,(06 a 11),Hombre,2
2020,15667,(06 a 11),Hombre,1
2020,15681,(01 a 05),Hombre,1
2020,15681,(06 a 11),Hombre,1
2020,15681,(12 a 17),Hombre,2
2020,15681,Menores de un año,Hombre,1
2020,15693,(06 a 11),Hombre,1
2020,15693,(12 a 17),Hombre,1
2020,15759,(01 a 05),Hombre,3
2020,15759,(06 a 11),Hombre,5
2020,15759,(12 a 17),Hombre,4
2020,15764,(06 a 11),Hombre,0
2020,15764,(12 a 17),Hombre,1
2020,15764,Menores de un año,Hombre,1
2020,15763,(12 a 17),Hombre,1
2020,15804,(12 a 17),Hombre,0
2020,15816,(12 a 17),Hombre,0
2020,15820,(12 a 17),Hombre,0
2020,15001,(01 a 05),Hombre,5
2020,15001,(06 a 11),Hombre,7
2020,15001,(12 a 17),Hombre,15
2020,15001,Menores de un año,Hombre,0
2020,15842,(12 a 17),Hombre,0
2020,15407,(12 a 17),Hombre,0
2020,15879,(12 a 17),Hombre,1
2021,15087,(06 a 11),Hombre,0
2021,15087,(12 a 17),Hombre,1
2021,15172,(12 a 17),Hombre,0
2021,15176,(01 a 05),Hombre,0
2021,15176,(06 a 11),Hombre,0
2021,15176,(12 a 17),Hombre,2
2021,15187,(06 a 11),Hombre,1
2021,15187,(12 a 17),Hombre,1
2021,15223,(06 a 11),Hombre,0
2021,15238,(01 a 05),Hombre,0
2021,15238,(06 a 11),Hombre,6
2021,15238,(12 a 17),Hombre,5
2021,15238,Menores de un año,Hombre,1
2021,15299,(06 a 11),Hombre,2
2021,15299,(12 a 17),Hombre,3
2021,15322,Menores de un año,Hombre,1
2021,15466,(12 a 17),Hombre,0
2021,15476,(12 a 17),Hombre,0
2021,15516,(01 a 05),Hombre,1
2021,15516,(06 a 11),Hombre,3
2021,15516,(12 a 17),Hombre,2
2021,15572,(01 a 05),Hombre,0
2021,15572,(06 a 11),Hombre,2
2021,15572,(12 a 17),Hombre,0
2021,15599,(06 a 11),Hombre,0
2021,15599,(12 a 17),Hombre,0
2021,15638,(12 a 17),Hombre,1
2021,15664,(12 a 17),Hombre,1
2021,15693,(12 a 17),Hombre,1
2021,15755,(12 a 17),Hombre,0
2021,15759,(01 a 05),Hombre,2
2021,15759,(06 a 11),Hombre,6
2021,15759,(12 a 17),Hombre,4
2021,15764,(01 a 05),Hombre,1
2021,15764,(06 a 11),Hombre,1
2021,15806,(12 a 17),Hombre,0
2021,15810,(12 a 17),Hombre,0
2021,15814,(12 a 17),Hombre,0
2021,15001,(01 a 05),Hombre,10
2021,15001,(06 a 11),Hombre,5
2021,15001,(12 a 17),Hombre,16
2021,15861,(12 a 17),Hombre,1
2021,15879,(12 a 17),Hombre,0
2015,15001,(01 a 05),Mujer,5
2015,15001,(06 a 11),Mujer,19
2015,15001,(12 a 17),Mujer,34
2015,15001,Menores de un año,Mujer,1
2015,15022,(01 a 05),Mujer,1
2015,15022,(06 a 11),Mujer,1
2015,15022,(12 a 17),Mujer,1
2015,15022,Menores de un año,Mujer,0
2015,15087,(01 a 05),Mujer,1
2015,15087,(06 a 11),Mujer,0
2015,15097,(12 a 17),Mujer,0
2015,15172,(12 a 17),Mujer,1
2015,15176,(01 a 05),Mujer,0
2015,15176,(06 a 11),Mujer,1
2015,15176,(12 a 17),Mujer,9
2015,15218,(01 a 05),Mujer,0
2015,15223,(06 a 11),Mujer,1
2015,15226,(12 a 17),Mujer,1
2015,15238,(01 a 05),Mujer,4
2015,15238,(06 a 11),Mujer,4
2015,15238,(12 a 17),Mujer,14
2015,15238,Menores de un año,Mujer,1
2015,15272,(01 a 05),Mujer,1
2015,15272,(06 a 11),Mujer,1
2015,15272,(12 a 17),Mujer,1
2015,15272,Menores de un año,Mujer,1
2015,15299,(01 a 05),Mujer,2
2015,15299,(06 a 11),Mujer,7
2015,15299,(12 a 17),Mujer,7
2015,15299,Menores de un año,Mujer,3
2015,15322,(01 a 05),Mujer,0
2015,15322,Menores de un año,Mujer,1
2015,15362,(06 a 11),Mujer,1
2015,15380,(06 a 11),Mujer,0
2015,15380,(12 a 17),Mujer,1
2015,15425,(12 a 17),Mujer,3
2015,15425,Menores de un año,Mujer,1
2015,15469,(12 a 17),Mujer,1
2015,15491,(01 a 05),Mujer,1
2015,15491,(06 a 11),Mujer,0
2015,15491,(12 a 17),Mujer,2
2015,15516,(06 a 11),Mujer,1
2015,15516,(12 a 17),Mujer,5
2015,15542,(06 a 11),Mujer,1
2015,15542,(12 a 17),Mujer,2
2015,15572,(01 a 05),Mujer,1
2015,15572,(06 a 11),Mujer,1
2015,15572,(12 a 17),Mujer,6
2015,15599,(06 a 11),Mujer,2
2015,15599,(12 a 17),Mujer,2
2015,15600,(01 a 05),Mujer,1
2015,15600,(12 a 17),Mujer,1
2015,15632,(12 a 17),Mujer,2
2015,15638,(12 a 17),Mujer,1
2015,15646,(06 a 11),Mujer,1
2015,15646,(12 a 17),Mujer,3
2015,15646,Menores de un año,Mujer,1
2015,15681,(01 a 05),Mujer,1
2015,15681,(06 a 11),Mujer,0
2015,15681,(12 a 17),Mujer,2
2015,15686,(06 a 11),Mujer,1
2015,15686,(12 a 17),Mujer,5
2015,15693,(06 a 11),Mujer,1
2015,15693,Menores de un año,Mujer,0
2015,15759,(01 a 05),Mujer,16
2015,15759,(06 a 11),Mujer,13
2015,15759,(12 a 17),Mujer,22
2015,15759,Menores de un año,Mujer,3
2015,15762,(12 a 17),Mujer,1
2015,15764,(06 a 11),Mujer,1
2015,15764,(12 a 17),Mujer,1
2015,15778,(06 a 11),Mujer,0
2015,15778,(12 a 17),Mujer,1
2015,15778,Menores de un año,Mujer,1
2015,15806,(01 a 05),Mujer,0
2015,15806,Menores de un año,Mujer,1
2015,15816,(12 a 17),Mujer,0
2015,15820,(06 a 11),Mujer,1
2015,15861,(01 a 05),Mujer,0
2015,15861,(06 a 11),Mujer,1
2015,15861,(12 a 17),Mujer,2
2016,15001,(01 a 05),Mujer,7
2016,15001,(06 a 11),Mujer,16
2016,15001,(12 a 17),Mujer,48
2016,15001,Menores de un año,Mujer,1
2016,15022,(01 a 05),Mujer,1
2016,15022,(06 a 11),Mujer,0
2016,15047,(12 a 17),Mujer,1
2016,15087,(06 a 11),Mujer,1
2016,15172,(01 a 05),Mujer,1
2016,15176,(01 a 05),Mujer,2
2016,15176,(06 a 11),Mujer,2
2016,15176,(12 a 17),Mujer,11
2016,15204,(01 a 05),Mujer,1
2016,15236,(06 a 11),Mujer,1
2016,15238,(01 a 05),Mujer,1
2016,15238,(06 a 11),Mujer,10
2016,15238,(12 a 17),Mujer,15
2016,15238,Menores de un año,Mujer,0
2016,15272,(06 a 11),Mujer,0
2016,15276,(12 a 17),Mujer,1
2016,15299,(01 a 05),Mujer,1
2016,15299,(06 a 11),Mujer,1
2016,15299,(12 a 17),Mujer,11
2016,15299,Menores de un año,Mujer,1
2016,15322,(01 a 05),Mujer,1
2016,15322,(06 a 11),Mujer,0
2016,15362,(01 a 05),Mujer,0
2016,15377,(06 a 11),Mujer,0
2016,15380,(12 a 17),Mujer,1
2016,15407,(12 a 17),Mujer,1
2016,15425,(06 a 11),Mujer,1
2016,15425,(12 a 17),Mujer,2
2016,15442,(01 a 05),Mujer,0
2016,15442,(06 a 11),Mujer,0
2016,15466,(12 a 17),Mujer,1
2016,15469,(12 a 17),Mujer,2
2016,15491,(06 a 11),Mujer,1
2016,15491,(12 a 17),Mujer,1
2016,15500,(01 a 05),Mujer,0
2016,15500,(12 a 17),Mujer,0
2016,15507,(01 a 05),Mujer,1
2016,15511,(12 a 17),Mujer,3
2016,15511,Menores de un año,Mujer,1
2016,15516,(06 a 11),Mujer,1
2016,15516,(12 a 17),Mujer,0
2016,15522,(06 a 11),Mujer,1
2016,15542,(01 a 05),Mujer,0
2016,15542,(06 a 11),Mujer,1
2016,15572,(01 a 05),Mujer,2
2016,15572,(06 a 11),Mujer,1
2016,15572,(12 a 17),Mujer,4
2016,15599,(01 a 05),Mujer,0
2016,15600,(06 a 11),Mujer,1
2016,15646,(01 a 05),Mujer,1
2016,15646,(06 a 11),Mujer,2
2016,15646,(12 a 17),Mujer,2
2016,15681,(01 a 05),Mujer,3
2016,15681,(06 a 11),Mujer,2
2016,15681,(12 a 17),Mujer,2
2016,15681,Menores de un año,Mujer,1
2016,15686,(06 a 11),Mujer,1
2016,15686,(12 a 17),Mujer,0
2016,15693,(06 a 11),Mujer,0
2016,15693,(12 a 17),Mujer,1
2016,15755,(06 a 11),Mujer,0
2016,15759,(01 a 05),Mujer,7
2016,15759,(06 a 11),Mujer,16
2016,15759,(12 a 17),Mujer,26
2016,15759,Menores de un año,Mujer,7
2016,15764,(01 a 05),Mujer,1
2016,15764,(12 a 17),Mujer,4
2016,15790,(06 a 11),Mujer,0
2016,15798,(12 a 17),Mujer,1
2016,15804,(12 a 17),Mujer,1
2016,15806,(01 a 05),Mujer,0
2016,15806,(12 a 17),Mujer,0
2016,15808,(12 a 17),Mujer,1
2016,15822,(12 a 17),Mujer,0
2016,15879,(12 a 17),Mujer,1
2017,15001,(01 a 05),Mujer,6
2017,15001,(06 a 11),Mujer,9
2017,15001,(12 a 17),Mujer,45
2017,15001,Menores de un año,Mujer,1
2017,15087,(12 a 17),Mujer,1
2017,15106,(12 a 17),Mujer,1
2017,15135,(01 a 05),Mujer,0
2017,15162,(01 a 05),Mujer,1
2017,15176,(01 a 05),Mujer,2
2017,15176,(06 a 11),Mujer,4
2017,15176,(12 a 17),Mujer,8
2017,15183,(12 a 17),Mujer,0
2017,15223,(06 a 11),Mujer,0
2017,15224,(12 a 17),Mujer,2
2017,15238,(01 a 05),Mujer,3
2017,15238,(06 a 11),Mujer,8
2017,15238,(12 a 17),Mujer,24
2017,15238,Menores de un año,Mujer,1
2017,15272,(12 a 17),Mujer,1
2017,15276,(12 a 17),Mujer,1
2017,15299,(01 a 05),Mujer,3
2017,15299,(06 a 11),Mujer,6
2017,15299,(12 a 17),Mujer,4
2017,15325,(01 a 05),Mujer,1
2017,15325,(12 a 17),Mujer,2
2017,15516,(06 a 11),Mujer,1
2017,15516,(12 a 17),Mujer,2
2017,15518,(12 a 17),Mujer,1
2017,15531,(12 a 17),Mujer,1
2017,15572,(01 a 05),Mujer,1
2017,15572,(06 a 11),Mujer,1
2017,15572,(12 a 17),Mujer,4
2017,15572,Menores de un año,Mujer,0
2017,15580,(01 a 05),Mujer,1
2017,15580,(12 a 17),Mujer,1
2017,15664,(01 a 05),Mujer,1
2017,15681,(12 a 17),Mujer,1
2017,15686,(12 a 17),Mujer,1
2017,15690,(01 a 05),Mujer,1
2017,15693,(06 a 11),Mujer,3
2017,15693,(12 a 17),Mujer,1
2017,15696,(01 a 05),Mujer,1
2017,15753,(06 a 11),Mujer,1
2017,15755,(01 a 05),Mujer,0
2017,15757,(12 a 17),Mujer,0
2017,15759,(01 a 05),Mujer,14
2017,15759,(06 a 11),Mujer,6
2017,15759,(12 a 17),Mujer,28
2017,15759,Menores de un año,Mujer,2
2017,15764,(12 a 17),Mujer,2
2017,15798,(12 a 17),Mujer,0
2017,15806,(06 a 11),Mujer,1
2017,15806,(12 a 17),Mujer,1
2017,15835,(01 a 05),Mujer,0
2018,15001,(01 a 05),Mujer,6
2018,15001,(06 a 11),Mujer,10
2018,15001,(12 a 17),Mujer,38
2018,15001,Menores de un año,Mujer,2
2018,15104,(06 a 11),Mujer,1
2018,15131,(06 a 11),Mujer,1
2018,15172,(06 a 11),Mujer,1
2018,15176,(01 a 05),Mujer,0
2018,15176,(06 a 11),Mujer,2
2018,15176,(12 a 17),Mujer,9
2018,15236,(06 a 11),Mujer,0
2018,15238,(01 a 05),Mujer,1
2018,15238,(06 a 11),Mujer,4
2018,15238,(12 a 17),Mujer,25
2018,15238,Menores de un año,Mujer,1
2018,15272,(06 a 11),Mujer,0
2018,15272,(12 a 17),Mujer,1
2018,15299,(01 a 05),Mujer,3
2018,15299,(06 a 11),Mujer,3
2018,15299,(12 a 17),Mujer,9
2018,15325,(06 a 11),Mujer,0
2018,15367,(06 a 11),Mujer,0
2018,15401,(12 a 17),Mujer,1
2018,15403,(06 a 11),Mujer,0
2018,15403,(12 a 17),Mujer,1
2018,15469,(12 a 17),Mujer,1
2018,15491,(06 a 11),Mujer,0
2018,15491,(12 a 17),Mujer,2
2018,15507,(01 a 05),Mujer,1
2018,15516,(01 a 05),Mujer,0
2018,15516,(06 a 11),Mujer,1
2018,15516,(12 a 17),Mujer,1
2018,15533,(12 a 17),Mujer,1
2018,15542,(01 a 05),Mujer,0
2018,15542,(06 a 11),Mujer,1
2018,15572,(01 a 05),Mujer,1
2018,15572,(06 a 11),Mujer,1
2018,15572,(12 a 17),Mujer,5
2018,15580,(01 a 05),Mujer,3
2018,15580,(06 a 11),Mujer,1
2018,15580,(12 a 17),Mujer,0
2018,15632,(12 a 17),Mujer,3
2018,15667,(12 a 17),Mujer,1
2018,15681,(06 a 11),Mujer,1
2018,15681,(12 a 17),Mujer,1
2018,15686,(01 a 05),Mujer,0
2018,15686,(06 a 11),Mujer,0
2018,15686,(12 a 17),Mujer,1
2018,15693,(06 a 11),Mujer,1
2018,15740,(12 a 17),Mujer,1
2018,15753,(06 a 11),Mujer,1
2018,15757,(06 a 11),Mujer,0
2018,15759,(01 a 05),Mujer,6
2018,15759,(06 a 11),Mujer,8
2018,15759,(12 a 17),Mujer,11
2018,15759,Menores de un año,Mujer,1
2018,15761,(06 a 11),Mujer,1
2018,15763,(12 a 17),Mujer,1
