geo,Municipio,Grupo cultivo,Desagregación cultivo,Año,Área cosechada
15808,Tinjacá,Cereales,Maíz Tradicional,2019,14.000000
15808,Tinjacá,Cereales,Maíz Tradicional,2019,18.000000
15810,Tipacoque,Cereales,Maíz Tecnificado,2019,5.000000
15810,Tipacoque,Cereales,Maíz Tradicional,2019,18.000000
15810,Tipacoque,Cereales,Maíz Tradicional,2019,25.000000
15814,Toca,Cereales,Cebada,2019,380.000000
15814,Toca,Cereales,Cebada,2019,200.000000
15814,Toca,Cereales,Maíz Tradicional,2019,80.000000
15814,Toca,Cereales,Maíz Tradicional,2019,45.000000
15814,Toca,Cereales,Trigo,2019,60.000000
15814,Toca,Cereales,Trigo,2019,36.000000
15816,Togüí,Cereales,Maíz Tradicional,2019,85.000000
15816,Togüí,Cereales,Maíz Tradicional,2019,35.000000
15820,Tópaga,Cereales,Cebada,2019,6.000000
15820,Tópaga,Cereales,Maíz Tradicional,2019,30.000000
15820,Tópaga,Cereales,Maíz Tradicional,2019,28.000000
15820,Tópaga,Cereales,Trigo,2019,4.000000
15820,Tópaga,Cereales,Trigo,2019,8.000000
15832,Tununguá,Cereales,Maíz Tradicional,2019,35.000000
15832,Tununguá,Cereales,Maíz Tradicional,2019,24.000000
15835,Turmequé,Cereales,Maíz Tradicional,2019,80.000000
15835,Turmequé,Cereales,Maíz Tradicional,2019,8.000000
15837,Tuta,Cereales,Avena,2019,62.000000
15837,Tuta,Cereales,Avena,2019,30.000000
15837,Tuta,Cereales,Cebada,2019,30.000000
15837,Tuta,Cereales,Cebada,2019,8.000000
15837,Tuta,Cereales,Maíz Tradicional,2019,40.000000
15837,Tuta,Cereales,Quinua,2019,25.000000
15837,Tuta,Cereales,Quinua,2019,16.000000
15839,Tutazá,Cereales,Maíz Tradicional,2019,9.000000
15839,Tutazá,Cereales,Maíz Tradicional,2019,3.000000
15842,Úmbita,Cereales,Maíz Tradicional,2019,52.000000
15842,Úmbita,Cereales,Maíz Tradicional,2019,3.000000
15842,Úmbita,Cereales,Quinua,2019,1.000000
