geo,Municipio,Desagregación cultivo,Año,Rendimiento
15798,Tenza,Ahuyama,2019,9
15798,Tenza,Pepino Cohombro,2019,13
15798,Tenza,Pepino Cohombro,2019,11
15798,Tenza,Pepino Guiso,2019,13
15798,Tenza,Pepino Guiso,2019,13
15798,Tenza,Pimentón,2019,19
15798,Tenza,Pimentón,2019,1
15798,Tenza,Tomate,2019,28
15798,Tenza,Tomate,2019,26
15798,Tenza,Tomate Invernadero,2019,82
15798,Tenza,Tomate Invernadero,2019,85
15804,Tibaná,Pepino Guiso,2019,18
15804,Tibaná,Pepino Guiso,2019,20
15806,Tibasosa,Tomate Invernadero,2019,23
15806,Tibasosa,Tomate Invernadero,2019,23
15806,Tibasosa,Cebolla De Bulbo,2019,18
15806,Tibasosa,Cebolla De Bulbo,2019,35
15808,Tinjacá,Ahuyama,2019,3
15808,Tinjacá,Pimentón,2019,12
15808,Tinjacá,Pimentón,2019,10
15808,Tinjacá,Tomate Invernadero,2019,60
15808,Tinjacá,Tomate Invernadero,2019,58
15808,Tinjacá,Cebolla De Bulbo,2019,20
15808,Tinjacá,Cebolla De Bulbo,2019,19
15810,Tipacoque,Pimentón,2019,10
15810,Tipacoque,Pimentón,2019,10
15810,Tipacoque,Tomate,2019,4
15810,Tipacoque,Tomate,2019,4
15810,Tipacoque,Tomate Invernadero,2019,88
15810,Tipacoque,Tomate Invernadero,2019,1
15814,Toca,Cebolla De Bulbo,2019,29
15814,Toca,Cebolla De Bulbo,2019,30
15816,Togüí,Tomate,2019,14
15816,Togüí,Tomate,2019,14
15820,Tópaga,Tomate Invernadero,2019,40
15820,Tópaga,Tomate Invernadero,2019,60
15820,Tópaga,Cebolla De Bulbo,2019,20
15820,Tópaga,Cebolla De Bulbo,2019,20
15822,Tota,Cebolla De Bulbo,2019,35
15822,Tota,Zanahoria,2019,35
15822,Tota,Zanahoria,2019,35
15822,Tota,Cebolla De Rama,2019,15
15822,Tota,Cebolla De Rama,2019,40
15835,Turmequé,Tomate Invernadero,2019,120
15835,Turmequé,Tomate Invernadero,2019,120
15835,Turmequé,Cebolla De Bulbo,2019,37
15835,Turmequé,Cebolla De Bulbo,2019,35
15835,Turmequé,Zanahoria,2019,15
15835,Turmequé,Zanahoria,2019,15
15837,Tuta,Cebolla De Bulbo,2019,21
15837,Tuta,Cebolla De Bulbo,2019,18
15839,Tutazá,Otras hortalizas,2019,20
15839,Tutazá,Otras hortalizas,2019,40
15839,Tutazá,Zanahoria,2019,20
15839,Tutazá,Zanahoria,2019,20
15842,Úmbita,Otras hortalizas,2019,2
15842,Úmbita,Zanahoria,2019,13
15861,Ventaquemada,Otras hortalizas,2019,5
15861,Ventaquemada,Otras hortalizas,2019,5
15861,Ventaquemada,Cebolla De Bulbo,2019,20
15861,Ventaquemada,Cebolla De Bulbo,2019,20
15861,Ventaquemada,Zanahoria,2019,25
15861,Ventaquemada,Zanahoria,2019,25
15879,Viracachá,Ahuyama,2019,7
15879,Viracachá,Cilantro,2019,4
15879,Viracachá,Cilantro,2019,5
15879,Viracachá,Zanahoria,2019,26
15879,Viracachá,Zanahoria,2019,5
15897,Zetaquirá,Tomate Invernadero,2019,28
15897,Zetaquirá,Tomate Invernadero,2019,28
15001,Tunja,Cebolla De Bulbo,2020,25
15001,Tunja,Cebolla De Bulbo,2020,25
15001,Tunja,Zanahoria,2020,30
15001,Tunja,Zanahoria,2020,30
15022,Almeida,Calabacín¬ Calabaza,2020,38
15022,Almeida,Guatila,2020,15
15022,Almeida,Guatila,2020,15
15022,Almeida,Pepino Guiso,2020,1
15022,Almeida,Tomate Invernadero,2020,65
15022,Almeida,Tomate Invernadero,2020,68
15047,Aquitania,Cebolla De Rama,2020,40
15047,Aquitania,Cebolla De Rama,2020,40
15051,Arcabuco,Zanahoria,2020,15
15051,Arcabuco,Zanahoria,2020,15
15087,Belén,Otras hortalizas,2020,19
15087,Belén,Otras hortalizas,2020,25
15087,Belén,Ajo,2020,11
15087,Belén,Ajo,2020,13
15087,Belén,Cebolla De Bulbo,2020,20
15087,Belén,Cebolla De Bulbo,2020,20
15087,Belén,Zanahoria,2020,27
15087,Belén,Zanahoria,2020,29
15090,Berbeo,Tomate Invernadero,2020,80
15090,Berbeo,Tomate Invernadero,2020,80
15092,Betéitiva,Tomate Invernadero,2020,14
15092,Betéitiva,Cebolla De Bulbo,2020,10
15092,Betéitiva,Cebolla De Bulbo,2020,10
15097,Boavita,Tomate,2020,30
15097,Boavita,Tomate,2020,30
15097,Boavita,Tomate Invernadero,2020,60
15097,Boavita,Tomate Invernadero,2020,60
15104,Boyacá,Pepino Guiso,2020,5
15104,Boyacá,Cebolla De Bulbo,2020,30
15104,Boyacá,Zanahoria,2020,28
