geo,Municipio,Año,Especie,Cantidad
15790,Tasco,2019,Equinos,450
15790,Tasco,2019,Ovinos,1850
15790,Tasco,2019,Bufalos,15
15798,Tenza,2019,Caprinos,54
15798,Tenza,2019,Equinos,80
15798,Tenza,2019,Ovinos,5
15798,Tenza,2019,Bufalos,3
15804,Tibaná,2019,Caprinos,33
15804,Tibaná,2019,Equinos,152
15804,Tibaná,2019,Ovinos,340
15804,Tibaná,2019,Bufalos,4
15806,Tibasosa,2019,Caprinos,210
15806,Tibasosa,2019,Equinos,142
15806,Tibasosa,2019,Ovinos,1020
15806,Tibasosa,2019,Bufalos,5
15808,Tinjacá,2019,Caprinos,15
15808,Tinjacá,2019,Equinos,19
15808,Tinjacá,2019,Ovinos,20
15810,Tipacoque,2019,Caprinos,2340
15810,Tipacoque,2019,Equinos,170
15810,Tipacoque,2019,Ovinos,600
15814,Toca,2019,Caprinos,46
15814,Toca,2019,Equinos,292
15814,Toca,2019,Ovinos,1020
15816,Togüí,2019,Caprinos,16
15816,Togüí,2019,Equinos,1412
15816,Togüí,2019,Ovinos,28
15820,Tópaga,2019,Caprinos,42
15820,Tópaga,2019,Equinos,51
15820,Tópaga,2019,Ovinos,1180
15820,Tópaga,2019,Bufalos,5
15822,Tota,2019,Caprinos,260
15822,Tota,2019,Equinos,680
15822,Tota,2019,Ovinos,5120
15822,Tota,2019,Bufalos,13
15832,Tununguá,2019,Equinos,230
15835,Turmequé,2019,Caprinos,23
15835,Turmequé,2019,Equinos,157
15835,Turmequé,2019,Ovinos,460
15837,Tuta,2019,Caprinos,129
15837,Tuta,2019,Equinos,328
15837,Tuta,2019,Ovinos,636
15837,Tuta,2019,Bufalos,14
15839,Tutazá,2019,Caprinos,27
15839,Tutazá,2019,Equinos,362
15839,Tutazá,2019,Ovinos,137
15839,Tutazá,2019,Bufalos,10
15842,Úmbita,2019,Caprinos,250
15842,Úmbita,2019,Equinos,320
15842,Úmbita,2019,Ovinos,2828
15861,Ventaquemada,2019,Caprinos,38
15861,Ventaquemada,2019,Equinos,207
15861,Ventaquemada,2019,Ovinos,1600
15879,Viracachá,2019,Caprinos,15
15879,Viracachá,2019,Equinos,71
15879,Viracachá,2019,Ovinos,1180
15897,Zetaquirá,2019,Caprinos,10
15897,Zetaquirá,2019,Equinos,110
15897,Zetaquirá,2019,Ovinos,21
15001,Tunja,2020,Equinos,290
15001,Tunja,2020,Caprinos,40
