geo,Municipio,Año,Nivel,Tasa
15798,Tenza,2015,Transición,0.000000
15804,Tibaná,2015,Transición,0.000000
15806,Tibasosa,2015,Transición,0.000000
15808,Tinjacá,2015,Transición,0.000000
15810,Tipacoque,2015,Transición,0.000000
15814,Toca,2015,Transición,0.013300
15816,Togüí,2015,Transición,0.000000
15820,Tópaga,2015,Transición,0.000000
15822,Tota,2015,Transición,0.000000
15832,Tununguá,2015,Transición,0.000000
15835,Turmequé,2015,Transición,0.010100
15837,Tuta,2015,Transición,0.000000
15839,Tutazá,2015,Transición,0.000000
15842,Umbita,2015,Transición,0.000000
15861,Ventaquemada,2015,Transición,0.000000
15879,Viracachá,2015,Transición,0.000000
15897,Zetaquira,2015,Transición,0.000000
15001,Tunja,2015,Primaria,0.040500
15022,Almeida,2015,Primaria,0.036000
15047,Aquitania,2015,Primaria,0.017400
15051,Arcabuco,2015,Primaria,0.000000
15087,Belén,2015,Primaria,0.000000
15090,Berbeo,2015,Primaria,0.000000
15092,Betéitiva,2015,Primaria,0.016100
15097,Boavita,2015,Primaria,0.000000
15104,Boyacá,2015,Primaria,0.002400
15106,Briceño,2015,Primaria,0.000000
15109,Buenavista,2015,Primaria,0.053600
15114,Busbanzá,2015,Primaria,0.000000
15131,Caldas,2015,Primaria,0.017700
15135,Campohermoso,2015,Primaria,0.000000
15162,Cerinza,2015,Primaria,0.003700
15172,Chinavita,2015,Primaria,0.029400
15176,Chiquinquirá,2015,Primaria,0.005700
15180,Chiscas,2015,Primaria,0.000000
15183,Chita,2015,Primaria,0.018100
15185,Chitaraque,2015,Primaria,0.000000
15187,Chivatá,2015,Primaria,0.021800
15189,Ciénega,2015,Primaria,0.010000
15204,Cómbita,2015,Primaria,0.014900
15212,Coper,2015,Primaria,0.003300
15215,Corrales,2015,Primaria,0.000000
15218,Covarachía,2015,Primaria,0.008500
15223,Cubará,2015,Primaria,0.007400
15224,Cucaita,2015,Primaria,0.023300
15226,Cuítiva,2015,Primaria,0.000000
15232,Chíquiza,2015,Primaria,0.000000
15236,Chivor,2015,Primaria,0.070900
15238,Duitama,2015,Primaria,0.058500
15244,El Cocuy,2015,Primaria,0.029400
15248,El Espino,2015,Primaria,0.004700
15272,Firavitoba,2015,Primaria,0.005300
15276,Floresta,2015,Primaria,0.003900
15293,Gachantivá,2015,Primaria,0.000000
15296,Gameza,2015,Primaria,0.000000
15299,Garagoa,2015,Primaria,0.007500
15317,Guacamayas,2015,Primaria,0.000000
15322,Guateque,2015,Primaria,0.000000
15325,Guayatá,2015,Primaria,0.000000
15332,Güicán,2015,Primaria,0.000000
15362,Iza,2015,Primaria,0.006900
15367,Jenesano,2015,Primaria,0.005400
15368,Jericó,2015,Primaria,0.000000
15377,Labranzagrande,2015,Primaria,0.000000
15380,La Capilla,2015,Primaria,0.000000
15401,La Victoria,2015,Primaria,0.019200
15403,La Uvita,2015,Primaria,0.025100
15407,Villa de Leyva,2015,Primaria,0.004700
15425,Macanal,2015,Primaria,0.022800
15442,Maripí,2015,Primaria,0.005700
15455,Miraflores,2015,Primaria,0.003500
15464,Mongua,2015,Primaria,0.011900
15466,Monguí,2015,Primaria,0.002800
15469,Moniquirá,2015,Primaria,0.004600
15476,Motavita,2015,Primaria,0.000000
15480,Muzo,2015,Primaria,0.004800
15491,Nobsa,2015,Primaria,0.004600
15494,Nuevo Colón,2015,Primaria,0.013000
15500,Oicatá,2015,Primaria,0.005300
15507,Otanche,2015,Primaria,0.007800
15511,Pachavita,2015,Primaria,0.021400
15514,Páez,2015,Primaria,0.000000
15516,Paipa,2015,Primaria,0.008900
15518,Pajarito,2015,Primaria,0.043500
15522,Panqueba,2015,Primaria,0.000000
15531,Pauna,2015,Primaria,0.000000
15533,Paya,2015,Primaria,0.029000
15537,Paz de Río,2015,Primaria,0.000000
15542,Pesca,2015,Primaria,0.000000
15550,Pisba,2015,Primaria,0.005300
15572,Puerto Boyacá,2015,Primaria,0.016800
15580,Quípama,2015,Primaria,0.058200
15599,Ramiriquí,2015,Primaria,0.000000
15600,Ráquira,2015,Primaria,0.009400
15621,Rondón,2015,Primaria,0.014100
15632,Saboyá,2015,Primaria,0.008400
15638,Sáchica,2015,Primaria,0.000000
15646,Samacá,2015,Primaria,0.008800
15660,San Eduardo,2015,Primaria,0.023100
15664,San José de Pare,2015,Primaria,0.002800
15667,San Luis de Gaceno,2015,Primaria,0.011000
15673,San Mateo,2015,Primaria,0.015900
15676,San Miguel de Sema,2015,Primaria,0.005900
15681,San Pablo de Borbur,2015,Primaria,0.004500
15686,Santana,2015,Primaria,0.056900
15690,Santa María,2015,Primaria,0.058000
15693,Santa Rosa de Viterbo,2015,Primaria,0.001400
15696,Santa Sofía,2015,Primaria,0.018500
15720,Sativanorte,2015,Primaria,0.000000
15723,Sativasur,2015,Primaria,0.000000
15740,Siachoque,2015,Primaria,0.006700
15753,Soatá,2015,Primaria,0.001500
15755,Socotá,2015,Primaria,0.018800
15757,Socha,2015,Primaria,0.001600
15759,Sogamoso,2015,Primaria,0.026800
15761,Somondoco,2015,Primaria,0.000000
15762,Sora,2015,Primaria,0.020200
15763,Sotaquirá,2015,Primaria,0.004100
15764,Soracá,2015,Primaria,0.022200
15774,Susacón,2015,Primaria,0.000000
15776,Sutamarchán,2015,Primaria,0.006700
15778,Sutatenza,2015,Primaria,0.000000
15790,Tasco,2015,Primaria,0.003600
15798,Tenza,2015,Primaria,0.029100
15804,Tibaná,2015,Primaria,0.015900
15806,Tibasosa,2015,Primaria,0.009100
15808,Tinjacá,2015,Primaria,0.000000
15810,Tipacoque,2015,Primaria,0.015700
15814,Toca,2015,Primaria,0.019300
15816,Togüí,2015,Primaria,0.022100
15820,Tópaga,2015,Primaria,0.000000
15822,Tota,2015,Primaria,0.003900
15832,Tununguá,2015,Primaria,0.000000
15835,Turmequé,2015,Primaria,0.004800
15837,Tuta,2015,Primaria,0.001200
15839,Tutazá,2015,Primaria,0.000000
15842,Umbita,2015,Primaria,0.000000
15861,Ventaquemada,2015,Primaria,0.001600
15879,Viracachá,2015,Primaria,0.000000
15897,Zetaquira,2015,Primaria,0.014800
15001,Tunja,2015,Secundaria,0.000000
15022,Almeida,2015,Secundaria,0.036400
15047,Aquitania,2015,Secundaria,0.057100
15051,Arcabuco,2015,Secundaria,0.000000
15087,Belén,2015,Secundaria,0.001600
15090,Berbeo,2015,Secundaria,0.017700
15092,Betéitiva,2015,Secundaria,0.000000
15097,Boavita,2015,Secundaria,0.002200
15104,Boyacá,2015,Secundaria,0.012800
15106,Briceño,2015,Secundaria,0.000000
15109,Buenavista,2015,Secundaria,0.070900
15114,Busbanzá,2015,Secundaria,0.000000
15131,Caldas,2015,Secundaria,0.004000
15135,Campohermoso,2015,Secundaria,0.005100
15162,Cerinza,2015,Secundaria,0.004200
15172,Chinavita,2015,Secundaria,0.034200
15176,Chiquinquirá,2015,Secundaria,0.008700
15180,Chiscas,2015,Secundaria,0.000000
15183,Chita,2015,Secundaria,0.013600
15185,Chitaraque,2015,Secundaria,0.000000
15187,Chivatá,2015,Secundaria,0.037600
15189,Ciénega,2015,Secundaria,0.011300
15204,Cómbita,2015,Secundaria,0.014800
15212,Coper,2015,Secundaria,0.034200
15215,Corrales,2015,Secundaria,0.000000
15218,Covarachía,2015,Secundaria,0.022900
15223,Cubará,2015,Secundaria,0.000000
15224,Cucaita,2015,Secundaria,0.016200
15226,Cuítiva,2015,Secundaria,0.000000
15232,Chíquiza,2015,Secundaria,0.000000
15236,Chivor,2015,Secundaria,0.078200
15238,Duitama,2015,Secundaria,0.101900
15244,El Cocuy,2015,Secundaria,0.029900
15248,El Espino,2015,Secundaria,0.053900
15272,Firavitoba,2015,Secundaria,0.026100
15276,Floresta,2015,Secundaria,0.004400
15293,Gachantivá,2015,Secundaria,0.000000
