geo,Año,Ciclo,Áreas cosechadas
15218,2019,Permanente,5.000000
15218,2019,Permanente,8.000000
15218,2019,Permanente,6.000000
15218,2019,Permanente,48.000000
15218,2019,Permanente,4.000000
15218,2019,Permanente,6.000000
15218,2019,Transitorio,100.000000
15218,2019,Transitorio,200.000000
15218,2019,Transitorio,5.000000
15218,2019,Transitorio,40.000000
15218,2019,Transitorio,15.000000
15218,2019,Transitorio,90.000000
15218,2019,Transitorio,200.000000
15218,2019,Transitorio,3.000000
15218,2019,Transitorio,20.000000
15218,2019,Transitorio,15.000000
15223,2019,Permanente,16.000000
15223,2019,Permanente,0.000000
15223,2019,Transitorio,15.000000
15223,2019,Transitorio,20.000000
15223,2019,Transitorio,10.000000
15223,2019,Transitorio,18.000000
15224,2019,Permanente,3.000000
15224,2019,Permanente,2.000000
15224,2019,Transitorio,7.000000
15224,2019,Transitorio,20.000000
15224,2019,Transitorio,18.000000
15224,2019,Transitorio,100.000000
15224,2019,Transitorio,4.000000
15224,2019,Transitorio,2.000000
15224,2019,Transitorio,2.000000
15224,2019,Transitorio,200.000000
15224,2019,Transitorio,19.000000
15224,2019,Transitorio,4.000000
15224,2019,Transitorio,12.000000
15224,2019,Transitorio,100.000000
15224,2019,Transitorio,1.000000
15224,2019,Transitorio,2.000000
15224,2019,Transitorio,1.000000
15224,2019,Transitorio,350.000000
15226,2019,Permanente,2.000000
15226,2019,Permanente,1.000000
15226,2019,Permanente,10.000000
15226,2019,Transitorio,5.000000
15226,2019,Transitorio,105.000000
15226,2019,Transitorio,20.000000
15226,2019,Transitorio,3.000000
15226,2019,Transitorio,5.000000
15226,2019,Transitorio,105.000000
15226,2019,Transitorio,20.000000
15226,2019,Transitorio,3.000000
15232,2019,Transitorio,18.000000
15232,2019,Transitorio,90.000000
15232,2019,Transitorio,70.000000
15232,2019,Transitorio,620.000000
15232,2019,Transitorio,35.000000
15232,2019,Transitorio,18.000000
15232,2019,Transitorio,100.000000
15232,2019,Transitorio,85.000000
15232,2019,Transitorio,720.000000
15232,2019,Transitorio,35.000000
15236,2019,Permanente,1.500000
15236,2019,Permanente,3.500000
15236,2019,Permanente,10.000000
15236,2019,Transitorio,5.000000
15236,2019,Transitorio,4.000000
15236,2019,Transitorio,0.300000
15236,2019,Transitorio,5.000000
15236,2019,Transitorio,2.000000
15236,2019,Transitorio,4.000000
15236,2019,Transitorio,3.000000
15236,2019,Transitorio,0.500000
15236,2019,Transitorio,6.000000
15236,2019,Transitorio,1.000000
15238,2019,Permanente,0.000000
15238,2019,Permanente,1.500000
15238,2019,Permanente,24.000000
15238,2019,Permanente,17.000000
15238,2019,Permanente,15.000000
15238,2019,Permanente,0.000000
15238,2019,Permanente,5.000000
15238,2019,Permanente,5.000000
15238,2019,Permanente,10.000000
15238,2019,Permanente,5.000000
15238,2019,Transitorio,33.950000
15238,2019,Transitorio,5.760000
15238,2019,Transitorio,38.800000
15238,2019,Transitorio,5.820000
15238,2019,Transitorio,9.700000
15238,2019,Transitorio,15.520000
15238,2019,Transitorio,9.700000
15238,2019,Transitorio,2.100000
15238,2019,Transitorio,1.940000
15238,2019,Transitorio,14.550000
15238,2019,Transitorio,2.910000
15238,2019,Transitorio,5.760000
15238,2019,Transitorio,38.800000
15238,2019,Transitorio,5.820000
15238,2019,Transitorio,9.700000
15238,2019,Transitorio,15.920000
15238,2019,Transitorio,9.700000
15238,2019,Transitorio,2.100000
15238,2019,Transitorio,1.940000
15238,2019,Transitorio,14.550000
15238,2019,Transitorio,2.910000
15244,2019,Transitorio,10.000000
15244,2019,Transitorio,10.000000
15244,2019,Transitorio,20.000000
15244,2019,Transitorio,12.000000
15244,2019,Transitorio,300.000000
15244,2019,Transitorio,7.000000
15244,2019,Transitorio,16.000000
15244,2019,Transitorio,9.000000
15244,2019,Transitorio,100.000000
15248,2019,Permanente,3.000000
15248,2019,Permanente,2.000000
15248,2019,Permanente,0.000000
15248,2019,Permanente,5.000000
15248,2019,Permanente,3.000000
15248,2019,Transitorio,4.000000
15248,2019,Transitorio,3.000000
15248,2019,Transitorio,5.000000
15248,2019,Transitorio,22.000000
15248,2019,Transitorio,10.000000
15248,2019,Transitorio,22.000000
15248,2019,Transitorio,2.000000
15248,2019,Transitorio,5.000000
15248,2019,Transitorio,2.000000
15248,2019,Transitorio,10.000000
15248,2019,Transitorio,5.000000
15248,2019,Transitorio,7.000000
15272,2019,Permanente,0.000000
15272,2019,Permanente,1.300000
15272,2019,Permanente,0.500000
15272,2019,Permanente,0.000000
15272,2019,Transitorio,35.000000
15272,2019,Transitorio,20.000000
15272,2019,Transitorio,120.000000
15272,2019,Transitorio,7.000000
15272,2019,Transitorio,4.000000
15272,2019,Transitorio,13.000000
15272,2019,Transitorio,80.000000
15272,2019,Transitorio,0.000000
15272,2019,Transitorio,120.000000
15276,2019,Permanente,0.300000
15276,2019,Permanente,4.000000
15276,2019,Permanente,3.000000
15276,2019,Transitorio,89.000000
15276,2019,Transitorio,30.000000
15276,2019,Transitorio,50.000000
15293,2019,Permanente,122.000000
15293,2019,Permanente,12.000000
15293,2019,Transitorio,25.000000
15293,2019,Transitorio,7.000000
15293,2019,Transitorio,65.000000
15293,2019,Transitorio,35.000000
15293,2019,Transitorio,7.000000
15293,2019,Transitorio,50.000000
15296,2019,Transitorio,20.000000
15296,2019,Transitorio,30.000000
15296,2019,Transitorio,400.000000
15296,2019,Transitorio,17.000000
15296,2019,Transitorio,138.000000
15299,2019,Permanente,0.000000
15299,2019,Permanente,0.000000
15299,2019,Permanente,12.000000
15299,2019,Permanente,0.000000
15299,2019,Permanente,2.000000
15299,2019,Permanente,15.000000
15299,2019,Permanente,3.000000
15299,2019,Transitorio,120.000000
15299,2019,Transitorio,5.000000
15299,2019,Transitorio,2.000000
15299,2019,Transitorio,1.500000
15299,2019,Transitorio,5.000000
15299,2019,Transitorio,7.000000
15299,2019,Transitorio,8.500000
15299,2019,Transitorio,7.000000
15299,2019,Transitorio,3.500000
15299,2019,Transitorio,8.000000
15299,2019,Transitorio,9.000000
15299,2019,Transitorio,3.000000
15299,2019,Transitorio,1.500000
15299,2019,Transitorio,3.500000
15299,2019,Transitorio,7.000000
15299,2019,Transitorio,2.000000
15299,2019,Transitorio,3.000000
15299,2019,Transitorio,0.000000
15317,2019,Permanente,9.000000
15317,2019,Transitorio,68.000000
15317,2019,Transitorio,5.000000
15317,2019,Transitorio,2.000000
15317,2019,Transitorio,6.000000
15317,2019,Transitorio,3.000000
15317,2019,Transitorio,7.000000
15317,2019,Transitorio,2.000000
15317,2019,Transitorio,29.000000
15322,2019,Permanente,1.000000
15322,2019,Permanente,0.000000
15322,2019,Permanente,0.000000
15322,2019,Transitorio,1.300000
15322,2019,Transitorio,3.800000
15322,2019,Transitorio,11.000000
15322,2019,Transitorio,3.500000
15322,2019,Transitorio,2.900000
15322,2019,Transitorio,1.000000
15322,2019,Transitorio,1.000000
15322,2019,Transitorio,4.800000
15322,2019,Transitorio,9.500000
15322,2019,Transitorio,1.800000
15322,2019,Transitorio,4.000000
15322,2019,Transitorio,1.000000
15322,2019,Transitorio,1.000000
15325,2019,Permanente,0.000000
15325,2019,Permanente,4.000000
15325,2019,Permanente,0.000000
15325,2019,Permanente,1.000000
15325,2019,Permanente,63.000000
15325,2019,Permanente,6.000000
15325,2019,Permanente,0.000000
15325,2019,Transitorio,37.000000
15325,2019,Transitorio,22.000000
15325,2019,Transitorio,9.000000
15325,2019,Transitorio,20.000000
15325,2019,Transitorio,5.000000
15325,2019,Transitorio,12.000000
15325,2019,Transitorio,15.500000
15325,2019,Transitorio,15.000000
15325,2019,Transitorio,7.500000
15325,2019,Transitorio,1.800000
15332,2019,Permanente,0.000000
15332,2019,Permanente,0.000000
15332,2019,Permanente,0.000000
15332,2019,Permanente,0.000000
15332,2019,Transitorio,42.500000
15332,2019,Transitorio,18.000000
15332,2019,Transitorio,6.000000
15332,2019,Transitorio,9.000000
15332,2019,Transitorio,35.000000
15332,2019,Transitorio,2.000000
15332,2019,Transitorio,17.000000
15332,2019,Transitorio,8.000000
15332,2019,Transitorio,6.000000
15332,2019,Transitorio,41.000000
15332,2019,Transitorio,2.800000
15362,2019,Permanente,7.000000
15362,2019,Permanente,3.000000
15362,2019,Transitorio,5.000000
15362,2019,Transitorio,1.000000
15362,2019,Transitorio,13.000000
15362,2019,Transitorio,4.000000
15367,2019,Permanente,3.000000
15367,2019,Permanente,50.000000
15367,2019,Permanente,50.000000
15367,2019,Permanente,25.000000
15367,2019,Permanente,55.000000
15367,2019,Permanente,5.000000
15367,2019,Permanente,2.000000
15367,2019,Permanente,8.000000
15367,2019,Permanente,25.000000
15367,2019,Permanente,21.000000
15367,2019,Permanente,180.000000
15367,2019,Permanente,45.000000
15367,2019,Permanente,20.000000
15367,2019,Transitorio,25.000000
15367,2019,Transitorio,30.000000
15367,2019,Transitorio,10.000000
15367,2019,Transitorio,8.000000
15367,2019,Transitorio,5.000000
15367,2019,Transitorio,15.000000
15367,2019,Transitorio,350.000000
15367,2019,Transitorio,30.000000
15367,2019,Transitorio,10.000000
15367,2019,Transitorio,10.000000
15367,2019,Transitorio,5.000000
15367,2019,Transitorio,25.000000
15367,2019,Transitorio,280.000000
15368,2019,Permanente,36.000000
15368,2019,Transitorio,9.000000
15368,2019,Transitorio,11.000000
15368,2019,Transitorio,39.000000
15368,2019,Transitorio,2.000000
15368,2019,Transitorio,299.000000
15368,2019,Transitorio,9.000000
15368,2019,Transitorio,11.000000
15368,2019,Transitorio,39.000000
15368,2019,Transitorio,2.000000
15368,2019,Transitorio,199.000000
15377,2019,Permanente,8.000000
15377,2019,Permanente,40.000000
15377,2019,Permanente,4.500000
15377,2019,Permanente,30.000000
15377,2019,Permanente,24.000000
15377,2019,Permanente,25.000000
15377,2019,Transitorio,65.000000
15377,2019,Transitorio,5.000000
15377,2019,Transitorio,8.000000
15377,2019,Transitorio,6.000000
15377,2019,Transitorio,21.000000
15380,2019,Permanente,7.010000
15380,2019,Permanente,78.010000
15380,2019,Transitorio,18.000000
15380,2019,Transitorio,30.000000
15380,2019,Transitorio,30.000000
15380,2019,Transitorio,14.000000
15380,2019,Transitorio,15.000000
15380,2019,Transitorio,2.000000
15380,2019,Transitorio,20.000000
15380,2019,Transitorio,30.000000
15380,2019,Transitorio,7.000000
15380,2019,Transitorio,16.000000
15380,2019,Transitorio,5.000000
15380,2019,Transitorio,10.000000
15380,2019,Transitorio,9.000000
