geo,Año,Alfabetizados,Población,Tasa de analfabetismo
15332,2019,0,527,0.177561
15332,2020,0,527,0.176609
15332,2021,,527,0.174677
15332,2022,,527,0.172844
15332,2023,0,527,0.120155
99999,2019,1333,41702,0.068836
99999,2020,1244,40458,0.066238
99999,2021,839,39619,0.064272
99999,2022,72,39547,0.063600
99999,2023,91,39456,0.048021
15816,2019,11,316,0.100926
15816,2020,0,316,0.100765
15816,2021,,316,0.099874
15816,2022,,316,0.099060
15816,2023,0,316,0.071493
