geo,Municipio,Viviendas,Año
15476,Motavita,0,2022
15476,Motavita,42,2023
15476,Motavita,18,2024
15480,Muzo,327,2020
15480,Muzo,301,2021
15480,Muzo,298,2022
15480,Muzo,252,2023
15480,Muzo,204,2024
15491,Nobsa,131,2020
15491,Nobsa,26,2021
15491,Nobsa,22,2022
15491,Nobsa,0,2023
15491,Nobsa,0,2024
15494,Nuevo Colón,0,2020
15494,Nuevo Colón,0,2021
15494,Nuevo Colón,0,2022
15494,Nuevo Colón,0,2023
15494,Nuevo Colón,0,2024
15500,Oicata,0,2020
15500,Oicata,0,2021
15500,Oicata,0,2022
15500,Oicata,0,2023
15500,Oicata,0,2024
15507,Otanche,607,2020
15507,Otanche,703,2021
15507,Otanche,987,2022
15507,Otanche,1048,2023
15507,Otanche,754,2024
15511,Pachavita,308,2020
15511,Pachavita,302,2021
15511,Pachavita,296,2022
15511,Pachavita,288,2023
15511,Pachavita,266,2024
15514,Páez,373,2020
15514,Páez,383,2021
15514,Páez,392,2022
15514,Páez,408,2023
15514,Páez,421,2024
15516,Paipa,0,2020
15516,Paipa,0,2021
15516,Paipa,0,2022
15516,Paipa,0,2023
15516,Paipa,0,2024
15518,Pajarito,238,2020
15518,Pajarito,234,2021
15518,Pajarito,0,2022
15518,Pajarito,274,2023
15518,Pajarito,258,2024
15522,Panqueba,270,2020
15522,Panqueba,270,2021
15522,Panqueba,273,2022
15522,Panqueba,266,2023
15522,Panqueba,228,2024
15531,Pauna,1663,2020
15531,Pauna,1444,2021
15531,Pauna,1260,2022
15531,Pauna,1253,2023
15531,Pauna,1196,2024
15533,Paya,225,2020
15533,Paya,207,2021
15533,Paya,0,2022
15533,Paya,204,2023
15533,Paya,199,2024
15537,Paz De Río,1205,2020
15537,Paz De Río,1157,2021
15537,Paz De Río,1141,2022
15537,Paz De Río,1216,2023
15537,Paz De Río,1192,2024
15542,Pesca,1023,2020
15542,Pesca,864,2021
15542,Pesca,759,2022
15542,Pesca,1042,2023
15542,Pesca,987,2024
15550,Pisba,470,2020
15550,Pisba,405,2021
15550,Pisba,382,2022
15550,Pisba,377,2023
15550,Pisba,318,2024
15572,Puerto Boyacá,0,2020
15572,Puerto Boyacá,0,2021
15572,Puerto Boyacá,0,2022
15572,Puerto Boyacá,299,2023
15572,Puerto Boyacá,460,2024
15580,Quípama,925,2020
15580,Quípama,902,2021
15580,Quípama,885,2022
15580,Quípama,910,2023
15580,Quípama,926,2024
15599,Ramiriquí,134,2020
15599,Ramiriquí,89,2021
15599,Ramiriquí,54,2022
15599,Ramiriquí,38,2023
15599,Ramiriquí,0,2024
15600,Ráquira,2208,2020
15600,Ráquira,1433,2021
15600,Ráquira,832,2022
15600,Ráquira,2199,2023
15600,Ráquira,2140,2024
15621,Rondón,728,2020
15621,Rondón,740,2021
15621,Rondón,721,2022
15621,Rondón,707,2023
15621,Rondón,712,2024
15632,Saboyá,1107,2020
15632,Saboyá,1029,2021
15632,Saboyá,970,2022
15632,Saboyá,951,2023
15632,Saboyá,859,2024
15638,Sáchica,268,2020
15638,Sáchica,183,2021
15638,Sáchica,68,2022
15638,Sáchica,1,2023
15638,Sáchica,0,2024
15646,Samacá,0,2020
15646,Samacá,0,2021
15646,Samacá,0,2022
15646,Samacá,0,2023
15646,Samacá,0,2024
15660,San Eduardo,0,2020
15660,San Eduardo,0,2021
15660,San Eduardo,0,2022
15660,San Eduardo,0,2023
15660,San Eduardo,0,2024
15664,San José De Pare,50,2020
15664,San José De Pare,21,2021
15664,San José De Pare,0,2022
15664,San José De Pare,0,2023
15664,San José De Pare,0,2024
15667,San Luis De Gaceno,526,2020
15667,San Luis De Gaceno,518,2021
15667,San Luis De Gaceno,525,2022
15667,San Luis De Gaceno,434,2023
15667,San Luis De Gaceno,442,2024
15673,San Mateo,370,2020
15673,San Mateo,350,2021
15673,San Mateo,349,2022
15673,San Mateo,308,2023
15673,San Mateo,289,2024
15676,San Miguel De Sema,24,2020
15676,San Miguel De Sema,0,2021
15676,San Miguel De Sema,0,2022
15676,San Miguel De Sema,0,2023
15676,San Miguel De Sema,0,2024
15681,San Pablo De Borbur,750,2020
15681,San Pablo De Borbur,734,2021
15681,San Pablo De Borbur,705,2022
15681,San Pablo De Borbur,670,2023
15681,San Pablo De Borbur,611,2024
15686,Santana,0,2020
15686,Santana,0,2021
15686,Santana,0,2022
15686,Santana,0,2023
15686,Santana,0,2024
15690,Santa María,190,2020
15690,Santa María,139,2021
15690,Santa María,115,2022
15690,Santa María,84,2023
15690,Santa María,94,2024
15693,Santa Rosa De Viterbo,0,2020
15693,Santa Rosa De Viterbo,0,2021
15693,Santa Rosa De Viterbo,0,2022
15693,Santa Rosa De Viterbo,787,2023
15693,Santa Rosa De Viterbo,774,2024
15696,Santa Sofía,352,2020
15696,Santa Sofía,328,2021
15696,Santa Sofía,297,2022
15696,Santa Sofía,246,2023
15696,Santa Sofía,197,2024
15720,Sativanorte,682,2020
15720,Sativanorte,700,2021
15720,Sativanorte,723,2022
15720,Sativanorte,739,2023
15720,Sativanorte,751,2024
15723,Sativasur,0,2020
15723,Sativasur,0,2021
15723,Sativasur,0,2022
15723,Sativasur,0,2023
15723,Sativasur,0,2024
15740,Siachoque,166,2020
15740,Siachoque,148,2021
15740,Siachoque,141,2022
15740,Siachoque,136,2023
15740,Siachoque,14,2024
15753,Soatá,685,2020
15753,Soatá,674,2021
15753,Soatá,677,2022
15753,Soatá,536,2023
15753,Soatá,456,2024
15755,Socotá,1727,2020
15755,Socotá,1682,2021
15755,Socotá,1682,2022
15755,Socotá,1649,2023
15755,Socotá,1610,2024
15757,Socha,802,2020
15757,Socha,756,2021
15757,Socha,729,2022
15757,Socha,635,2023
15757,Socha,519,2024
15759,Sogamoso,0,2020
15759,Sogamoso,0,2021
15759,Sogamoso,0,2022
15759,Sogamoso,0,2023
15759,Sogamoso,0,2024
15761,Somondoco,183,2020
15761,Somondoco,180,2021
15761,Somondoco,179,2022
