geo,Municipio,Cultivo,Año,Rendimiento
15837,Tuta,Arveja,2019,0
15837,Tuta,Arveja,2019,0
15839,Tutazá,Arveja,2019,1
15839,Tutazá,Arveja,2019,1
15839,Tutazá,Frijol,2019,1
15839,Tutazá,Frijol,2019,0
15839,Tutazá,Haba,2019,2
15839,Tutazá,Haba,2019,2
15842,Úmbita,Arveja,2019,0
15842,Úmbita,Arveja,2019,0
15842,Úmbita,Frijol,2019,1
15842,Úmbita,Frijol,2019,1
15842,Úmbita,Haba,2019,1
15861,Ventaquemada,Arveja,2019,1
15861,Ventaquemada,Arveja,2019,1
15861,Ventaquemada,Frijol,2019,1
15861,Ventaquemada,Frijol,2019,1
15879,Viracachá,Arveja,2019,1
15879,Viracachá,Arveja,2019,1
15897,Zetaquirá,Frijol,2019,2
15001,Tunja,Arveja,2020,2
15001,Tunja,Arveja,2020,2
15022,Almeida,Arveja,2020,2
15022,Almeida,Arveja,2020,2
15022,Almeida,Frijol,2020,1
15047,Aquitania,Arveja,2020,2
15047,Aquitania,Arveja,2020,1
15051,Arcabuco,Arveja,2020,1
15051,Arcabuco,Arveja,2020,1
15051,Arcabuco,Frijol,2020,1
15051,Arcabuco,Frijol,2020,1
15087,Belén,Arveja,2020,1
15087,Belén,Arveja,2020,1
15087,Belén,Frijol,2020,0
15087,Belén,Frijol,2020,1
15087,Belén,Haba,2020,0
15087,Belén,Haba,2020,0
15090,Berbeo,Frijol,2020,0
15090,Berbeo,Frijol,2020,0
15092,Betéitiva,Arveja,2020,0
15092,Betéitiva,Arveja,2020,0
15092,Betéitiva,Frijol,2020,1
15092,Betéitiva,Haba,2020,1
15097,Boavita,Arveja,2020,1
15097,Boavita,Arveja,2020,1
15097,Boavita,Frijol,2020,1
15097,Boavita,Frijol,2020,1
15104,Boyacá,Arveja,2020,1
15106,Briceño,Frijol,2020,0
15106,Briceño,Frijol,2020,0
15109,Buenavista,Arveja,2020,2
15109,Buenavista,Arveja,2020,2
15109,Buenavista,Frijol,2020,1
15109,Buenavista,Frijol,2020,1
15109,Buenavista,Habichuela,2020,9
15109,Buenavista,Habichuela,2020,8
15114,Busbanzá,Arveja,2020,0
15114,Busbanzá,Frijol,2020,0
15131,Caldas,Arveja,2020,1
15131,Caldas,Arveja,2020,1
15131,Caldas,Frijol,2020,0
15131,Caldas,Frijol,2020,0
15135,Campohermoso,Frijol,2020,0
15135,Campohermoso,Frijol,2020,1
15162,Cerinza,Arveja,2020,1
15162,Cerinza,Arveja,2020,1
15172,Chinavita,Arveja,2020,1
15172,Chinavita,Arveja,2020,1
15172,Chinavita,Frijol,2020,1
15172,Chinavita,Frijol,2020,1
15172,Chinavita,Habichuela,2020,8
15172,Chinavita,Habichuela,2020,8
15176,Chiquinquirá,Arveja,2020,0
15176,Chiquinquirá,Arveja,2020,0
15176,Chiquinquirá,Frijol,2020,0
15176,Chiquinquirá,Frijol,2020,0
