geo,Año,Género,Número
15368,2019,Mujer,0.000000
15377,2021,Hombre,1.000000
15377,2021,Mujer,0.000000
15380,2020,Hombre,1.000000
15380,2020,Mujer,0.000000
15407,2019,Hombre,1.000000
15407,2019,Mujer,0.000000
15455,2019,Hombre,1.000000
15455,2019,Mujer,0.000000
15455,2020,Hombre,0.000000
15455,2020,Mujer,1.000000
15464,2021,Hombre,0.000000
15464,2021,Mujer,1.000000
15469,2019,Hombre,2.000000
15469,2019,Mujer,0.000000
15469,2021,Hombre,2.000000
15469,2021,Mujer,0.000000
15476,2021,Hombre,2.000000
15476,2021,Mujer,0.000000
15491,2020,Hombre,0.000000
15491,2020,Mujer,1.000000
15494,2020,Hombre,2.000000
15494,2020,Mujer,0.000000
15494,2021,Hombre,0.000000
15494,2021,Mujer,1.000000
15507,2021,Hombre,1.000000
15507,2021,Mujer,0.000000
15514,2019,Hombre,1.000000
15514,2019,Mujer,0.000000
15516,2019,Hombre,2.000000
15516,2019,Mujer,1.000000
15516,2020,Hombre,2.000000
15516,2020,Mujer,0.000000
15516,2021,Hombre,1.000000
15516,2021,Mujer,0.000000
15518,2019,Hombre,1.000000
15518,2019,Mujer,0.000000
15531,2019,Hombre,1.000000
15531,2019,Mujer,0.000000
15531,2021,Hombre,1.000000
15531,2021,Mujer,0.000000
15542,2019,Hombre,1.000000
15542,2019,Mujer,0.000000
15542,2021,Hombre,0.000000
15542,2021,Mujer,1.000000
15550,2021,Hombre,1.000000
15550,2021,Mujer,0.000000
15572,2019,Hombre,2.000000
15572,2019,Mujer,0.000000
15572,2020,Hombre,5.000000
15572,2020,Mujer,1.000000
15572,2021,Hombre,2.000000
15572,2021,Mujer,0.000000
15580,2020,Hombre,1.000000
15580,2020,Mujer,0.000000
15599,2019,Hombre,1.000000
15599,2019,Mujer,0.000000
15599,2020,Hombre,1.000000
15599,2020,Mujer,0.000000
15600,2021,Hombre,2.000000
15600,2021,Mujer,0.000000
15621,2021,Hombre,1.000000
15621,2021,Mujer,0.000000
15632,2020,Hombre,2.000000
15632,2020,Mujer,0.000000
15632,2021,Hombre,1.000000
15632,2021,Mujer,0.000000
15638,2021,Hombre,1.000000
15638,2021,Mujer,0.000000
15646,2019,Hombre,1.000000
15646,2019,Mujer,1.000000
15646,2021,Hombre,1.000000
15646,2021,Mujer,0.000000
15664,2021,Hombre,1.000000
15664,2021,Mujer,0.000000
15667,2020,Hombre,1.000000
15667,2020,Mujer,0.000000
15681,2020,Hombre,0.000000
15681,2020,Mujer,1.000000
15686,2019,Hombre,1.000000
15686,2019,Mujer,0.000000
15690,2020,Hombre,0.000000
15690,2020,Mujer,1.000000
15693,2020,Hombre,2.000000
15693,2020,Mujer,0.000000
15720,2019,Hombre,1.000000
15720,2019,Mujer,0.000000
15753,2019,Hombre,2.000000
15753,2019,Mujer,0.000000
15755,2020,Hombre,1.000000
15755,2020,Mujer,0.000000
15757,2020,Hombre,1.000000
15757,2020,Mujer,0.000000
15759,2019,Hombre,6.000000
15759,2019,Mujer,1.000000
15759,2020,Hombre,1.000000
15759,2020,Mujer,1.000000
15759,2021,Hombre,3.000000
15759,2021,Mujer,6.000000
15761,2021,Hombre,1.000000
15761,2021,Mujer,0.000000
15763,2019,Hombre,0.000000
15763,2019,Mujer,1.000000
15763,2021,Hombre,1.000000
15763,2021,Mujer,1.000000
15764,2019,Hombre,1.000000
15764,2019,Mujer,0.000000
