Año,geo,Sexo,Casos
2020,15299,Hombre,0
2020,15367,Hombre,1
2020,15368,Hombre,1
2020,15377,Hombre,1
2020,15455,Hombre,1
2020,15464,Hombre,0
2020,15476,Hombre,1
2020,15491,Hombre,1
2020,15494,Hombre,0
2020,15500,Hombre,0
2020,15507,Hombre,1
2020,15516,Hombre,3
2020,15542,Hombre,0
2020,15572,Hombre,2
2020,15646,Hombre,1
2020,15660,Hombre,1
2020,15667,Hombre,1
2020,15681,Hombre,0
2020,15686,Hombre,1
2020,15740,Hombre,0
2020,15757,Hombre,1
2020,15755,Hombre,0
2020,15759,Hombre,18
2020,15764,Hombre,0
2020,15763,Hombre,1
2020,15778,Hombre,0
2020,15814,Hombre,1
2020,15820,Hombre,0
2020,15001,Hombre,38
2020,15832,Hombre,0
2020,15837,Hombre,0
2020,15842,Hombre,0
2020,15407,Hombre,0
2020,15897,Hombre,0
2021,15047,Hombre,0
2021,15087,Hombre,0
2021,15176,Hombre,5
2021,15187,Hombre,0
2021,15204,Hombre,2
2021,15223,Hombre,0
2021,15224,Hombre,0
2021,15226,Hombre,0
2021,15238,Hombre,6
2021,15272,Hombre,1
2021,15299,Hombre,1
2021,15322,Hombre,0
2021,15455,Hombre,0
2021,15469,Hombre,0
2021,15491,Hombre,0
2021,15500,Hombre,0
2021,15507,Hombre,0
2021,15516,Hombre,3
2021,15531,Hombre,0
2021,15542,Hombre,0
2021,15572,Hombre,4
2021,15580,Hombre,0
2021,15599,Hombre,1
2021,15632,Hombre,0
2021,15646,Hombre,0
2021,15664,Hombre,1
2021,15693,Hombre,0
2021,15696,Hombre,0
2021,15720,Hombre,0
2021,15759,Hombre,12
2021,15764,Hombre,1
2021,15778,Hombre,1
2021,15790,Hombre,0
2021,15804,Hombre,0
2021,15814,Hombre,0
2021,15001,Hombre,36
2021,15832,Hombre,0
2021,15835,Hombre,0
2021,15839,Hombre,0
2021,15861,Hombre,0
2021,15407,Hombre,0
2021,15897,Hombre,0
2015,15001,Mujer,206
2015,15022,Mujer,1
2015,15047,Mujer,2
2015,15087,Mujer,3
2015,15162,Mujer,1
2015,15172,Mujer,0
2015,15176,Mujer,35
2015,15185,Mujer,1
2015,15189,Mujer,1
2015,15204,Mujer,1
2015,15215,Mujer,1
2015,15226,Mujer,1
2015,15232,Mujer,1
2015,15236,Mujer,2
2015,15238,Mujer,112
2015,15272,Mujer,1
2015,15293,Mujer,1
2015,15296,Mujer,2
2015,15299,Mujer,10
2015,15407,Mujer,0
2015,15425,Mujer,2
2015,15442,Mujer,1
2015,15469,Mujer,6
2015,15491,Mujer,9
2015,15494,Mujer,1
2015,15511,Mujer,1
2015,15516,Mujer,8
2015,15531,Mujer,4
2015,15542,Mujer,2
2015,15572,Mujer,46
2015,15580,Mujer,1
2015,15599,Mujer,3
2015,15600,Mujer,1
2015,15638,Mujer,2
2015,15646,Mujer,6
2015,15660,Mujer,1
2015,15681,Mujer,2
2015,15686,Mujer,7
2015,15693,Mujer,3
2015,15696,Mujer,1
2015,15753,Mujer,1
2015,15755,Mujer,3
2015,15759,Mujer,171
2015,15762,Mujer,1
2015,15763,Mujer,1
2015,15764,Mujer,1
2015,15776,Mujer,2
2015,15778,Mujer,2
2015,15806,Mujer,6
2015,15808,Mujer,2
2015,15816,Mujer,1
2015,15820,Mujer,1
2015,15835,Mujer,0
2015,15837,Mujer,4
2015,15842,Mujer,1
2015,15861,Mujer,1
2015,15879,Mujer,1
2016,15001,Mujer,222
2016,15022,Mujer,2
2016,15047,Mujer,6
2016,15087,Mujer,1
2016,15092,Mujer,1
2016,15104,Mujer,3
2016,15131,Mujer,1
2016,15172,Mujer,1
2016,15176,Mujer,32
2016,15183,Mujer,1
2016,15189,Mujer,1
2016,15204,Mujer,4
2016,15223,Mujer,2
2016,15226,Mujer,1
2016,15232,Mujer,1
2016,15238,Mujer,98
2016,15272,Mujer,2
2016,15296,Mujer,2
2016,15299,Mujer,17
2016,15332,Mujer,1
2016,15380,Mujer,1
2016,15407,Mujer,3
2016,15425,Mujer,1
2016,15455,Mujer,1
2016,15464,Mujer,1
2016,15466,Mujer,1
2016,15469,Mujer,5
2016,15476,Mujer,2
2016,15491,Mujer,7
2016,15494,Mujer,1
2016,15500,Mujer,2
2016,15514,Mujer,1
2016,15516,Mujer,2
2016,15531,Mujer,1
2016,15542,Mujer,4
2016,15572,Mujer,41
2016,15580,Mujer,3
2016,15599,Mujer,1
2016,15600,Mujer,9
2016,15632,Mujer,1
2016,15638,Mujer,4
2016,15646,Mujer,4
2016,15660,Mujer,1
2016,15664,Mujer,1
2016,15681,Mujer,1
2016,15686,Mujer,6
2016,15693,Mujer,2
2016,15720,Mujer,1
2016,15740,Mujer,1
2016,15755,Mujer,4
2016,15759,Mujer,201
2016,15762,Mujer,1
2016,15763,Mujer,3
2016,15764,Mujer,7
2016,15776,Mujer,1
2016,15790,Mujer,1
2016,15806,Mujer,3
2016,15808,Mujer,3
2016,15814,Mujer,2
2016,15816,Mujer,1
2016,15820,Mujer,1
2016,15822,Mujer,1
2016,15835,Mujer,1
2016,15861,Mujer,1
2017,15001,Mujer,255
2017,15047,Mujer,2
2017,15097,Mujer,1
2017,15104,Mujer,1
2017,15162,Mujer,3
2017,15176,Mujer,60
2017,15204,Mujer,3
2017,15215,Mujer,1
2017,15223,Mujer,3
2017,15224,Mujer,3
2017,15232,Mujer,0
2017,15238,Mujer,114
2017,15272,Mujer,2
2017,15276,Mujer,1
2017,15296,Mujer,1
2017,15299,Mujer,8
2017,15325,Mujer,1
2017,15362,Mujer,2
2017,15455,Mujer,1
2017,15469,Mujer,7
2017,15476,Mujer,5
2017,15491,Mujer,7
2017,15514,Mujer,1
2017,15516,Mujer,9
2017,15518,Mujer,1
2017,15542,Mujer,6
2017,15572,Mujer,27
2017,15580,Mujer,2
2017,15600,Mujer,1
2017,15632,Mujer,2
2017,15646,Mujer,2
2017,15660,Mujer,2
2017,15664,Mujer,2
2017,15681,Mujer,4
2017,15686,Mujer,1
2017,15693,Mujer,2
2017,15696,Mujer,1
2017,15740,Mujer,6
2017,15753,Mujer,1
2017,15755,Mujer,4
2017,15757,Mujer,3
2017,15759,Mujer,151
2017,15763,Mujer,2
2017,15764,Mujer,5
2017,15790,Mujer,0
