geo,Municipio,Cultivo,Año,Producción(tn)
15236,Chivor,Papa todas las variedades,2019,102
15236,Chivor,Yuca consumo en fresco,2019,40
15236,Chivor,Yuca consumo en fresco,2019,17
15238,Duitama,Papa Criolla,2019,46
15238,Duitama,Papa Criolla,2019,46
15238,Duitama,Papa todas las variedades,2019,261
15238,Duitama,Papa todas las variedades,2019,261
15244,El Cocuy,Papa todas las variedades,2019,2700
15244,El Cocuy,Papa todas las variedades,2019,950
15248,El Espino,Papa todas las variedades,2019,160
15248,El Espino,Papa todas las variedades,2019,50
15272,Firavitoba,Papa todas las variedades,2019,2400
15272,Firavitoba,Papa todas las variedades,2019,2400
15276,Floresta,Papa todas las variedades,2019,500
15293,Gachantivá,Arracacha,2019,105
15293,Gachantivá,Papa todas las variedades,2019,1300
15293,Gachantivá,Papa todas las variedades,2019,1200
15293,Gachantivá,Yuca consumo en fresco,2019,350
15296,Gámeza,Papa todas las variedades,2019,4800
15296,Gámeza,Papa todas las variedades,2019,1656
15299,Garagoa,Arracacha,2019,28
15299,Garagoa,Arracacha,2019,8
15299,Garagoa,Papa todas las variedades,2019,21
15299,Garagoa,Papa todas las variedades,2019,18
15299,Garagoa,Yuca consumo en fresco,2019,16
15317,Guacamayas,Papa todas las variedades,2019,36
15317,Guacamayas,Papa todas las variedades,2019,290
15322,Guateque,Arracacha,2019,3
15322,Guateque,Arracacha,2019,3
15322,Guateque,Yuca consumo en fresco,2019,10
15322,Guateque,Yuca consumo en fresco,2019,10
15325,Guayatá,Achira,2019,24
15325,Guayatá,Achira,2019,3
15332,Güicán,Papa Criolla,2019,18
15332,Güicán,Papa Criolla,2019,25
15332,Güicán,Papa todas las variedades,2019,420
15332,Güicán,Papa todas las variedades,2019,492
15362,Iza,Papa todas las variedades,2019,195
15367,Jenesano,Arracacha,2019,120
15367,Jenesano,Arracacha,2019,200
15367,Jenesano,Papa todas las variedades,2019,5425
15367,Jenesano,Papa todas las variedades,2019,4200
15368,Jericó,Papa todas las variedades,2019,4784
15368,Jericó,Papa todas las variedades,2019,3980
15377,Labranzagrande,Arracacha,2019,22
15377,Labranzagrande,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2019,94
15377,Labranzagrande,Papa todas las variedades,2019,56
15377,Labranzagrande,Yuca consumo en fresco,2019,163
15380,La Capilla,Arracacha,2019,240
15401,La Victoria,Yuca consumo en fresco,2019,70
15401,La Victoria,Yuca consumo en fresco,2019,96
15403,La Uvita,Arracacha,2019,10
15403,La Uvita,Papa Criolla,2019,6
15403,La Uvita,Papa Criolla,2019,33
15403,La Uvita,Papa todas las variedades,2019,252
15403,La Uvita,Papa todas las variedades,2019,150
15403,La Uvita,Yuca consumo en fresco,2019,5
15407,Villa de Leiva,Papa todas las variedades,2019,3900
15407,Villa de Leiva,Papa todas las variedades,2019,4818
15425,Macanal,Arracacha,2019,60
15425,Macanal,Arracacha,2019,9
15425,Macanal,Papa Criolla,2019,16
15425,Macanal,Papa todas las variedades,2019,72
15425,Macanal,Papa todas las variedades,2019,39
15425,Macanal,Yuca consumo en fresco,2019,440
15442,Maripí,Papa todas las variedades,2019,194
15442,Maripí,Papa todas las variedades,2019,176
15442,Maripí,Yuca consumo en fresco,2019,5622
15455,Miraflores,Arracacha,2019,48
15455,Miraflores,Arracacha,2019,48
15455,Miraflores,Yuca consumo en fresco,2019,560
15455,Miraflores,Yuca consumo en fresco,2019,560
15464,Mongua,Papa todas las variedades,2019,2400
15464,Mongua,Papa todas las variedades,2019,504
15466,Monguí,Nabo,2019,40
15466,Monguí,Nabo,2019,40
15466,Monguí,Papa Criolla,2019,100
15466,Monguí,Papa Criolla,2019,200
15466,Monguí,Papa todas las variedades,2019,800
15466,Monguí,Papa todas las variedades,2019,800
15469,Moniquirá,Yuca consumo en fresco,2019,2250
15469,Moniquirá,Yuca consumo en fresco,2019,2250
15476,Motavita,Papa Criolla,2019,105
15476,Motavita,Papa todas las variedades,2019,20930
15476,Motavita,Papa todas las variedades,2019,8050
15480,Muzo,Yuca consumo en fresco,2019,675
15480,Muzo,Yuca consumo en fresco,2019,600
15491,Nobsa,Papa todas las variedades,2019,2080
15491,Nobsa,Papa todas las variedades,2019,1302
15494,Nuevo Colón,Arracacha,2019,324
15494,Nuevo Colón,Papa todas las variedades,2019,2184
15494,Nuevo Colón,Papa todas las variedades,2019,2520
15500,Oicatá,Papa todas las variedades,2019,2117
15500,Oicatá,Papa todas las variedades,2019,2082
15507,Otanche,Yuca consumo en fresco,2019,698
15507,Otanche,Yuca consumo en fresco,2019,300
15511,Pachavita,Arracacha,2019,40
