geo,Municipio,Año,Puntaje
15757,SOCHA,2018,61.757346
15759,SOGAMOSO,2018,54.914116
15761,SOMONDOCO,2018,52.927777
15762,SORA,2018,44.452431
15763,SOTAQUIRA,2018,58.587030
15764,SORACA,2018,39.246522
15774,SUSACON,2018,56.774655
15776,SUTAMARCHAN,2018,53.530045
15778,SUTATENZA,2018,52.431098
15790,TASCO,2018,56.616554
15798,TENZA,2018,52.905165
15804,TIBANA,2018,71.413437
15806,TIBASOSA,2018,51.224176
15808,TINJACA,2018,48.125787
15810,TIPACOQUE,2018,54.440965
15814,TOCA,2018,50.982165
15816,TOGUI,2018,52.826595
15820,TOPAGA,2018,56.435321
15822,TOTA,2018,44.977497
15832,TUNUNGUA,2018,53.235285
15835,TURMEQUE,2018,51.492271
15837,TUTA,2018,52.912367
15839,TUTASA,2018,49.755805
15842,UMBITA,2018,47.399516
15861,VENTAQUEMADA,2018,63.951278
15879,VIRACACHA,2018,55.567842
15897,ZETAQUIRA,2018,59.817611
15001,TUNJA,2019,73.026593
15022,ALMEIDA,2019,55.443651
15047,AQUITANIA,2019,50.182570
15051,ARCABUCO,2019,54.178663
15087,BELEN,2019,57.700710
15090,BERBEO,2019,56.669580
15092,BETEITIVA,2019,52.033437
15097,BOAVITA,2019,54.627357
15104,BOYACA,2019,57.676733
15106,BRICEÐO,2019,52.335072
15109,BUENAVISTA,2019,54.738479
15114,BUSBANZA,2019,59.566543
15131,CALDAS,2019,54.191565
15135,CAMPOHERMOSO,2019,60.282610
15162,CERINZA,2019,46.615427
15172,CHINAVITA,2019,61.891856
15176,CHIQUINQUIRA,2019,66.422386
15180,CHISCAS,2019,54.887497
15183,CHITA,2019,57.500801
15185,CHITARAQUE,2019,43.675675
15187,CHIVATA,2019,65.507627
15189,CIENAGA,2019,62.074862
15204,COMBITA,2019,53.263439
15212,COPER,2019,50.644474
15215,CORRALES,2019,60.485619
15218,COVARACHIA,2019,47.488805
15223,CUBARA,2019,50.496673
15224,CUCAITA,2019,61.582772
15226,CUITIVA,2019,61.519561
15232,CHIQUIZA,2019,54.858051
15236,CHIVOR,2019,58.421624
15238,DUITAMA,2019,63.456998
15244,EL COCUY,2019,61.723999
15248,EL ESPINO,2019,48.160549
15272,FIRAVITOBA,2019,54.463935
15276,FLORESTA,2019,52.662745
15293,GACHANTIVA,2019,61.759397
15296,GAMEZA,2019,48.038374
15299,GARAGOA,2019,55.017859
15317,GUACAMAYAS,2019,53.940621
15322,GUATEQUE,2019,67.137116
15325,GUAYATA,2019,60.170090
15332,GUICAN,2019,54.760327
15362,IZA,2019,61.604032
15367,JENESANO,2019,67.816403
