Indicador,geo,Area,Periodo,Valor
Cobertura bruta de educación (media),15236,Chivor,2016,1.029000
Cobertura bruta de educación (media),15189,Ciénega,2016,1.091000
Cobertura bruta de educación (media),15204,Cómbita,2016,0.677000
Cobertura bruta de educación (media),15212,Coper,2016,0.782000
Cobertura bruta de educación (media),15215,Corrales,2016,1.100000
Cobertura bruta de educación (media),15218,Covarachía,2016,0.652000
Cobertura bruta de educación (media),15223,Cubará,2016,0.532000
Cobertura bruta de educación (media),15224,Cucaita,2016,0.724000
Cobertura bruta de educación (media),15226,Cuítiva,2016,0.600000
Cobertura bruta de educación (media),15244,El Cocuy,2016,0.743000
Cobertura bruta de educación (media),15248,El Espino,2016,0.882000
Cobertura bruta de educación (media),15272,Firavitoba,2016,0.834000
Cobertura bruta de educación (media),15276,Floresta,2016,0.824000
Cobertura bruta de educación (media),15293,Gachantivá,2016,1.190000
Cobertura bruta de educación (media),15296,Gámeza,2016,0.680000
Cobertura bruta de educación (media),15299,Garagoa,2016,0.791000
Cobertura bruta de educación (media),15317,Guacamayas,2016,0.796000
Cobertura bruta de educación (media),15322,Guateque,2016,1.290000
Cobertura bruta de educación (media),15325,Guayatá,2016,0.548000
Cobertura bruta de educación (media),15325,Guicán,2016,0.409000
Cobertura bruta de educación (media),15362,Iza,2016,0.385000
Cobertura bruta de educación (media),15367,Jenesano,2016,0.800000
Cobertura bruta de educación (media),15368,Jericó,2016,0.692000
Cobertura bruta de educación (media),15380,La Capilla,2016,0.882000
Cobertura bruta de educación (media),15403,La Uvita,2016,0.896000
Cobertura bruta de educación (media),15401,La Victoria,2016,0.383000
Cobertura bruta de educación (media),15377,Labranzagrande,2016,0.464000
Cobertura bruta de educación (media),15425,Macanal,2016,0.778000
Cobertura bruta de educación (media),15442,Maripí,2016,0.702000
Cobertura bruta de educación (media),15455,Miraflores,2016,0.838000
Cobertura bruta de educación (media),15464,Mongua,2016,0.688000
Cobertura bruta de educación (media),15466,Monguí,2016,0.937000
Cobertura bruta de educación (media),15469,Moniquirá,2016,0.833000
Cobertura bruta de educación (media),15476,Motavita,2016,0.554000
Cobertura bruta de educación (media),15480,Muzo,2016,0.801000
