Año,geo,Municipio,Porcentaje,Categoria
2005,15368,JERICÓ,0.455807,Centros poblados y rural disperso
2005,15377,LABRANZAGRANDE,0.394258,Centros poblados y rural disperso
2005,15380,LA CAPILLA,0.079668,Centros poblados y rural disperso
2005,15401,LA VICTORIA,0.214440,Centros poblados y rural disperso
2005,15403,LA UVITA,0.293541,Centros poblados y rural disperso
2005,15407,VILLA DE LEYVA,0.093285,Centros poblados y rural disperso
2005,15425,MACANAL,0.115787,Centros poblados y rural disperso
2005,15442,MARIPÍ,0.190308,Centros poblados y rural disperso
2005,15455,MIRAFLORES,0.068052,Centros poblados y rural disperso
2005,15464,MONGUA,0.281175,Centros poblados y rural disperso
2005,15466,MONGUÍ,0.137560,Centros poblados y rural disperso
2005,15469,MONIQUIRÁ,0.144487,Centros poblados y rural disperso
2005,15476,MOTAVITA,0.149020,Centros poblados y rural disperso
2005,15480,MUZO,0.261506,Centros poblados y rural disperso
2005,15491,NOBSA,0.023362,Centros poblados y rural disperso
2005,15494,NUEVO COLÓN,0.095065,Centros poblados y rural disperso
2005,15500,OICATÁ,0.174507,Centros poblados y rural disperso
2005,15507,OTANCHE,0.255149,Centros poblados y rural disperso
2005,15511,PACHAVITA,0.118395,Centros poblados y rural disperso
2005,15514,PÁEZ,0.191267,Centros poblados y rural disperso
2005,15516,PAIPA,0.049754,Centros poblados y rural disperso
2005,15518,PAJARITO,0.175561,Centros poblados y rural disperso
2005,15522,PANQUEBA,0.328708,Centros poblados y rural disperso
2005,15531,PAUNA,0.337696,Centros poblados y rural disperso
2005,15533,PAYA,0.595602,Centros poblados y rural disperso
2005,15537,PAZ DE RÍO,0.163601,Centros poblados y rural disperso
2005,15542,PESCA,0.236969,Centros poblados y rural disperso
2005,15550,PISBA,0.420315,Centros poblados y rural disperso
2005,15572,PUERTO BOYACÁ,0.268861,Centros poblados y rural disperso
2005,15580,QUÍPAMA,0.250995,Centros poblados y rural disperso
2005,15599,RAMIRIQUÍ,0.236970,Centros poblados y rural disperso
2005,15600,RÁQUIRA,0.277421,Centros poblados y rural disperso
2005,15621,RONDÓN,0.119605,Centros poblados y rural disperso
2005,15632,SABOYÁ,0.200506,Centros poblados y rural disperso
2005,15638,SÁCHICA,0.325817,Centros poblados y rural disperso
2005,15646,SAMACÁ,0.083469,Centros poblados y rural disperso
2005,15660,SAN EDUARDO,0.095486,Centros poblados y rural disperso
2005,15664,SAN JOSÉ DE PARE,0.216540,Centros poblados y rural disperso
2005,15667,SAN LUIS DE GACENO,0.139472,Centros poblados y rural disperso
2005,15673,SAN MATEO,0.322663,Centros poblados y rural disperso
2005,15676,SAN MIGUEL DE SEMA,0.074782,Centros poblados y rural disperso
2005,15681,SAN PABLO DE BORBUR,0.162612,Centros poblados y rural disperso
2005,15686,SANTANA,0.170426,Centros poblados y rural disperso
2005,15690,SANTA MARÍA,0.145792,Centros poblados y rural disperso
2005,15693,SANTA ROSA DE VITERBO,0.087022,Centros poblados y rural disperso
2005,15696,SANTA SOFÍA,0.111358,Centros poblados y rural disperso
2005,15720,SATIVANORTE,0.291887,Centros poblados y rural disperso
2005,15723,SATIVASUR,0.188259,Centros poblados y rural disperso
2005,15740,SIACHOQUE,0.202304,Centros poblados y rural disperso
2005,15753,SOATÁ,0.292564,Centros poblados y rural disperso
2005,15755,SOCOTÁ,0.442354,Centros poblados y rural disperso
2005,15757,SOCHA,0.147020,Centros poblados y rural disperso
2005,15759,SOGAMOSO,0.079761,Centros poblados y rural disperso
2005,15761,SOMONDOCO,0.125349,Centros poblados y rural disperso
2005,15762,SORA,0.156887,Centros poblados y rural disperso
2005,15763,SOTAQUIRÁ,0.126138,Centros poblados y rural disperso
2005,15764,SORACÁ,0.140069,Centros poblados y rural disperso
2005,15774,SUSACÓN,0.295057,Centros poblados y rural disperso
2005,15776,SUTAMARCHÁN,0.104879,Centros poblados y rural disperso
2005,15778,SUTATENZA,0.240424,Centros poblados y rural disperso
2005,15790,TASCO,0.166939,Centros poblados y rural disperso
2005,15798,TENZA,0.070828,Centros poblados y rural disperso
2005,15804,TIBANÁ,0.157729,Centros poblados y rural disperso
2005,15806,TIBASOSA,0.018508,Centros poblados y rural disperso
2005,15808,TINJACÁ,0.233835,Centros poblados y rural disperso
2005,15810,TIPACOQUE,0.397069,Centros poblados y rural disperso
2005,15814,TOCA,0.199778,Centros poblados y rural disperso
2005,15816,TOGÜÍ,0.145459,Centros poblados y rural disperso
2005,15820,TÓPAGA,0.093769,Centros poblados y rural disperso
2005,15822,TOTA,0.283751,Centros poblados y rural disperso
2005,15832,TUNUNGUÁ,0.050038,Centros poblados y rural disperso
2005,15835,TURMEQUÉ,0.094623,Centros poblados y rural disperso
2005,15837,TUTA,0.136011,Centros poblados y rural disperso
2005,15839,TUTAZÁ,0.125502,Centros poblados y rural disperso
2005,15842,UMBITA,0.168469,Centros poblados y rural disperso
2005,15861,VENTAQUEMADA,0.076834,Centros poblados y rural disperso
2005,15879,VIRACACHÁ,0.109375,Centros poblados y rural disperso
2005,15897,ZETAQUIRA,0.110501,Centros poblados y rural disperso
2018,15001,TUNJA,0.002269,Cabecera
2018,15022,ALMEIDA,0.000000,Cabecera
2018,15047,AQUITANIA,0.009715,Cabecera
2018,15051,ARCABUCO,0.002944,Cabecera
2018,15087,BELÉN,0.003347,Cabecera
2018,15090,BERBEO,0.000000,Cabecera
2018,15092,BETÉITIVA,0.010033,Cabecera
2018,15097,BOAVITA,0.006195,Cabecera
2018,15104,BOYACÁ,0.002976,Cabecera
2018,15106,BRICEÑO,0.000000,Cabecera
2018,15109,BUENAVISTA,0.000000,Cabecera
2018,15114,BUSBANZÁ,0.026829,Cabecera
2018,15131,CALDAS,0.012766,Cabecera
2018,15135,CAMPOHERMOSO,0.007680,Cabecera
2018,15162,CERINZA,0.006196,Cabecera
2018,15172,CHINAVITA,0.005217,Cabecera
2018,15176,CHIQUINQUIRÁ,0.001725,Cabecera
2018,15180,CHISCAS,0.021226,Cabecera
2018,15183,CHITA,0.047393,Cabecera
2018,15185,CHITARAQUE,0.000000,Cabecera
2018,15187,CHIVATÁ,0.006383,Cabecera
2018,15189,CIÉNEGA,0.009114,Cabecera
2018,15204,CÓMBITA,0.019531,Cabecera
2018,15212,COPER,0.005479,Cabecera
2018,15215,CORRALES,0.007088,Cabecera
2018,15218,COVARACHÍA,0.000000,Cabecera
2018,15223,CUBARÁ,0.056888,Cabecera
2018,15224,CUCAITA,0.033677,Cabecera
2018,15226,CUÍTIVA,0.000000,Cabecera
2018,15232,CHÍQUIZA,0.009063,Cabecera
2018,15236,CHIVOR,0.000000,Cabecera
2018,15238,DUITAMA,0.001150,Cabecera
2018,15244,EL COCUY,0.055892,Cabecera
2018,15248,EL ESPINO,0.003257,Cabecera
2018,15272,FIRAVITOBA,0.000000,Cabecera
2018,15276,FLORESTA,0.018453,Cabecera
2018,15293,GACHANTIVÁ,0.003604,Cabecera
2018,15296,GAMEZA,0.003785,Cabecera
2018,15299,GARAGOA,0.002592,Cabecera
2018,15317,GUACAMAYAS,0.000000,Cabecera
2018,15322,GUATEQUE,0.002332,Cabecera
2018,15325,GUAYATÁ,0.000000,Cabecera
2018,15332,GÜICÁN,0.000000,Cabecera
2018,15362,IZA,0.004314,Cabecera
2018,15367,JENESANO,0.008314,Cabecera
2018,15368,JERICÓ,0.042510,Cabecera
2018,15377,LABRANZAGRANDE,0.015829,Cabecera
2018,15380,LA CAPILLA,0.004348,Cabecera
2018,15401,LA VICTORIA,0.000000,Cabecera
2018,15403,LA UVITA,0.004950,Cabecera
2018,15407,VILLA DE LEYVA,0.006875,Cabecera
2018,15425,MACANAL,0.000000,Cabecera
2018,15442,MARIPÍ,0.018545,Cabecera
2018,15455,MIRAFLORES,0.005317,Cabecera
2018,15464,MONGUA,0.011044,Cabecera
2018,15466,MONGUÍ,0.009454,Cabecera
2018,15469,MONIQUIRÁ,0.002086,Cabecera
2018,15476,MOTAVITA,0.000000,Cabecera
2018,15480,MUZO,0.035246,Cabecera
2018,15491,NOBSA,0.000810,Cabecera
