geo,Municipio,ICEE,Año
15537,Paz De Río,65.12,2022
15537,Paz De Río,63.2,2023
15537,Paz De Río,64.23,2024
15542,Pesca,76.24,2020
15542,Pesca,80.13,2021
15542,Pesca,82.71,2022
15542,Pesca,76.49,2023
15542,Pesca,77.86,2024
15550,Pisba,41.47,2020
15550,Pisba,50.12,2021
15550,Pisba,53.36,2022
15550,Pisba,54.47,2023
15550,Pisba,61.91,2024
15572,Puerto Boyacá,100,2020
15572,Puerto Boyacá,100,2021
15572,Puerto Boyacá,100,2022
15572,Puerto Boyacá,98.55,2023
15572,Puerto Boyacá,97.8,2024
15580,Quípama,65.28,2020
15580,Quípama,66.52,2021
15580,Quípama,67.53,2022
15580,Quípama,66.98,2023
15580,Quípama,66.65,2024
15599,Ramiriquí,97.27,2020
15599,Ramiriquí,98.21,2021
15599,Ramiriquí,98.93,2022
15599,Ramiriquí,99.26,2023
15599,Ramiriquí,100,2024
15600,Ráquira,61.15,2020
15600,Ráquira,74.97,2021
15600,Ráquira,85.57,2022
15600,Ráquira,62.12,2023
15600,Ráquira,63.31,2024
15621,Rondón,61.28,2020
15621,Rondón,61.03,2021
15621,Rondón,62.41,2022
15621,Rondón,63.5,2023
15621,Rondón,63.5,2024
15632,Saboyá,82.78,2020
15632,Saboyá,84.16,2021
15632,Saboyá,85.22,2022
15632,Saboyá,85.69,2023
15632,Saboyá,87.12,2024
15638,Sáchica,87.15,2020
15638,Sáchica,91.38,2021
15638,Sáchica,96.84,2022
15638,Sáchica,99.95,2023
15638,Sáchica,100,2024
15646,Samacá,100,2020
15646,Samacá,100,2021
15646,Samacá,100,2022
15646,Samacá,100,2023
15646,Samacá,100,2024
15660,San Eduardo,100,2020
15660,San Eduardo,100,2021
15660,San Eduardo,100,2022
15660,San Eduardo,100,2023
15660,San Eduardo,100,2024
15664,San José De Pare,97.69,2020
15664,San José De Pare,99.04,2021
15664,San José De Pare,100,2022
15664,San José De Pare,100,2023
15664,San José De Pare,100,2024
15667,San Luis De Gaceno,80.27,2020
15667,San Luis De Gaceno,80.86,2021
15667,San Luis De Gaceno,80.87,2022
15667,San Luis De Gaceno,84.43,2023
15667,San Luis De Gaceno,84.32,2024
15673,San Mateo,83.56,2020
15673,San Mateo,84.44,2021
15673,San Mateo,84.5,2022
15673,San Mateo,86.43,2023
15673,San Mateo,87.33,2024
15676,San Miguel De Sema,98.23,2020
15676,San Miguel De Sema,100,2021
15676,San Miguel De Sema,100,2022
15676,San Miguel De Sema,100,2023
15676,San Miguel De Sema,100,2024
15681,San Pablo De Borbur,73.52,2020
15681,San Pablo De Borbur,74.31,2021
15681,San Pablo De Borbur,75.55,2022
15681,San Pablo De Borbur,76.96,2023
15681,San Pablo De Borbur,79.08,2024
15686,Santana,100,2020
15686,Santana,100,2021
15686,Santana,100,2022
15686,Santana,100,2023
15686,Santana,100,2024
15690,Santa María,88.75,2020
15690,Santa María,91.78,2021
15690,Santa María,93.2,2022
15690,Santa María,95.03,2023
15690,Santa María,94.49,2024
15693,Santa Rosa De Viterbo,100,2020
15693,Santa Rosa De Viterbo,100,2021
15693,Santa Rosa De Viterbo,100,2022
15693,Santa Rosa De Viterbo,85.9,2023
15693,Santa Rosa De Viterbo,86.32,2024
15696,Santa Sofía,83.17,2020
15696,Santa Sofía,84.44,2021
15696,Santa Sofía,86.02,2022
15696,Santa Sofía,88.5,2023
15696,Santa Sofía,90.84,2024
15720,Sativanorte,66.22,2020
15720,Sativanorte,65.74,2021
15720,Sativanorte,65.04,2022
15720,Sativanorte,64.69,2023
15720,Sativanorte,64.39,2024
15723,Sativasur,100,2020
15723,Sativasur,100,2021
15723,Sativasur,100,2022
15723,Sativasur,100,2023
15723,Sativasur,100,2024
15740,Siachoque,94.26,2020
15740,Siachoque,94.95,2021
15740,Siachoque,95.26,2022
15740,Siachoque,95.49,2023
15740,Siachoque,99.53,2024
15753,Soatá,85.65,2020
15753,Soatá,86.11,2021
15753,Soatá,86.26,2022
15753,Soatá,89.28,2023
15753,Soatá,91,2024
15755,Socotá,61.13,2020
15755,Socotá,62.41,2021
15755,Socotá,62.7,2022
15755,Socotá,63.68,2023
15755,Socotá,64.67,2024
15757,Socha,79.33,2020
15757,Socha,80.78,2021
15757,Socha,81.72,2022
15757,Socha,84.3,2023
15757,Socha,87.31,2024
15759,Sogamoso,100,2020
15759,Sogamoso,100,2021
15759,Sogamoso,100,2022
15759,Sogamoso,100,2023
15759,Sogamoso,100,2024
15761,Somondoco,89.51,2020
15761,Somondoco,89.81,2021
15761,Somondoco,89.99,2022
15761,Somondoco,90.62,2023
15761,Somondoco,92.53,2024
15762,Sora,100,2020
15762,Sora,100,2021
15762,Sora,100,2022
15762,Sora,76.91,2023
15762,Sora,78.8,2024
15763,Sotaquirá,90.34,2020
15763,Sotaquirá,100,2021
15763,Sotaquirá,100,2022
15763,Sotaquirá,94.05,2023
15763,Sotaquirá,96.28,2024
15764,Soracá,100,2020
15764,Soracá,100,2021
15764,Soracá,100,2022
15764,Soracá,100,2023
15764,Soracá,100,2024
15774,Susacón,68.95,2020
15774,Susacón,69.03,2021
15774,Susacón,68.87,2022
15774,Susacón,68.84,2023
15774,Susacón,69.45,2024
15776,Sutamarchàn,91.92,2020
15776,Sutamarchàn,94.26,2021
15776,Sutamarchàn,95.82,2022
15776,Sutamarchàn,97.06,2023
15776,Sutamarchàn,100,2024
15778,Sutatenza,79.56,2020
15778,Sutatenza,81.11,2021
15778,Sutatenza,82.25,2022
15778,Sutatenza,82.7,2023
15778,Sutatenza,83.23,2024
15790,Tasco,77.16,2020
15790,Tasco,77.64,2021
15790,Tasco,78.19,2022
15790,Tasco,77.91,2023
15790,Tasco,78.93,2024
15798,Tenza,69.73,2020
15798,Tenza,70.81,2021
