geo,Municipio,Año,Producción,Tipo
15325,Guayatá,2020,4231.000000,Transitorio
15218,Covarachía,2020,4822.400000,Transitorio
15238,Duitama,2020,6699.910000,Transitorio
15296,Gámeza,2020,7074.350000,Transitorio
15097,Boavita,2020,1901.000000,Transitorio
15272,Firavitoba,2020,6194.500000,Transitorio
15500,Oicatá,2020,5259.700000,Transitorio
15180,Chiscas,2020,4449.820000,Transitorio
15380,La Capilla,2020,4829.600000,Transitorio
15106,Briceño,2020,90.600000,Transitorio
15798,Tenza,2020,4360.330000,Transitorio
15183,Chita,2020,6516.050000,Transitorio
15774,Susacón,2020,5244.760000,Transitorio
15681,San Pablo de Borbur,2020,687.600000,Transitorio
15516,Paipa,2020,4187.190000,Transitorio
15377,Labranzagrande,2020,825.130000,Transitorio
15572,Puerto Boyacá,2020,3685.400000,Transitorio
15514,Páez,2020,1074.040000,Transitorio
15226,Cuítiva,2020,4758.500000,Transitorio
15660,San Eduardo,2020,235.800000,Transitorio
15236,Chivor,2020,244.650000,Transitorio
15808,Tinjacá,2020,4524.440000,Transitorio
15187,Chivatá,2020,6187.510000,Transitorio
15022,Almeida,2020,791.550000,Transitorio
15753,Soatá,2020,2105.670000,Transitorio
15244,El Cocuy,2020,4357.780000,Transitorio
15135,Campohermoso,2020,1393.300000,Transitorio
15673,San Mateo,2020,1270.800000,Transitorio
15522,Panqueba,2020,3659.000000,Transitorio
15518,Pajarito,2020,358.000000,Transitorio
15693,Santa Rosa de Viterbo,2020,3214.260000,Transitorio
15820,Tópaga,2020,3495.870000,Transitorio
15172,Chinavita,2020,459.340000,Transitorio
15215,Corrales,2020,2576.870000,Transitorio
15464,Mongua,2020,2265.250000,Transitorio
15466,Monguí,2020,2408.200000,Transitorio
15810,Tipacoque,2020,1965.100000,Transitorio
15621,Rondón,2020,781.910000,Transitorio
15090,Berbeo,2020,872.410000,Transitorio
15667,San Luis de Gaceno,2020,2148.000000,Transitorio
15720,Sativanorte,2020,1993.400000,Transitorio
15299,Garagoa,2020,723.550000,Transitorio
15317,Guacamayas,2020,887.600000,Transitorio
15690,Santa María,2020,692.200000,Transitorio
15676,San Miguel de Sema,2020,1193.300000,Transitorio
15778,Sutatenza,2020,891.820000,Transitorio
15092,Betéitiva,2020,1416.390000,Transitorio
15761,Somondoco,2020,577.700000,Transitorio
15248,El Espino,2020,989.500000,Transitorio
15757,Socha,2020,1271.000000,Transitorio
15403,La Uvita,2020,781.450000,Transitorio
15533,Paya,2020,184.000000,Transitorio
15223,Cubará,2020,287.000000,Transitorio
15332,GÜICÁN DE LA SIERRA,2020,1174.150000,Transitorio
15162,Cerinza,2020,771.940000,Transitorio
15401,La Victoria,2020,542.300000,Transitorio
15790,Tasco,2020,658.640000,Transitorio
15322,Guateque,2020,1158.050000,Transitorio
15550,Pisba,2020,196.480000,Transitorio
15537,Paz de Río,2020,859.600000,Transitorio
15362,Iza,2020,614.500000,Transitorio
15276,Floresta,2020,430.400000,Transitorio
15723,Sativasur,2020,155.270000,Transitorio
15114,Busbanzá,2020,108.240000,Transitorio
15664,San José de Pare,2019,451458.600000,Permanente
15185,Chitaraque,2019,316320.000000,Permanente
15686,Santana,2019,162687.400000,Permanente
15816,Togüí,2019,132744.500000,Permanente
15469,Moniquirá,2019,137426.000000,Permanente
15740,Siachoque,2019,97.000000,Permanente
15861,Ventaquemada,2019,1748.000000,Permanente
15632,Saboyá,2019,10611.000000,Permanente
15047,Aquitania,2019,107.000000,Permanente
