geo,Municipio,Porcentaje,Año
15480,Muzo,0,2020
15480,Muzo,0,2021
15480,Muzo,0,2022
15480,Muzo,85.14,2023
15480,Muzo,85.14,2024
15480,Muzo,85.14,2025
15491,Nobsa,53.43,2020
15491,Nobsa,53.43,2021
15491,Nobsa,53.43,2022
15491,Nobsa,38.13,2023
15491,Nobsa,38.4,2025
15494,Nuevo Colón,20.72,2020
15494,Nuevo Colón,84.32,2021
15494,Nuevo Colón,84.5,2022
15494,Nuevo Colón,85.14,2023
15494,Nuevo Colón,85.94,2024
15494,Nuevo Colón,72.55,2025
15500,Oicata,40.48,2020
15500,Oicata,40.48,2021
15500,Oicata,41.5,2022
15500,Oicata,36.61,2023
15500,Oicata,39.29,2024
15507,Otanche,0,2020
15507,Otanche,0,2021
15507,Otanche,0,2022
15507,Otanche,0,2023
15507,Otanche,0,2024
15507,Otanche,0,2025
15511,Pachavita,72.19,2020
15511,Pachavita,0.61,2021
15511,Pachavita,0,2022
15511,Pachavita,8.05,2023
15511,Pachavita,22.63,2024
15511,Pachavita,22.67,2025
15514,Páez,1.95,2020
15514,Páez,1.95,2021
15514,Páez,1.95,2022
15514,Páez,1.95,2023
15514,Páez,1.95,2024
15514,Páez,1.95,2025
15516,Paipa,8.24,2020
15516,Paipa,8.24,2021
15516,Paipa,8.24,2022
15518,Pajarito,0,2020
15518,Pajarito,0,2021
15518,Pajarito,18.81,2022
15518,Pajarito,0,2023
15518,Pajarito,11.24,2024
15518,Pajarito,20.59,2025
15522,Panqueba,1.07,2020
15522,Panqueba,0.59,2021
15522,Panqueba,0.59,2022
15522,Panqueba,0.59,2023
15522,Panqueba,0.59,2024
15522,Panqueba,0.59,2025
15531,Pauna,0,2020
15531,Pauna,37.36,2021
15531,Pauna,54.43,2022
15531,Pauna,54.67,2023
15531,Pauna,0.98,2024
15531,Pauna,0.98,2025
15533,Paya,44.07,2020
15533,Paya,21.97,2021
15533,Paya,21.97,2022
15533,Paya,0.37,2023
15533,Paya,0.37,2024
15533,Paya,5.34,2025
15537,Paz De Río,76.28,2020
15537,Paz De Río,76.28,2021
15537,Paz De Río,76.28,2022
15537,Paz De Río,76.28,2023
15537,Paz De Río,76.28,2024
15537,Paz De Río,100,2025
15542,Pesca,4.88,2020
15542,Pesca,4.88,2021
15542,Pesca,4.88,2022
15542,Pesca,13.01,2023
15542,Pesca,87.93,2024
15542,Pesca,88.15,2025
15550,Pisba,0,2020
15550,Pisba,0,2021
15550,Pisba,0,2022
15550,Pisba,0,2023
