geo,Municipio,Año,Puntaje en resultados
15808,TINJACA,2017,55.178287
15810,TIPACOQUE,2017,69.497778
15814,TOCA,2017,72.979095
15816,TOGUI,2017,65.840786
15820,TOPAGA,2017,63.073026
15822,TOTA,2017,68.816455
15832,TUNUNGUA,2017,65.137448
15835,TURMEQUE,2017,73.825384
15837,TUTA,2017,67.900847
15839,TUTASA,2017,74.460849
15842,UMBITA,2017,67.451948
15861,VENTAQUEMADA,2017,67.617970
15879,VIRACACHA,2017,65.673052
15897,ZETAQUIRA,2017,68.129544
15001,TUNJA,2018,68.545131
15022,ALMEIDA,2018,58.738533
15047,AQUITANIA,2018,69.006449
15051,ARCABUCO,2018,71.443246
15087,BELEN,2018,74.888874
15090,BERBEO,2018,64.193210
15092,BETEITIVA,2018,60.157024
15097,BOAVITA,2018,66.419748
15104,BOYACA,2018,72.988640
15106,BRICEÐO,2018,68.125528
15109,BUENAVISTA,2018,65.437317
15114,BUSBANZA,2018,66.184504
15131,CALDAS,2018,67.902330
15135,CAMPOHERMOSO,2018,64.217435
15162,CERINZA,2018,68.007721
15172,CHINAVITA,2018,65.711541
15176,CHIQUINQUIRA,2018,71.189425
15180,CHISCAS,2018,67.233251
15183,CHITA,2018,66.993785
15185,CHITARAQUE,2018,67.885830
15187,CHIVATA,2018,68.703882
15189,CIENAGA,2018,57.880629
15204,COMBITA,2018,73.822533
15212,COPER,2018,69.857907
15215,CORRALES,2018,63.810027
15218,COVARACHIA,2018,64.021825
15223,CUBARA,2018,70.995079
15224,CUCAITA,2018,64.866787
15226,CUITIVA,2018,66.524210
15232,CHIQUIZA,2018,64.681856
15236,CHIVOR,2018,59.364654
15238,DUITAMA,2018,74.093065
15244,EL COCUY,2018,68.580958
15248,EL ESPINO,2018,65.955891
15272,FIRAVITOBA,2018,68.787472
15276,FLORESTA,2018,71.952216
15293,GACHANTIVA,2018,70.552869
15296,GAMEZA,2018,65.920591
15299,GARAGOA,2018,78.529375
15317,GUACAMAYAS,2018,69.810802
15322,GUATEQUE,2018,73.211220
15325,GUAYATA,2018,64.079818
15332,GUICAN,2018,57.566634
15362,IZA,2018,73.439330
15367,JENESANO,2018,69.919467
15368,JERICO,2018,68.565698
15377,LABRANZAGRANDE,2018,70.784104
15380,LA CAPILLA,2018,71.406348
15401,LA VICTORIA,2018,60.109071
15403,LA UVITA,2018,59.347777
15407,VILLA DE LEYVA,2018,64.271329
15425,MACANAL,2018,63.414787
15442,MARIPI,2018,66.586038
15455,MIRAFLORES,2018,67.932222
15464,MONGUA,2018,68.630087
15466,MONGUI,2018,71.485387
15469,MONIQUIRA,2018,62.429310
15476,MOTAVITA,2018,70.030546
15480,MUZO,2018,72.128017
15491,NOBSA,2018,63.631567
15494,NUEVO COLON,2018,55.655749
15500,OICATA,2018,65.851326
15507,OTANCHE,2018,64.475951
15511,PACHAVITA,2018,60.763816
15514,PAEZ,2018,71.966209
15516,PAIPA,2018,66.505360
15518,PAJARITO,2018,80.833724
15522,PANQUEBA,2018,63.376274
15531,PAUNA,2018,57.722135
15533,PAYA,2018,68.274403
15537,PAZ DE RIO,2018,67.217272
15542,PESCA,2018,54.074268
15550,PISVA,2018,68.367661
15572,PUERTO BOYACA,2018,60.075945
15580,QUIPAMA,2018,62.926957
15599,RAMIRIQUI,2018,60.315132
15600,RAQUIRA,2018,62.367541
15621,RONDON,2018,71.143053
15632,SABOYA,2018,70.176101
15638,SACHICA,2018,70.898546
15646,SAMACA,2018,65.007338
15660,SAN EDUARDO,2018,68.398808
15664,SAN JOSE DE PARE,2018,68.141468
15667,SAN LUIS DE GACENO,2018,70.108514
15673,SAN MATEO,2018,69.179196
15676,SAN MIGUEL DE SEMA,2018,58.831711
15681,SAN PABLO DE BORBUR,2018,67.495069
15686,SANTANA,2018,68.856534
15690,SANTA MARIA,2018,66.076668
15693,SANTA ROSA DE VITERB,2018,69.057736
15696,SANTA SOFIA,2018,64.476649
15720,SATIVANORTE,2018,74.730067
15723,SATIVASUR,2018,69.753989
15740,SIACHOQUE,2018,74.371204
15753,SOATA,2018,76.727851
15755,SOCOTA,2018,67.547546
15757,SOCHA,2018,74.589741
15759,SOGAMOSO,2018,65.401452
15761,SOMONDOCO,2018,63.169436
15762,SORA,2018,74.805867
15763,SOTAQUIRA,2018,66.632099
15764,SORACA,2018,66.547287
15774,SUSACON,2018,64.847405
15776,SUTAMARCHAN,2018,66.503735
15778,SUTATENZA,2018,68.653983
15790,TASCO,2018,67.121368
15798,TENZA,2018,70.001346
15804,TIBANA,2018,61.977498
15806,TIBASOSA,2018,65.687144
15808,TINJACA,2018,74.894842
15810,TIPACOQUE,2018,74.304675
15814,TOCA,2018,65.089638
15816,TOGUI,2018,71.988065
15820,TOPAGA,2018,72.499284
15822,TOTA,2018,67.498002
15832,TUNUNGUA,2018,77.103827
15835,TURMEQUE,2018,70.273823
15837,TUTA,2018,73.213284
15839,TUTASA,2018,67.749133
15842,UMBITA,2018,67.469350
15861,VENTAQUEMADA,2018,71.257952
15879,VIRACACHA,2018,60.931221
15897,ZETAQUIRA,2018,69.626622
15001,TUNJA,2019,68.669607
15022,ALMEIDA,2019,66.591767
15047,AQUITANIA,2019,71.264916
15051,ARCABUCO,2019,66.886277
15087,BELEN,2019,72.595528
15090,BERBEO,2019,69.965295
15092,BETEITIVA,2019,64.119379
15097,BOAVITA,2019,72.373570
15104,BOYACA,2019,73.648637
15106,BRICEÐO,2019,66.619778
15109,BUENAVISTA,2019,67.950564
15114,BUSBANZA,2019,63.437401
15131,CALDAS,2019,64.472491
15135,CAMPOHERMOSO,2019,70.092727
15162,CERINZA,2019,69.509183
15172,CHINAVITA,2019,70.853032
15176,CHIQUINQUIRA,2019,72.577736
15180,CHISCAS,2019,69.145614
15183,CHITA,2019,75.317863
15185,CHITARAQUE,2019,67.219372
15187,CHIVATA,2019,63.333135
15189,CIENAGA,2019,71.517977
