geo,Municipio,Toneladas,Año
15407,Villa De Leyva,12.09,2021
15407,Villa De Leyva,12.17,2022
15407,Villa De Leyva,12.37,2023
15407,Villa De Leyva,12.79,2024
15425,Macanal,0.51,2020
15425,Macanal,0.64,2021
15425,Macanal,0.65,2022
15425,Macanal,0.66,2023
15425,Macanal,0.74,2024
15442,Maripí,0.34,2020
15442,Maripí,0.43,2021
15442,Maripí,0.5,2022
15442,Maripí,0.46,2023
15442,Maripí,0.48,2024
15455,Miraflores,1.98,2020
15455,Miraflores,2.08,2021
15455,Miraflores,3.03,2022
15455,Miraflores,2.48,2023
15455,Miraflores,3.02,2024
15464,Mongua,0.14,2020
15464,Mongua,0.19,2021
15464,Mongua,0.15,2022
15464,Mongua,0.2,2023
15464,Mongua,0.23,2024
15466,Monguì,0.5,2020
15466,Monguì,0.56,2021
15466,Monguì,0.92,2022
15466,Monguì,0.53,2023
15466,Monguì,0.52,2024
15469,Moniquira,8.04,2020
15469,Moniquira,6.17,2021
15469,Moniquira,5.79,2022
15469,Moniquira,10.29,2023
15469,Moniquira,1.13,2024
15476,Motavita,0.37,2020
15476,Motavita,0.4,2021
15476,Motavita,0.42,2022
15476,Motavita,0.47,2023
15476,Motavita,0.48,2024
15480,Muzo,3.36,2020
15480,Muzo,3.31,2021
15480,Muzo,3.29,2022
15480,Muzo,3.3,2023
15480,Muzo,3.11,2024
15491,Nobsa,4.62,2020
15491,Nobsa,5.16,2021
15491,Nobsa,8.17,2022
15491,Nobsa,4.99,2023
15491,Nobsa,5.04,2024
15494,Nuevo Colón,0.27,2020
15494,Nuevo Colón,0.3,2021
15494,Nuevo Colón,0.31,2022
15494,Nuevo Colón,0.32,2023
15494,Nuevo Colón,0.36,2024
15500,Oicata,0.27,2020
15500,Oicata,0.09,2021
15500,Oicata,0.1,2022
15500,Oicata,0.11,2023
15500,Oicata,0.07,2024
15507,Otanche,1.91,2020
15507,Otanche,2.17,2021
15507,Otanche,4.57,2022
15507,Otanche,1.35,2023
