geo,Municipio,Grupo cultivo,Desagregación cultivo,Año,Área cosechada,Ciclo del cultivo
15407,Villa de Leyva,Raíces y Tubérculos,Papa todas las variedades,2019,150.000000,Transitorio
15407,Villa de Leyva,Raíces y Tubérculos,Papa todas las variedades,2019,219.000000,Transitorio
15425,Macanal,Raíces y Tubérculos,Arracacha,2019,6.000000,Transitorio
15425,Macanal,Raíces y Tubérculos,Arracacha,2019,1.000000,Transitorio
15425,Macanal,Raíces y Tubérculos,Papa Criolla,2019,2.000000,Transitorio
15425,Macanal,Raíces y Tubérculos,Papa todas las variedades,2019,6.000000,Transitorio
15425,Macanal,Raíces y Tubérculos,Papa todas las variedades,2019,3.000000,Transitorio
15425,Macanal,Raíces y Tubérculos,Yuca consumo en fresco,2019,22.000000,Transitorio
15442,Maripí,Raíces y Tubérculos,Papa todas las variedades,2019,9.700000,Transitorio
15442,Maripí,Raíces y Tubérculos,Papa todas las variedades,2019,8.000000,Transitorio
15442,Maripí,Raíces y Tubérculos,Yuca consumo en fresco,2019,224.900000,Transitorio
15455,Miraflores,Raíces y Tubérculos,Arracacha,2019,4.000000,Transitorio
15455,Miraflores,Raíces y Tubérculos,Arracacha,2019,4.000000,Transitorio
15455,Miraflores,Raíces y Tubérculos,Yuca consumo en fresco,2019,70.000000,Transitorio
15455,Miraflores,Raíces y Tubérculos,Yuca consumo en fresco,2019,70.000000,Transitorio
15464,Mongua,Raíces y Tubérculos,Papa todas las variedades,2019,200.000000,Transitorio
15464,Mongua,Raíces y Tubérculos,Papa todas las variedades,2019,42.000000,Transitorio
15466,Monguí,Raíces y Tubérculos,Nabo,2019,2.000000,Transitorio
15466,Monguí,Raíces y Tubérculos,Nabo,2019,2.000000,Transitorio
15466,Monguí,Raíces y Tubérculos,Papa Criolla,2019,10.000000,Transitorio
15466,Monguí,Raíces y Tubérculos,Papa Criolla,2019,20.000000,Transitorio
15466,Monguí,Raíces y Tubérculos,Papa todas las variedades,2019,40.000000,Transitorio
15466,Monguí,Raíces y Tubérculos,Papa todas las variedades,2019,40.000000,Transitorio
15469,Moniquirá,Raíces y Tubérculos,Yuca consumo en fresco,2019,150.000000,Transitorio
15469,Moniquirá,Raíces y Tubérculos,Yuca consumo en fresco,2019,120.000000,Transitorio
15476,Motavita,Raíces y Tubérculos,Papa Criolla,2019,15.000000,Transitorio
15476,Motavita,Raíces y Tubérculos,Papa todas las variedades,2019,910.000000,Transitorio
15476,Motavita,Raíces y Tubérculos,Papa todas las variedades,2019,350.000000,Transitorio
15480,Muzo,Raíces y Tubérculos,Yuca consumo en fresco,2019,45.000000,Transitorio
15480,Muzo,Raíces y Tubérculos,Yuca consumo en fresco,2019,50.000000,Transitorio
15491,Nobsa,Raíces y Tubérculos,Papa todas las variedades,2019,65.000000,Transitorio
15491,Nobsa,Raíces y Tubérculos,Papa todas las variedades,2019,62.000000,Transitorio
15494,Nuevo Colón,Raíces y Tubérculos,Arracacha,2019,54.000000,Transitorio
15494,Nuevo Colón,Raíces y Tubérculos,Papa todas las variedades,2019,156.000000,Transitorio
15494,Nuevo Colón,Raíces y Tubérculos,Papa todas las variedades,2019,180.000000,Transitorio
15500,Oicatá,Raíces y Tubérculos,Papa todas las variedades,2019,83.000000,Transitorio
15500,Oicatá,Raíces y Tubérculos,Papa todas las variedades,2019,81.000000,Transitorio
15507,Otanche,Oleaginosas,Sacha inchi,2019,58.000000,Permanente
15507,Otanche,Raíces y Tubérculos,Yuca consumo en fresco,2019,72.000000,Transitorio
15507,Otanche,Raíces y Tubérculos,Yuca consumo en fresco,2019,30.000000,Transitorio
15511,Pachavita,Raíces y Tubérculos,Arracacha,2019,5.000000,Transitorio
15511,Pachavita,Raíces y Tubérculos,Arracacha,2019,5.000000,Transitorio
15511,Pachavita,Raíces y Tubérculos,Papa todas las variedades,2019,13.000000,Transitorio
15511,Pachavita,Raíces y Tubérculos,Papa todas las variedades,2019,9.000000,Transitorio
15511,Pachavita,Raíces y Tubérculos,Yuca consumo en fresco,2019,5.000000,Transitorio
15511,Pachavita,Raíces y Tubérculos,Yuca consumo en fresco,2019,5.000000,Transitorio
15514,Páez,Raíces y Tubérculos,Yuca consumo en fresco,2019,35.000000,Transitorio
15516,Paipa,Raíces y Tubérculos,Papa todas las variedades,2019,125.100000,Transitorio
15518,Pajarito,Raíces y Tubérculos,Arracacha,2019,8.000000,Transitorio
15518,Pajarito,Raíces y Tubérculos,Yuca consumo en fresco,2019,22.000000,Transitorio
15522,Panqueba,Raíces y Tubérculos,Papa todas las variedades,2019,17.000000,Transitorio
15522,Panqueba,Raíces y Tubérculos,Papa todas las variedades,2019,21.000000,Transitorio
15531,Pauna,Raíces y Tubérculos,Papa Criolla,2019,10.000000,Transitorio
15531,Pauna,Raíces y Tubérculos,Papa Criolla,2019,10.000000,Transitorio
15531,Pauna,Raíces y Tubérculos,Papa todas las variedades,2019,10.000000,Transitorio
15531,Pauna,Raíces y Tubérculos,Papa todas las variedades,2019,15.000000,Transitorio
15531,Pauna,Raíces y Tubérculos,Yuca consumo en fresco,2019,12.000000,Transitorio
15531,Pauna,Raíces y Tubérculos,Yuca consumo en fresco,2019,50.000000,Transitorio
15533,Paya,Raíces y Tubérculos,Arracacha,2019,1.000000,Transitorio
15533,Paya,Raíces y Tubérculos,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2019,2.000000,Transitorio
15533,Paya,Raíces y Tubérculos,Yuca consumo en fresco,2019,25.000000,Transitorio
15533,Paya,Raíces y Tubérculos,Yuca consumo en fresco,2019,4.000000,Transitorio
15537,Paz de Río,Raíces y Tubérculos,Papa todas las variedades,2019,23.000000,Transitorio
15537,Paz de Río,Raíces y Tubérculos,Papa todas las variedades,2019,10.000000,Transitorio
15542,Pesca,Raíces y Tubérculos,Papa todas las variedades,2019,113.000000,Transitorio
15542,Pesca,Raíces y Tubérculos,Papa todas las variedades,2019,318.000000,Transitorio
15550,Pisba,Raíces y Tubérculos,Yuca consumo en fresco,2019,6.000000,Transitorio
15550,Pisba,Raíces y Tubérculos,Yuca consumo en fresco,2019,4.000000,Transitorio
15572,Puerto Boyacá,Oleaginosas,Sacha inchi,2019,9.000000,Permanente
15572,Puerto Boyacá,Raíces y Tubérculos,Yuca consumo en fresco,2019,8.000000,Transitorio
15580,Quípama,Raíces y Tubérculos,Yuca consumo en fresco,2019,120.000000,Transitorio
15580,Quípama,Raíces y Tubérculos,Yuca consumo en fresco,2019,40.000000,Transitorio
15599,Ramiriquí,Raíces y Tubérculos,Arracacha,2019,95.000000,Transitorio
15599,Ramiriquí,Raíces y Tubérculos,Papa Criolla,2019,12.000000,Transitorio
15599,Ramiriquí,Raíces y Tubérculos,Papa Criolla,2019,15.000000,Transitorio
15599,Ramiriquí,Raíces y Tubérculos,Papa todas las variedades,2019,210.000000,Transitorio
15599,Ramiriquí,Raíces y Tubérculos,Papa todas las variedades,2019,200.000000,Transitorio
15600,Ráquira,Raíces y Tubérculos,Papa todas las variedades,2019,278.000000,Transitorio
15600,Ráquira,Raíces y Tubérculos,Papa todas las variedades,2019,272.000000,Transitorio
15621,Rondón,Raíces y Tubérculos,Arracacha,2019,1.000000,Transitorio
15621,Rondón,Raíces y Tubérculos,Papa Criolla,2019,1.000000,Transitorio
15621,Rondón,Raíces y Tubérculos,Papa todas las variedades,2019,10.000000,Transitorio
15621,Rondón,Raíces y Tubérculos,Papa todas las variedades,2019,5.000000,Transitorio
15621,Rondón,Raíces y Tubérculos,Yuca consumo en fresco,2019,8.000000,Transitorio
15621,Rondón,Raíces y Tubérculos,Yuca consumo en fresco,2019,3.000000,Transitorio
15632,Saboyá,Raíces y Tubérculos,Papa Criolla,2019,630.000000,Transitorio
15632,Saboyá,Raíces y Tubérculos,Papa Criolla,2019,730.000000,Transitorio
15632,Saboyá,Raíces y Tubérculos,Papa todas las variedades,2019,2350.000000,Transitorio
15632,Saboyá,Raíces y Tubérculos,Papa todas las variedades,2019,2450.000000,Transitorio
15646,Samacá,Raíces y Tubérculos,Papa todas las variedades,2019,700.000000,Transitorio
15646,Samacá,Raíces y Tubérculos,Papa todas las variedades,2019,1050.000000,Transitorio
15660,San Eduardo,Raíces y Tubérculos,Arracacha,2019,5.000000,Transitorio
15660,San Eduardo,Raíces y Tubérculos,Arracacha,2019,3.000000,Transitorio
15660,San Eduardo,Raíces y Tubérculos,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2019,5.000000,Transitorio
15660,San Eduardo,Raíces y Tubérculos,Malanga¬ Achín¬ Yota¬ Papa China¬ Bore,2019,3.000000,Transitorio
15660,San Eduardo,Raíces y Tubérculos,Yuca consumo en fresco,2019,15.000000,Transitorio
15660,San Eduardo,Raíces y Tubérculos,Yuca consumo en fresco,2019,2.000000,Transitorio
15664,San José de Pare,Oleaginosas,Sacha inchi,2019,0.500000,Permanente
15664,San José de Pare,Raíces y Tubérculos,Papa todas las variedades,2019,2.000000,Transitorio
15664,San José de Pare,Raíces y Tubérculos,Yuca consumo en fresco,2019,8.000000,Transitorio
15664,San José de Pare,Raíces y Tubérculos,Yuca consumo en fresco,2019,10.000000,Transitorio
15667,San Luis de Gaceno,Raíces y Tubérculos,Yuca consumo en fresco,2019,135.000000,Transitorio
15667,San Luis de Gaceno,Raíces y Tubérculos,Yuca consumo en fresco,2019,50.000000,Transitorio
15673,San Mateo,Raíces y Tubérculos,Yuca consumo en fresco,2019,5.000000,Transitorio
15676,San Miguel de Sema,Raíces y Tubérculos,Papa Criolla,2019,5.000000,Transitorio
15676,San Miguel de Sema,Raíces y Tubérculos,Papa todas las variedades,2019,8.000000,Transitorio
