Año,geo,Zona,Grado,Número
2018,15740,Rural,Segundo,111
2018,15740,Rural,Septimo,61
2018,15740,Rural,Sexto,64
2018,15740,Rural,Tercero,91
2018,15740,Rural,Transición,100
2018,15740,Urbana,Cuarto,34
2018,15740,Urbana,Decimo,126
2018,15740,Urbana,Noveno,97
2018,15740,Urbana,Octavo,69
2018,15740,Urbana,Once,108
2018,15740,Urbana,Primero,44
2018,15740,Urbana,Quinto,36
2018,15740,Urbana,Segundo,24
2018,15740,Urbana,Septimo,100
2018,15740,Urbana,Sexto,114
2018,15740,Urbana,Tercero,40
2018,15740,Urbana,Transición,33
2018,15790,Rural,Ciclo 5 Adultos,1
2018,15790,Rural,Cuarto,71
2018,15790,Rural,Decimo,13
2018,15790,Rural,Noveno,17
2018,15790,Rural,Octavo,17
2018,15790,Rural,Once,6
2018,15790,Rural,Primero,50
2018,15790,Rural,Quinto,54
2018,15790,Rural,Segundo,42
2018,15790,Rural,Septimo,17
2018,15790,Rural,Sexto,25
2018,15790,Rural,Tercero,46
2018,15790,Rural,Transición,46
2018,15790,Urbana,Cuarto,51
2018,15790,Urbana,Decimo,75
2018,15790,Urbana,Noveno,84
2018,15790,Urbana,Octavo,63
2018,15790,Urbana,Once,57
2018,15790,Urbana,Primero,44
2018,15790,Urbana,Quinto,47
2018,15790,Urbana,Segundo,39
2018,15790,Urbana,Septimo,92
2018,15790,Urbana,Sexto,98
2018,15790,Urbana,Tercero,50
2018,15790,Urbana,Transición,37
2018,15810,Rural,Cuarto,25
2018,15810,Rural,Noveno,12
2018,15810,Rural,Octavo,4
2018,15810,Rural,Primero,26
2018,15810,Rural,Quinto,36
2018,15810,Rural,Segundo,37
2018,15810,Rural,Septimo,8
2018,15810,Rural,Sexto,10
2018,15810,Rural,Tercero,29
2018,15810,Rural,Transición,32
2018,15810,Urbana,Ciclo 5 Adultos,1
2018,15810,Urbana,Cuarto,20
2018,15810,Urbana,Decimo,43
2018,15810,Urbana,Noveno,28
2018,15810,Urbana,Octavo,49
2018,15810,Urbana,Once,56
2018,15810,Urbana,Primero,17
2018,15810,Urbana,Quinto,30
2018,15810,Urbana,Segundo,21
2018,15810,Urbana,Septimo,39
2018,15810,Urbana,Sexto,53
2018,15810,Urbana,Tercero,26
2018,15810,Urbana,Transición,18
2018,15820,Rural,Ciclo 3 Adultos,24
2018,15820,Rural,Ciclo 4 Adultos,20
2018,15820,Rural,Ciclo 5 Adultos,33
2018,15820,Rural,Cuarto,30
2018,15820,Rural,Decimo,11
2018,15820,Rural,Noveno,16
2018,15820,Rural,Octavo,10
2018,15820,Rural,Once,19
2018,15820,Rural,Primero,36
2018,15820,Rural,Quinto,42
2018,15820,Rural,Segundo,23
2018,15820,Rural,Septimo,19
2018,15820,Rural,Sexto,23
2018,15820,Rural,Tercero,27
2018,15820,Rural,Transición,35
2018,15820,Urbana,Ciclo 3 Adultos,1
2018,15820,Urbana,Ciclo 4 Adultos,1
2018,15820,Urbana,Ciclo 5 Adultos,1
2018,15820,Urbana,Cuarto,35
2018,15820,Urbana,Decimo,38
2018,15820,Urbana,Noveno,22
2018,15820,Urbana,Octavo,48
2018,15820,Urbana,Once,16
2018,15820,Urbana,Primero,37
2018,15820,Urbana,Quinto,30
2018,15820,Urbana,Segundo,24
2018,15820,Urbana,Septimo,43
2018,15820,Urbana,Sexto,47
2018,15820,Urbana,Tercero,32
2018,15820,Urbana,Transición,29
2018,15001,Rural,Ciclo 2 Adultos,31
2018,15001,Rural,Ciclo 3 Adultos,12
2018,15001,Rural,Ciclo 4 Adultos,1
2018,15001,Rural,Cuarto,81
2018,15001,Rural,Decimo,40
2018,15001,Rural,Noveno,39
2018,15001,Rural,Octavo,60
2018,15001,Rural,Once,28
2018,15001,Rural,Primero,78
2018,15001,Rural,Quinto,103
2018,15001,Rural,Segundo,92
2018,15001,Rural,Septimo,92
2018,15001,Rural,Sexto,116
2018,15001,Rural,Tercero,95
2018,15001,Rural,Transición,79
2018,15001,Urbana,12º Normal,117
2018,15001,Urbana,13º Normal,40
2018,15001,Urbana,Aceleración del Aprendizaj,7
2018,15001,Urbana,Ciclo 1 Adultos,2
2018,15001,Urbana,Ciclo 2 Adultos,142
2018,15001,Urbana,Ciclo 3 Adultos,358
2018,15001,Urbana,Ciclo 4 Adultos,653
2018,15001,Urbana,Ciclo 5 Adultos,219
2018,15001,Urbana,Ciclo 6 Adultos,853
2018,15001,Urbana,Cuarto,2981
2018,15001,Urbana,Decimo,2486
2018,15001,Urbana,Jardín I,965
2018,15001,Urbana,Noveno,2708
2018,15001,Urbana,Octavo,2951
2018,15001,Urbana,Once,2105
2018,15001,Urbana,Prejardín,681
2018,15001,Urbana,Primero,2819
2018,15001,Urbana,Quinto,3215
2018,15001,Urbana,Segundo,2765
2018,15001,Urbana,Septimo,3346
2018,15001,Urbana,Sexto,3709
2018,15001,Urbana,Tercero,2998
2018,15001,Urbana,Transición,2673
2018,15022,Rural,Cuarto,11
2018,15022,Rural,Primero,8
2018,15022,Rural,Quinto,9
2018,15022,Rural,Segundo,11
2018,15022,Rural,Tercero,13
2018,15022,Rural,Transición,11
2018,15022,Urbana,Ciclo 2 Adultos,1
