geo,Municipio,Desagregación cultivo,Año,Producción(tn)
15401,La Victoria,Tomate,2019,7.000000
15403,La Uvita,Otras hortalizas,2019,6.000000
15403,La Uvita,Otras hortalizas,2019,3.900000
15403,La Uvita,Tomate,2019,90.000000
15403,La Uvita,Tomate,2019,30.000000
15403,La Uvita,Cilantro,2019,1.000000
15403,La Uvita,Cilantro,2019,1.000000
15403,La Uvita,Cebolla De Bulbo,2019,15.000000
15403,La Uvita,Cebolla De Rama,2019,10.000000
15407,Villa de Leiva,Otras hortalizas,2019,129.000000
15407,Villa de Leiva,Tomate,2019,27810.000000
15407,Villa de Leiva,Tomate Invernadero,2019,25830.000000
15407,Villa de Leiva,Cebolla De Bulbo,2019,2340.000000
15407,Villa de Leiva,Cebolla De Bulbo,2019,980.500000
15425,Macanal,Ají,2019,57.000000
15425,Macanal,Calabacín¬ Calabaza,2019,80.000000
15425,Macanal,Pepino Cohombro,2019,17.000000
15425,Macanal,Pimentón,2019,36.000000
15425,Macanal,Tomate,2019,413.000000
15442,Maripí,Cebolla De Rama,2019,4.000000
15455,Miraflores,Tomate Invernadero,2019,1800.000000
15455,Miraflores,Tomate Invernadero,2019,1800.000000
15466,Monguí,Otras hortalizas,2019,32.000000
15466,Monguí,Otras hortalizas,2019,6.000000
15466,Monguí,Tomate Invernadero,2019,100.000000
15466,Monguí,Tomate Invernadero,2019,60.000000
15466,Monguí,Ajo,2019,7.000000
15466,Monguí,Zanahoria,2019,20.000000
15466,Monguí,Zanahoria,2019,10.000000
15469,Moniquirá,Tomate,2019,50.000000
15469,Moniquirá,Tomate,2019,54.000000
15476,Motavita,Cebolla De Bulbo,2019,425.000000
15476,Motavita,Cebolla De Bulbo,2019,375.000000
15476,Motavita,Zanahoria,2019,160.000000
15476,Motavita,Zanahoria,2019,160.000000
15491,Nobsa,Otras hortalizas,2019,540.000000
15491,Nobsa,Otras hortalizas,2019,518.000000
15491,Nobsa,Brócoli,2019,45.000000
15491,Nobsa,Brócoli,2019,72.000000
15491,Nobsa,Tomate,2019,276.000000
15491,Nobsa,Tomate,2019,725.000000
15491,Nobsa,Lechuga,2019,65.000000
15491,Nobsa,Repollo,2019,300.000000
15491,Nobsa,Repollo,2019,265.000000
15491,Nobsa,Cebolla De Bulbo,2019,2550.000000
15491,Nobsa,Cebolla De Bulbo,2019,3230.000000
15491,Nobsa,Remolacha,2019,60.000000
15491,Nobsa,Remolacha,2019,54.000000
15494,Nuevo Colón,Ahuyama,2019,270.000000
15494,Nuevo Colón,Zanahoria,2019,375.000000
15494,Nuevo Colón,Zanahoria,2019,300.000000
15500,Oicatá,Cebolla De Bulbo,2019,480.000000
15500,Oicatá,Cebolla De Bulbo,2019,497.000000
15511,Pachavita,Pepino Guiso,2019,135.000000
15511,Pachavita,Pepino Guiso,2019,42.000000
15511,Pachavita,Pimentón,2019,72.000000
15511,Pachavita,Pimentón,2019,30.000000
15511,Pachavita,Tomate Invernadero,2019,2200.000000
15511,Pachavita,Tomate Invernadero,2019,2300.000000
15516,Paipa,Lechuga,2019,50.880000
15516,Paipa,Lechuga,2019,47.700000
15516,Paipa,Cebolla De Bulbo,2019,1900.740000
15516,Paipa,Cebolla De Bulbo,2019,1597.500000
15518,Pajarito,Ahuyama,2019,195.000000
15522,Panqueba,Ahuyama,2019,192.000000
15522,Panqueba,Ahuyama,2019,240.000000
15522,Panqueba,Tomate,2019,144.000000
15522,Panqueba,Tomate,2019,225.000000
15522,Panqueba,Cebolla De Bulbo,2019,528.000000
15522,Panqueba,Cebolla De Bulbo,2019,624.000000
15537,Paz de Río,Tomate Invernadero,2019,10.000000
15537,Paz de Río,Tomate Invernadero,2019,9.000000
15537,Paz de Río,Cebolla De Bulbo,2019,144.000000
15537,Paz de Río,Cebolla De Bulbo,2019,136.000000
15542,Pesca,Cebolla De Bulbo,2019,1680.000000
15542,Pesca,Cebolla De Bulbo,2019,574.000000
15572,Puerto Boyacá,Ahuyama,2019,114.000000
15572,Puerto Boyacá,Ahuyama,2019,126.000000
15572,Puerto Boyacá,Melón,2019,30.000000
15572,Puerto Boyacá,Melón,2019,30.000000
15572,Puerto Boyacá,Patilla,2019,88.000000
15572,Puerto Boyacá,Patilla,2019,100.000000
15599,Ramiriquí,Ahuyama,2019,252.000000
15599,Ramiriquí,Calabacín¬ Calabaza,2019,1080.000000
15599,Ramiriquí,Pepino Guiso,2019,312.000000
15599,Ramiriquí,Pepino Guiso,2019,240.000000
15599,Ramiriquí,Cilantro,2019,270.000000
15600,Ráquira,Pepino Cohombro,2019,43.000000
15600,Ráquira,Pepino Guiso,2019,43.000000
15600,Ráquira,Pimentón,2019,35.000000
15600,Ráquira,Pimentón,2019,33.000000
15600,Ráquira,Tomate,2019,924.000000
