geo,Municipio,Cultivo,Año,Área Sembrada (ha)
15897,ZETAQUIRA,Cafe,2007,919
15455,MIRAFLORES,Cafe,2007,750
15816,TOGUI,Cafe,2007,750
15664,SAN JOSE DE PARE,Cafe,2007,680
15377,LABRANZAGRANDE,Cafe,2007,600
15686,SANTANA,Cafe,2007,600
15185,CHITARAQUE,Cafe,2007,585
15442,MARIPÍ,Cafe,2007,523
15090,BERBEO,Cafe,2007,507
15106,BRICEÑO,Cafe,2007,480
15109,BUENAVISTA,Cafe,2007,470
15212,COPER,Cafe,2007,385
15531,PAUNA,Cafe,2007,385
15325,GUAYATÁ,Cafe,2007,297
15401,LA VICTORIA,Cafe,2007,270
15681,SAN PABLO DE BORBUR,Cafe,2007,220
15832,TUNUNGUA,Cafe,2007,216
15550,PISBA,Cafe,2007,190
15514,PÁEZ,Cafe,2007,175
15533,PAYA,Cafe,2007,170
15511,PACHAVITA,Cafe,2007,141
15507,OTANCHE,Cafe,2007,134
15660,SAN EDUARDO,Cafe,2007,130
15673,SAN MATEO,Cafe,2007,100
15798,TENZA,Cafe,2007,62
15172,CHINAVITA,Cafe,2007,55
15580,QUIPAMA,Cafe,2007,55
15518,PAJARITO,Cafe,2007,47
15480,MUZO,Cafe,2007,45
15761,SOMONDOCO,Cafe,2007,39
15022,ALMEIDA,Cafe,2007,18
15690,SANTA MARIA,Cafe,2007,10
15755,SOCOTA,Cafe,2007,10
15696,SANTA SOFIA,Cafe,2007,9
15778,SUTATENZA,Cafe,2007,4
15236,CHIVOR,Cafe,2007,1
15469,MONIQUIRÁ,Cafe,2008,2
15897,ZETAQUIRA,Cafe,2008,916
15455,MIRAFLORES,Cafe,2008,749
15816,TOGUI,Cafe,2008,678
15664,SAN JOSE DE PARE,Cafe,2008,615
15185,CHITARAQUE,Cafe,2008,610
15686,SANTANA,Cafe,2008,550
15442,MARIPÍ,Cafe,2008,544
15090,BERBEO,Cafe,2008,508
15106,BRICEÑO,Cafe,2008,480
15109,BUENAVISTA,Cafe,2008,420
15531,PAUNA,Cafe,2008,400
15212,COPER,Cafe,2008,341
15325,GUAYATÁ,Cafe,2008,327
15377,LABRANZAGRANDE,Cafe,2008,205
15550,PISBA,Cafe,2008,198
15533,PAYA,Cafe,2008,192
15514,PÁEZ,Cafe,2008,175
15660,SAN EDUARDO,Cafe,2008,155
15507,OTANCHE,Cafe,2008,134
15681,SAN PABLO DE BORBUR,Cafe,2008,130
15832,TUNUNGUA,Cafe,2008,102
15673,SAN MATEO,Cafe,2008,95
15425,MACANAL,Cafe,2008,92
15401,LA VICTORIA,Cafe,2008,75
15798,TENZA,Cafe,2008,63
15511,PACHAVITA,Cafe,2008,52
15518,PAJARITO,Cafe,2008,52
15761,SOMONDOCO,Cafe,2008,39
15580,QUIPAMA,Cafe,2008,31
15690,SANTA MARIA,Cafe,2008,16
15778,SUTATENZA,Cafe,2008,15
15322,GUATEQUE,Cafe,2008,12
15696,SANTA SOFIA,Cafe,2008,11
15480,MUZO,Cafe,2008,8
15022,ALMEIDA,Cafe,2008,7
15236,CHIVOR,Cafe,2008,2
15469,MONIQUIRÁ,Cafe,2009,2
15897,ZETAQUIRA,Cafe,2009,928
15455,MIRAFLORES,Cafe,2009,755
15816,TOGUI,Cafe,2009,660
15664,SAN JOSE DE PARE,Cafe,2009,650
15185,CHITARAQUE,Cafe,2009,535
15090,BERBEO,Cafe,2009,516
15686,SANTANA,Cafe,2009,492
15531,PAUNA,Cafe,2009,460
15106,BRICEÑO,Cafe,2009,440
15109,BUENAVISTA,Cafe,2009,427
15212,COPER,Cafe,2009,352
15442,MARIPÍ,Cafe,2009,335
15325,GUAYATÁ,Cafe,2009,330
15550,PISBA,Cafe,2009,232
15377,LABRANZAGRANDE,Cafe,2009,220
15533,PAYA,Cafe,2009,205
15681,SAN PABLO DE BORBUR,Cafe,2009,190
15514,PÁEZ,Cafe,2009,175
15660,SAN EDUARDO,Cafe,2009,157
15135,CAMPOHERMOSO,Cafe,2009,110
15673,SAN MATEO,Cafe,2009,110
15425,MACANAL,Cafe,2009,101
15401,LA VICTORIA,Cafe,2009,87
15832,TUNUNGUA,Cafe,2009,82
15755,SOCOTA,Cafe,2009,78
15798,TENZA,Cafe,2009,63
15621,RONDON,Cafe,2009,60
15842,UMBITA,Cafe,2009,57
15172,CHINAVITA,Cafe,2009,55
15511,PACHAVITA,Cafe,2009,54
15507,OTANCHE,Cafe,2009,40
15518,PAJARITO,Cafe,2009,37
15761,SOMONDOCO,Cafe,2009,37
15580,QUIPAMA,Cafe,2009,33
15778,SUTATENZA,Cafe,2009,15
15480,MUZO,Cafe,2009,10
15690,SANTA MARIA,Cafe,2009,10
15696,SANTA SOFIA,Cafe,2009,9
15317,GUACAMAYAS,Cafe,2009,8
15022,ALMEIDA,Cafe,2009,7
15322,GUATEQUE,Cafe,2009,7
15774,SUSACON,Cafe,2009,6
15236,CHIVOR,Cafe,2009,1
15469,MONIQUIRÁ,Cafe,2010,2
15897,ZETAQUIRA,Cafe,2010,983
15455,MIRAFLORES,Cafe,2010,805
15664,SAN JOSE DE PARE,Cafe,2010,720
15816,TOGUI,Cafe,2010,670
15686,SANTANA,Cafe,2010,594
15185,CHITARAQUE,Cafe,2010,535
15090,BERBEO,Cafe,2010,526
15531,PAUNA,Cafe,2010,450
15325,GUAYATÁ,Cafe,2010,440
15212,COPER,Cafe,2010,359
15442,MARIPÍ,Cafe,2010,327
15109,BUENAVISTA,Cafe,2010,307
15550,PISBA,Cafe,2010,291
15377,LABRANZAGRANDE,Cafe,2010,255
15533,PAYA,Cafe,2010,235
15514,PÁEZ,Cafe,2010,195
15660,SAN EDUARDO,Cafe,2010,175
15106,BRICEÑO,Cafe,2010,170
15681,SAN PABLO DE BORBUR,Cafe,2010,135
15673,SAN MATEO,Cafe,2010,130
15135,CAMPOHERMOSO,Cafe,2010,110
15842,UMBITA,Cafe,2010,107
15425,MACANAL,Cafe,2010,101
15507,OTANCHE,Cafe,2010,100
15621,RONDON,Cafe,2010,63
15172,CHINAVITA,Cafe,2010,61
15798,TENZA,Cafe,2010,57
15755,SOCOTA,Cafe,2010,42
15401,LA VICTORIA,Cafe,2010,40
15761,SOMONDOCO,Cafe,2010,37
15518,PAJARITO,Cafe,2010,36
15580,QUIPAMA,Cafe,2010,35
15832,TUNUNGUA,Cafe,2010,30
15774,SUSACON,Cafe,2010,23
15778,SUTATENZA,Cafe,2010,18
15696,SANTA SOFIA,Cafe,2010,15
15022,ALMEIDA,Cafe,2010,11
15480,MUZO,Cafe,2010,10
15317,GUACAMAYAS,Cafe,2010,8
15322,GUATEQUE,Cafe,2010,8
15690,SANTA MARIA,Cafe,2010,8
15236,CHIVOR,Cafe,2010,1
15469,MONIQUIRÁ,Cafe,2.011,2
15897,ZETAQUIRA,Cafe,2011,983
15455,MIRAFLORES,Cafe,2011,824
15664,SAN JOSE DE PARE,Cafe,2011,740
15816,TOGUI,Cafe,2011,686
15185,CHITARAQUE,Cafe,2011,548
15090,BERBEO,Cafe,2011,531
15531,PAUNA,Cafe,2011,450
15325,GUAYATÁ,Cafe,2011,438
15106,BRICEÑO,Cafe,2011,410
15212,COPER,Cafe,2011,359
15377,LABRANZAGRANDE,Cafe,2011,347
15109,BUENAVISTA,Cafe,2011,290
15442,MARIPÍ,Cafe,2011,217
15533,PAYA,Cafe,2011,213
15550,PISBA,Cafe,2011,213
15514,PÁEZ,Cafe,2011,188
15660,SAN EDUARDO,Cafe,2011,168
15842,UMBITA,Cafe,2011,150
15681,SAN PABLO DE BORBUR,Cafe,2011,135
15135,CAMPOHERMOSO,Cafe,2011,110
15425,MACANAL,Cafe,2011,108
15507,OTANCHE,Cafe,2011,103
15673,SAN MATEO,Cafe,2011,90
15686,SANTANA,Cafe,2011,75
15511,PACHAVITA,Cafe,2011,66
15621,RONDON,Cafe,2011,61
15172,CHINAVITA,Cafe,2011,59
15798,TENZA,Cafe,2011,57
15299,GARAGOA,Cafe,2011,44
15755,SOCOTA,Cafe,2011,40
15761,SOMONDOCO,Cafe,2011,36
15580,QUIPAMA,Cafe,2011,35
15832,TUNUNGUA,Cafe,2011,30
15778,SUTATENZA,Cafe,2011,18
15696,SANTA SOFIA,Cafe,2011,14
15480,MUZO,Cafe,2011,14
15464,MONGUA,Cafe,2011,13
15022,ALMEIDA,Cafe,2011,11
15317,GUACAMAYAS,Cafe,2011,11
15774,SUSACON,Cafe,2011,8
15690,SANTA MARIA,Cafe,2011,8
15401,LA VICTORIA,Cafe,2011,2
15236,CHIVOR,Cafe,2011,1
15469,MONIQUIRÁ,Cafe,2012,1
15897,ZETAQUIRA,Cafe,2012,966
15455,MIRAFLORES,Cafe,2012,824
