Unidad,Subgrupo,geo,Area,Periodo,Valor
Razón x 100¬000 nacidos vivos,Todos,15367,Jenesano,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15368,Jericó,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15380,La Capilla,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15403,La Uvita,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15401,La Victoria,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15377,Labranzagrande,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15425,Macanal,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15442,Maripí,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15455,Miraflores,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15464,Mongua,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15466,Monguí,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15469,Moniquirá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15476,Motavita,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15480,Muzo,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15491,Nobsa,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15494,Nuevo Colón,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15500,Oicatá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15507,Otanche,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15511,Pachavita,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15514,Páez,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15516,Paipa,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15518,Pajarito,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15522,Panqueba,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15531,Pauna,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15533,Paya,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15537,Paz De Río,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15542,Pesca,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15550,Pisba,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15572,Puerto Boyacá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15580,Quípama,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15599,Ramiriquí,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15600,Ráquira,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15621,Rondón,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15632,Saboyá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15638,Sáchica,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15646,Samacá,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15660,San Eduardo,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15664,San José De Pare,2013,0.000000
Razón x 100¬000 nacidos vivos,Todos,15667,San Luis De Gaceno,2013,0.000000
